,brand,store,sido,gungu,address
0,nene,강원홍천군홍천점,강원,홍천군,강원 홍천군 홍천읍 갈마로 4
1,nene,강원양구군방산점,원,양구군,원 양구군 방산면 장거리 18
2,nene,강원춘천시석사점,강원,춘천시,강원 춘천시 우석로 79번길4-1
3,nene,강원춘천시퇴계점,강원,춘천시,강원 춘천시 춘주로 187번길20-4
4,nene,강원홍천군시동점,강원,홍천군,강원 홍천군 남면 시동안로 321번길34-2
5,nene,강원인제군신남점,강원,인제군,강원 인제군 남면 신남로 23
6,nene,강원춘천시교동후평점,강원,춘천시,강원 춘천시 성심로 23-1
7,nene,강원화천군산양리점,강원,화천군,강원 화천군 상서면 영서로 7740-4
8,nene,강원양구군동면점,강원,양구군,강원 양구군 동면 금강산로 1681
9,nene,강원강릉시포남1점,강원,강릉시,강원 강릉시 성덕포남로 169
10,nene,강원영월군영월점,원,영월군,원 영월군 영월읍 은행나무 58
11,nene,강원강릉시초당점,원,강릉시,원 강릉시 초당원 19
12,nene,강원원주시단계점,강원,원주시,강원 원주시 원문로 146
13,nene,강원원주시명륜점,강원,원주시,강원 원주시 남산로 30
14,nene,강원태백시태백점,강원,태백시,강원 태백시 황지로 238
15,nene,강원원주시단관점,원,원주시,원 원주시 단관초교 7
16,nene,강원속초시교동점,강원,속초시,강원 속초시 동해대로 4270
17,nene,강원속초시조양점,강원,속초시,강원 속초시 동해대로 3996
18,nene,강원원주시문막점,강원,원주시,강원 원주시 문막읍 건등로 40-3
19,nene,강원동해시부곡점,강원,동해시,강원 동해시 발한로 96
20,nene,강원양양군양양점,강원,양양군,강원 양양군 양양읍 양양로 83-1
21,nene,강원양양군하조대점,원,양양군,원 양양군 현북면 조준 6
22,nene,강원원주시오크밸리점,강원도,원주시,강원도 원주시 지정면 오크밸리1길 701층
23,nene,강원철원군지경리점,강원,철원군,강원 철원군 갈말읍 청양로 81-1
24,nene,강원인제군서화점(B),강원,인제군,강원 인제군 서화면 천도로 126번길6
25,nene,강원화천군다목리점,강원,화천군,강원 화천군 상서면 수피령로 1306
