,brand,store,sido,gungu,address
0,cheogajip,주촌신도시점,경상남도,김해시,"경상남도 김해시 주촌면 선천남로 13, 2층"
1,cheogajip,기산점,경기도,화성시,경기도 화성시 동탄지성로 410
2,cheogajip,탄방점,대전광역시,서구,"대전광역시 서구 남선로 59번길 21, 1층"
3,cheogajip,연세대점,충북,제천시,충북 제천시 강제동 818번지 17
4,cheogajip,중동1호점,부산광역시,해운대구,"부산광역시 해운대구 좌동순환로 468번 가길 20, 1층(중동)"
5,cheogajip,구례점,전남,구례군,"전남 구례군 구례읍 중앙로 154,(1층)"
6,cheogajip,감전점,부산광역시,사상구,"부산광역시 사상구 새벽시장로103번길 24,1층(감전동)"
7,cheogajip,대연혁신점,부산광역시,남구,"부산광역시 남구 수영로325번길 61,301동 B107호 (대연동, 대연 롯데캐슬)"
8,cheogajip,연세대점,강원도,원주시,강원도 원주시 흥업면 매남동길 3-2 1층
9,cheogajip,백령도점,인천광역시,옹진군,인천광역시 옹진군 백령면664-7
10,cheogajip,금암점,충남,계룡시,충남 계룡시 장안1길 6 101호
11,cheogajip,탄방점,대전광역시,서구,"대전광역시 서구 남선로 59번길 21, 1층"
12,cheogajip,금호점,광주,서구,광주 서구 금화로73번길 18-9 1층(금호동)
13,cheogajip,완도점,전남,완도군,전남 완도군 완도읍 개포로 154-6
14,cheogajip,옥길점,경기도,부천시,경기도 부천시 옥길동 715-6
15,cheogajip,도당점,경기도,부천시,경기도 부천시 도당동43-8
16,cheogajip,봉양점,충청북도,제천시,충청북도 제천시 제원로 2길 7
17,cheogajip,가정점,인천광역시,서구,인천광역시 서구 가정동612-17
18,cheogajip,세류점,경기도,수원시,경기도 수원시 권선구 세지로80
19,cheogajip,도남시청점,제주시,신성로,제주시 신성로 19
20,cheogajip,고운점,세종시,고운서길,세종시 고운서길 10
21,cheogajip,소담점,세종시,국책연구원1로,"세종시 국책연구원1로 15, 상가A동 1층 102호"
22,cheogajip,고촌점,경기도,김포시,경기도 김포시 고촌읍 신곡리1160
23,cheogajip,부평점,부산광역시,중구,"부산광역시 중구 흑교로 21번길 20 1층,(부평동4가)"
24,cheogajip,연제1호점,부산광역시,연제구,"부산광역시 연제구 고분로 236번길 5, 1층(연산동)"
25,cheogajip,무실점,강원도,원주시,강원도 원주시 시청로 11 1층 102호
26,cheogajip,첨단점,광주,광산구,광주 광산구 첨단내촌로 66
27,cheogajip,장흥점,전남,장흥군,전남 장흥군 장흥읍 동교로 40
28,cheogajip,봉동점,전북,완주군,"전북 완주군 봉동읍 봉동동서로 76, 상가동 107호"
29,cheogajip,동산반월점,전북,전주시,전북 전주시 덕진구 쪽구름로 128(반월동)
30,cheogajip,송천점,전북,전주시,"전북 전주시 덕진구 붓내1길 10, 208동 2층 204(송천동2가)"
31,cheogajip,인후점,전북,전주시,"전북 전주시 덕진구 거북바우로 148, 1층(인후동2가)"
32,cheogajip,아라점,제주특별자치도,제주시,제주특별자치도 제주시 아란8길 16
33,cheogajip,호암점,충청북도,충주시,충청북도 충주시 호암동1216
34,cheogajip,보라점,경기도,용인시,경기도 용인시 기흥구 사은로84번길 10
35,cheogajip,신월점,서울특별시,양천구,서울특별시 양천구 신월동 1057-1
36,cheogajip,창전점,경기도,이천시,경기도 이천시 창전동451-28
37,cheogajip,천상점,울산광역시,울주군,"울산광역시 울주군 범서읍 천상길 6, 101호"
38,cheogajip,해도점,경상북도,포항시,경상북도 포항시 남구 해동로 16-1
39,cheogajip,인후점,전북,전주시,전북 전주시 덕진구 거북바우로 148
40,cheogajip,아중점,전북,전주시,전북 전주시 덕진구 석소로 9-6
41,cheogajip,평화점,전북,전주시,전북 전주시 완산구 평화18길 23-10
42,cheogajip,신시가지점,전북,전주시,전북 전주시 완산구 후곡길 23-9
43,cheogajip,나주혁신점,전남,나주시,전남 나주시 배멧2길 39 로데오 빌딩 101호
44,cheogajip,전주혁신점,전북,전주시,전북 전주시 덕진구 오정2길 3 1층
45,cheogajip,보성점,전라남도,보성군,전라남도 보성군 보성읍 주봉리 398
46,cheogajip,서충주기업도시점,충북,충주시,충북 충주시 중앙탑면 원앙 9길 10 C동 1층 109호 (코아루 더 테라스상가)
47,cheogajip,포남점,강원도,강릉시,"강원도 강릉시 경강로 2356번길 11, 1층"
48,cheogajip,단양점,충북,단양군,충북 단양군 단양읍 상진 13길 11
49,cheogajip,간성점,강원도,고성군,강원도 고성군 간성읍 고성중앙 1길 13
50,cheogajip,공주신관점,충청남도,공주시,"충청남도 공주시 신금2길 17, 1층 104호"
51,cheogajip,해운대좌동1호점,부산광역시,해운대구,"부산광역시 해운대구 좌동로 152,1층 157호(좌동, 신도시시장)"
52,cheogajip,민락코스트코점,경기,의정부시,"경기 의정부시 용민로 469 , 107호"
53,cheogajip,묵현점,경기,남양주시,경기 남양주시 화도읍 먹갓로 28번길 5
54,cheogajip,인창점,경기,구리시,"경기 구리시 응달말로 51 , 107호"
55,cheogajip,사동계양점,경상북도,경산시,경상북도 경산시 원효로32길 10
56,cheogajip,국우점,대구광역시,북구,대구광역시 북구 학남로 99 A동 102호
57,cheogajip,용흥점,경상북도,포항시,경상북도 포항시 북구 새마을로 88 1층
58,cheogajip,동천점,경상북도,경주시,경상북도 경주시 대안길 39-2
59,cheogajip,호미지구점,충청북도,청주시,충청북도 청주시 상당구 수영로360
60,cheogajip,낭월점,대전광역시,동구,대전광역시 동구 산내로1312
61,cheogajip,장지점,경기도,광주시,경기도 광주시 순암로55
62,cheogajip,연지점,부산광역시,부산진구,부산광역시 부산진구 성지로 93(초읍동)
63,cheogajip,영등포점,서울특별시,영등포구,서울특별시 영등포구 영등포동7가 203외2필지
64,cheogajip,신창점,충청남도,아산시,충청남도 아산시 신창면 행목로217
65,cheogajip,용호메트로점,부산광역시,남구,"부산광역시 남구 신선로 566,401동 154호"
66,cheogajip,소담점,세종특별자치시,소담동325,세종특별자치시 소담동325
67,cheogajip,한숲시티점,경기도,용인시,경기도 용인시 처인구 남사면 한숲로 45
68,cheogajip,신길점,서울특별시,영등포구,서울특별시 영등포구 여의대방로53길 29
69,cheogajip,광운대점,서울특별시,성북구,서울특별시 성북구 장위로49길 1-1
70,cheogajip,토당점,경기도,고양시,경기도 고양시 덕양구 토당로125
71,cheogajip,평택역점,경기도,평택시,경기도 평택시 평택동 292
72,cheogajip,서귀포점,서귀포시,서문로,서귀포시 서문로 49
73,cheogajip,삼양점,제주시,일주동로,제주시 일주동로 378
74,cheogajip,세화점,제주시,구좌읍,제주시 구좌읍 구좌로34
75,cheogajip,이도점,제주시,승천로89,제주시 승천로89
76,cheogajip,제주연동점,제주시,사장2길31,제주시 사장2길31
77,cheogajip,용담점,제주시,용문로,제주시 용문로 162
78,cheogajip,범일점,부산광역시,동구,부산광역시 동구 범상로 23 (범일동)
79,cheogajip,성내점,서울특별시,강동구,서울특별시 강동구 성내동 434-6
80,cheogajip,서면1호점,부산광역시,부산진구,"부산광역시 부산진구 새싹로 41-1 , 1층(부전동"
81,cheogajip,세마점,경기도,오산시,경기도 오산시 양산동 673-3
82,cheogajip,일도점,제주특별자치도,제주시,제주특별자치도 제주시 일도2동 402-26
83,cheogajip,성성점,충청남도,천안시,충청남도 천안시 서북구 성성9로 7
84,cheogajip,금촌2호점,경기도,파주시,경기도 파주시 황골로15
85,cheogajip,생초점,경상남도,산청군,경상남도 산청군 생초면 새실로3
86,cheogajip,서산시청점,충청남도,서산시,충청남도 서산시 고운로142
87,cheogajip,원당점,인천광역시,서구,인천광역시 서구 고산후로121번길 15
88,cheogajip,상암점,서울특별시,마포구,서울특별시 마포구 성암로79
89,cheogajip,도봉점,서울특별시,도봉구,서울특별시 도봉구 마들로28길 58
90,cheogajip,파장점,경기도,수원시,경기도 수원시 장안구 파장천로 6
91,cheogajip,송악점,충청남도,당진시,충청남도 당진시 송악읍 송악로 699
92,cheogajip,중산점,울산광역시,북구,"울산광역시 북구 중산로 7, 지상1층 (중산동)"
93,cheogajip,중산점,울산광역시,북구,울산광역시 북구 중산로7
94,cheogajip,청천점,충청북도,괴산군,충청북도 괴산군 청천면 청천2길 5
95,cheogajip,상도터미널점,경상북도,포항시,경상북도 포항시 남구 중흥로100번길 10
96,cheogajip,교대점,부산광역시,연제구,부산광역시 연제구 중앙대로 1235번길 10(거제동)
97,cheogajip,포천계곡점,경상북도,성주군,경상북도 성주군 가천면 포천계곡로 393
98,cheogajip,노형점,제주특별자치도,제주시,제주특별자치도 제주시 월랑북길10
99,cheogajip,광명역점,경기도,광명시,경기도 광명시 일직로12번길 19
