,brand,store,sido,gungu,address
0,kyochon,개포1호,서울,강남구,서울 강남구 개포동 1229-18
1,kyochon,논현1호(서울),서울,강남구,서울 강남구 논현동 164-16
2,kyochon,대치1호,서울,강남구,서울 강남구 대치동936
3,kyochon,대치2호,서울,강남구,서울 강남구 대치동 990번지 삼성상가 113호 1/2
4,kyochon,도곡,서울,강남구,서울 강남구 도곡동 416-4
5,kyochon,삼성1호,서울,강남구,서울 강남구 삼성동 44-18
6,kyochon,세곡,서울,강남구,서울 강남구 자곡동 611
7,kyochon,압구정신사,서울,강남구,서울 강남구 신사동 640-5 대성빌딩 1층 1호
8,kyochon,역삼1호,서울,강남구,서울 강남구 역삼동 837-15
9,kyochon,일원1동,서울,강남구,서울 강남구 일원동 645
10,kyochon,일원본동,서울,강남구,서울 강남구 수서동 747 삼성아파트 상가 104호
11,kyochon,청담역,서울,강남구,서울 강남구 청담동 65 진흥아파트상가
12,kyochon,강일,서울,강동구,서울 강동구 강일동 679-3 리슈빌오피스텔
13,kyochon,고덕1호,서울,강동구,서울 강동구 고덕동 650-1
14,kyochon,길1호,서울,강동구,서울 강동구 길동 347-31
15,kyochon,둔촌1호,서울,강동구,서울 강동구 둔촌동 454-5
16,kyochon,명일1호,서울,강동구,서울 강동구 명일동 328-2
17,kyochon,성내,서울,강동구,서울 강동구 성내2동 509-7 1층
18,kyochon,암사1호,서울,강동구,서울 강동구 암사동 504-37
19,kyochon,암사2호,서울,강동구,서울 강동구 암사동 446-18
20,kyochon,천호1호,서울,강동구,서울 강동구 천호동 550번지 강천빌딩
21,kyochon,덕성여대,서울,강북구,서울 강북구 우이동 72-148
22,kyochon,미아1호,서울,강북구,서울 강북구 미아5동 1264-233
23,kyochon,미아역,서울,강북구,서울 강북구 미아동 131-8
24,kyochon,수유1호,서울,강북구,서울 강북구 수유동 385-2
25,kyochon,수유역점,서울,강북구,서울 강북구 번동 461-127
26,kyochon,가양,서울,강서구,서울 강서구 등촌동 75-1
27,kyochon,강서구청,서울,강서구,서울 강서구 화곡동 986-16
28,kyochon,까치산역,서울,강서구,서울 강서구 화곡동 343-62 라인씨티 1층
29,kyochon,등촌,서울,강서구,서울 강서구 등촌동 649-14
30,kyochon,마곡1호,서울,강서구,서울 강서구 강서로 마곡동 784-11 마곡오드카운티1차 111호
31,kyochon,마곡역,서울,강서구,서울 강서구 마곡동 774-1
32,kyochon,발산역,서울,강서구,서울 강서구 내발산동 655-6번지 1층 13호
33,kyochon,방화2호,서울,강서구,서울 강서구 방화2동 580-27
34,kyochon,염창,서울,강서구,서울 강서구 염창동 249-5
35,kyochon,화곡2호,서울,강서구,서울 강서구 화곡동 400-45
36,kyochon,봉천2호,서울,관악구,서울 관악구 봉천동 1674-20
