,1위,2위,3위,4위,5위,6위,7위,8위,9위,10위
1,희모,요소,지게,성능,태피헤,짓거리,분명,전투,피드백,구래
13,희모,태피헤,피헤,즐때,대신,성능,양각,팀원,요소,전략
16,태피헤,의미,희모,아미산,즐때,인생,팀원,거기,리플레이,초희긔
25,컴퓨터,지랄,장애인,직원,주위,참여,음층,새끼,팀밸,기존
28,가도,명과,아지,리기,저가,비교,불구,조정,퍼센트,벨런스
39,인생,거기,즐때,아이패드,희긔,친추,초희긔,의미,직원,양각
69,직원,지랄,참여,장애인,주위,새끼,시발,아무,화이팅,컴퓨터
80,컨텐츠,시스,제시,크로우,차이,캐릭,사용,체력,데미지,무안
95,분명,희모,태피헤,우리나라,지게,전략,전투,짓거리,리플레이,요소
98,화이팅,구래,설명,요소,지랄,피드백,새끼,직원,가장,아무
107,설명,요소,지랄,화이팅,새끼,구래,직원,피드백,분명,음층
117,직원,인생,희모,화이팅,태피헤,새끼,팀원,장애인,음층,피드백
144,구래,지랄,설명,화이팅,음층,요소,직원,모션,피드백,최대
180,투자,아이패드,인생,개꿀잼,티스,더독,환경,속도,고요,직원
188,희모,새끼,태피헤,요소,분명,피헤,뭔가,피드백,모션,지게
194,직원,개꿀잼,절대,음층,역시,주위,인생,로봇,마법사,움직
206,태피헤,희모,의미,분명,지게,리플레이,피헤,전략,아미산,아이템
209,직원,인생,음층,존잼,친추,고민,화이팅,로서,주위,이해
220,무적,폭포,의미,거기,아예,닉넴,아아,어의,김현식,어제
236,개꿀잼,비트,수록,토큰,인생,고민,직원,이용자,절대,움직
237,흡수,보속,접근,자원,공짜,이걌데,주네,죽음,안정,불구
253,의미,양각,투자,티스,인생,특정,로봇,거기,이제,닉넴
256,튕기,자원,안정,폭포,다른사람,정지,가정,버퍼링,방해,아이패드
258,안정,아이패드,안드로이드,투자,닉넴,휴대폰,진행,기계,특성,개임
269,기록,런스,주시,예전,몇번,제일,당황,튜토리얼,실패,완전
273,대한,경기,절대,제외,샌디,의문,위해,화가,대책,대해
279,무적,흡수,현저,진심,가안,안정,한판,어제,기계,딜도
298,화이팅,직원,주위,음층,구래,지랄,설명,절대,참여,모션
299,주위,절대,핵인,팀밸,음층,참여,이나,대책,컴퓨터,화가
300,인생,환경,고민,움직,이용자,티스,직원,아이패드,팀운,토큰
307,태피헤,희모,의미,리플레이,지게,전략,분명,아이템,생기,우리나라
309,참여,음층,마음,직원,주위,지장,화이팅,토큰,로봇,로서
311,리플레이,직원,태피헤,가요,새끼,인생,분명,친추,희모,장애인
322,스트레스,승률,접근,안정,빅브,버전,영웅,작성,순간,포탑
326,의미,특정,양각,인생,투자,아예,닉넴,렉좀,티스,태피헤
358,의미,인생,양각,거기,태피헤,희모,렉좀,특정,아미산,피헤
364,태피헤,의미,희모,리플레이,양각,아미산,분명,렉좀,피드백,거기
372,컴퓨터,음층,핵인,주위,팀밸,참여,지랄,직원,기존,이해
375,닉넴,기계,추천,의미,특정,리뷰,리플레이,아예,거기,투자
385,핵인,주위,컴퓨터,참여,음층,구래,화가,지랄,화이팅,직원
412,분명,새끼,태피헤,리플레이,피드백,희모,설명,요소,전략,화이팅
413,시즌,좆망,거팀운왜,생김새,만들빠,상대편,기존,관련,인정,별로
419,핵인,제외,컴퓨터,주위,팀밸,참여,대한,절대,샌디,음층
427,주위,절대,기존,움직,참여,토큰,이나,음층,전이,안해
430,주위,기존,팀밸,참여,컴퓨터,뭔가,절대,지랄,움직,대한
441,의미,추천,아예,기계,닉넴,리뷰,안정,무적,리플레이,투자
453,직원,음층,화이팅,참여,설명,주위,지랄,구래,움직,요소
458,지랄,컴퓨터,요소,음층,화가,구래,본질,화이팅,가장,핵인
460,의미,거기,아이패드,닉넴,아예,초희긔,폭포,투자,어의,추천
465,무적,한판,어제,기계,추천,친선,가안,닉넴,진심,말씀
466,딜러,하든,인성,특유,가포,회사,소자,자리,능데,누가
467,업뎃,사용자,안드로이드,실제,튕기,개임,고요,속도,더독,참고
469,의미,인생,리플레이,태피헤,아예,추천,거기,아이패드,닉넴,투자
476,희모,직원,태피헤,인생,화이팅,피드백,새끼,음층,팀원,알기
483,아침,거팀운왜,드네,생김새,고하,기존,최적화,구지,런싱,팀밸
486,부분,비트,만들빠,안해,좆망,절대,엠즈,주위,기존,관련
499,아이패드,투자,더독,안드로이드,인생,티스,실제,거기,가요,고요
