ID,STORE,LABEL,SCORE,YEAR,MONTH,DAY,CONTENTS
18,애플,복합,5,2019,10,31,"확률 좀 ㅠㅠ브롤을 즐기고있는 8500점대 유저입니다 현재 저는 전설 2개(레온,스파이크)가 있는데 트로피 진척 으로 메가상자 와 수많은 상자를 열었지만 진 말고는 아무것도 안나오더군요 제가 가장 같고싶은게 모티스와 크로운데 엄청 않나옵니다 다른얘들은 다 있던데 확률좀 올려주세요 근데 되게 재미있어요.슈퍼셸 화이팅!!!"
39,애플,복합,4,2019,11,9,꿀잼이긴 합니다만...쇼다운이랑 티켓이벤트는 재밌는데 3대3 랜덤매칭은 솔직히 팀운이 필요한것 같음 실력이나 조합 팀워크 따라주는 경우도 있지만 랜덤매칭은 진짜 팀운임 그리고 파워플레이 파티 플레이 만들어 줬으면 좋겠음
167,애플,부정,5,2019,11,11,"최고의 게임 BRAWL STARS (슈퍼셀 쵝오)너무 재미있네요! 돈도 안써도 되고. 슈퍼셀에서 크로우의 스타파워 약한 먹있감, 레온의 은신 시간 (10초로), 스파이크의 스타파워 커브볼 과 따뜻한 햇살, 8비트의 보너스 라이프, 크로우의 공격력을 버프해주시고요...... 파이퍼의 매복 스타파워 너프해주시면 감사하겠습니다!"
322,애플,부정,4,2019,10,24,"최적화를 해주세요이번 업데이트로 많은것이 추가된것과 동시에 레드와이파이 현상이 많이 심각해 졌습니다.데이터로 해봐도,재부팅,다른 기기,친구집(다른 와이파이)으로 하여도 레드와이파이 현상이 너무 심각합니다.업데이트 하기 전까지는 참고할수 있었지만 업데이트를 하고난 후 도저히 게임진행이 안될정도로 끊김,튕김,화면 멈춤등이 지속됩니다."
578,애플,긍정,5,2019,10,30,간단한 조작으로 최대의 재미플레이는 누구나 가능할 정도로 쉽지만 그 속에서도 실력차를 낼 수 있다는 가능성이 보여 재미있습니다
938,애플,복합,3,2019,10,26,"파이퍼 10번 너프, 물약모드슈퍼셀님 정말 재미있는데요, 아무리 열심히 해도 파이퍼 3방 2방만에 맨날 죽어요. 그래서 하기가 싫을때도 있고요.또 아무리 죽이고 파워큐브를 많이 먹어도 물약먹은 브롤러들에게 두세방이에요.결론은 제가 원하는 것은 파이퍼를 없애거나 완전 너프를 하는것과 물약맵을 없애는 것 이에요.젭알 부탁드립니다."
985,애플,복합,5,2019,11,2,겜은 재밌는데........아니 지금 트로피 9000점인데 5000점부터 브롤러 안뜨더니 지금까지 계속 안뜸. 브롤러 확률좀 높여라 많이도 안바란다 지금 브롤러 5개나 남았는데 으악 너무 안뜬다고 9000때에 5개나 남은거 실화냐......
1018,애플,부정,5,2019,10,30,잘하고 있습니다브롤 스타즈에 브롤러로 타노스 나오면 좋겠어요 군복기로 옆에 있는 한명을 죽일수 있고 옆에 다른 사람은 1만 피 달는 거예요. 꼭(은 아니지만)부탁드림니다.
1216,애플,부정,1,2019,11,3,최악의 게임입니다 다운로드하지마요올해1월부터 쭉 해온유저입니다 발란스 최악의 게임입니다. 콜트 팸 타라 이런캐릭터는 요즘나온캐릭터 앰즈 비트 샌디에 발라버리죠 특히 콜트 오토로 잘 안쓰는데도 불구하고 사거리도 짧고 저한테 트로피올리기 힘들더라구요 발란스 조정했다고 하는데 게임모드4개인 시절이 그립더라구요 트로피300이상 올리기 어렵던시절이 더 재미있고 업데이트할수록 최악이라고 생각들고 더 지루해지고 5시만 땡하면 별모으고 다른게임합니다 정말 루즈하고 지루한 게임이죠 정말 최악입니다.슈퍼셀에서 져도 지루하지 않는 게임 개발 해주셔야합니다. 제가봐도 발란스 최악의 게임입니다
1427,애플,부정,1,2019,11,14,3:3 팀게임을 만들었으면 팀 매칭해줄때 파워 밸런스도 맞춰주세요.이게 무슨 모두의 마블처럼 운빨 게임을 만든것도 아니고 팀이 매칭이 왜 이렇게 운빨인가요;;  랭크가 같아도 파워 밸런스가 안 맞는데 어떻게 게임을 이기냐구요.
1544,애플,복합,1,2019,10,25,"재미있는데 요새 에러가 많이 나네요재밌어서 꾸준히 이용해오던 유저인데, 다른 폰에서는 모르겠지만 아이폰 X로 최근에 게임할 때 계속 공격 버튼이 나타나지 않아서 궁 버튼이랑 공격 버튼 둘다 안 뜨거나 떠도 눌러지지 않는 경우가 종종 생겨서 이용하는 데 큰 불편함을 겪고 있습니다. 빨리 버그 수정해주시길 바랍니다."
1500,애플,부정,1,2019,10,31,밸런스 패치가 시급합니다장난합니까? 파워 1이랑 7이랑 만나서 붙으면 7이 당연히 이기는건데 이런 상황이 한두번도 아니고 자주 그러다 보니 어이없게 지는 경우가 너무 많네요 파워 같은애들끼리 붙고 트로피도 +-500정도 차이나는 유저랑만 붙게 해주셨으면 합니다 그리고 트롤 하는 경우가 많은데 (브롤볼에서 자살골) 이런거 유저신고기능좀 넣게 해주세요 부탁드립니다
1722,애플,부정,1,2019,11,3,브롤스타즈 개노잼평점 주기도어렵네요 팀이 막 봇들같고 나가는사람도 많고 그래서 너무 화가나구여 이 게임 하지마세요 솔직히 별1개 주기도싫은데 이거 리뷰 하려면 어쩔수없이 ㅠㅠ 이 리뷰를 보면 아 이러구나 이러시는데 진짜입니다 해보세요 일본이름 중국이름 있는데 너무 못하구요 한국이름 몇명 신입들 너무 못하네요 차라리 서버를 만들던가 짜증나네여
1800,애플,복합,3,2019,11,19,"느려저는 외국에서 플레이하는 플레이어이에요.매치를 시작하는데 넘나 느립니다. 유튜*에서 본건데,조금 빠른 브롤러들이 있어요. 근데 너무 느립니다. 조금이라도 빨리 뛰었으면 좋겠음니다.🙂"
2127,애플,부정,4,2019,10,24,다이너마이크 스타파워지형물 뛰어넘는거 잘 활용도 못하고 게임하는데 의도치않게 나와서 방해만돼요 스타파워 끄고 싶어요 삭제하는 방법 없나요?
1963,애플,부정,2,2019,10,28,바로 확인 후 해결 좀 해주세요브롤러윈 패키지를 구매했는데 돈하고 보석은 들어왔는데 메가상자 4개를 열어보지도 못하고 사라져서 못봤습니다. 어떻게 된건지요 바로 해결 부탁드립니다
2348,애플,부정,1,2019,11,4,"피드백을 받을생각이 있으신가요 ,,과금 2만원 ? 3만원 밖에 안하고 9300점 때에 있는 사람입니다. 매칭서비스 맨날 고쳐달라고 하는 유저 피드백을 받을 생각은 있는건가요 상대팀은 모두 스타파워에 아군은 게임 나가거나 게임 불참에 신고 서비스가 있는것도아니고 하루하루 겜하면서 불편하고 불쾌하네요 ;;"
2207,애플,부정,1,2019,11,7,아니 브롤 왜이러죠아니 브롤하는데 내팀만 못하고 딴팀은 완전 잘해서 문의하면 막 트로피 기준으로 매칭한다 뭐라 하는데 왜 저의팀이랑 실력차가 너무 나죠 우리팀이 잘한다고 해도 딴팀이 우리랑 비교되게 잘하는데 이게 트로피 기준으로 한건지 모르겠네요 진짜 팀 세팀남으면 두팀끼리 무조건 우리만 공격하고 지역을 바꿔도 다 잘하는데 어떻하라는 말이죠 이거 재밌어라고 만든건가요 진짜 트로피 기준으로 매칭한다면서 왜 나보다 잘하죠 그럼 저는 누가 올려준것도 아닌데 왜 내팀만 매칭이 못하는사람만걸리고 딴팀은 왜 겁나 잘하냐구요
2570,애플,부정,5,2019,10,26,음 뭐지래드 와이파이 좀 고쳐주고 신규 브롤러
2368,애플,복합,1,2019,11,17,ㅠㅠ안녕하세요 저는 현질을 한 50만원했읍니다 그런데 업데이트 되면서 처음부터 다시 시작하게 되었습니다.그리고 제가 현질해서 얻은 브롤러가 다 살아졌습니다 게임 이름은 1234ㅂㅈ 입니다.
2426,애플,복합,5,2019,10,30,재밌다!!!앱도 많고 캐릭터도 다양하고 정말 재밌습니다. 다만 레온 버프 좀 시켜 주시면 좋을것 같습니다. ^^
2673,애플,부정,1,2019,11,1,ㅈ같은 운영과 와이파이별점1점도 아깝다.이전까지 괜찮았는데 이제 파워플레이를 만들어서 현질유도를 하네?돈주고사는 데이터 주고 게임하는데 뭔 외이파이냐 진짜 서버 안 늘리냐.
2753,애플,긍정,1,2019,10,26,브롤브롤상자 3개이상은 모으고 드 열었는데 브롤러 진짜 안나옵니다 ..  와이파이 기계옆에서 게임 해도 와이파이 안 되요 .. 먼저 특공 썻는데도 먼저 죽어요...10레벨(만렙)이상인 브롤러들은 패배되면 트로피 4~5개는 깍입니다 .... 개인적으로는 추천 안할게요
2813,애플,부정,2,2019,11,5,매칭상태에바...저기요?매칭상태가에바인데요
7103,애플,부정,1,2019,11,5,연결 문제와이파이 빵빵한 상태에서도 자꾸 끊깁니다.
8185,애플,긍정,1,2019,11,3,슈퍼셀!마크로우달라고!이ec
7449,애플,긍정,5,2019,10,27,브롤 최고크로우 갖고싶어요~
5813,애플,긍정,4,2019,11,13,브롤스타즈 수정 바람브롤 너무 재미있게 하고 있습니다.
6593,애플,부정,1,2019,11,11,어휴 서버나 고쳐라레드 와이파이 뜨는거 ㅈ 같으니깐 신규 브롤러나 만들지 말고 레드와이파이나 고쳐라
6616,애플,긍정,1,2019,11,7,망해미친 슈퍼쉘 망해버려 와이파이 브롤러  업데이트 만하지말고 발전좀해라 미친미국인
6683,애플,부정,1,2019,11,1,보석만 먹고 브롤러는 왜 안주냐고요보석 150개 써서 신규 늑대브롤러 샀는데 보석만 없어지고 브롤러는 안보여요!!!!
7545,애플,부정,5,2019,11,9,캐릭터 좀레온 주세요
7546,애플,부정,1,2019,11,8,아이폰11프로에서 이동중 정지 이슈 현상 수정해주세요이슈 현상
7898,애플,부정,5,2019,11,9,레온저 레온 좀 주세요!!!!!!!!!!!
7965,애플,부정,1,2019,11,4,ㅋㅋㅋㅋ이딴걸 게임이라고허구한날 브롤러만 만들지 말고 와이파이 문제나
5437,애플,긍정,4,2019,11,12,크로우 나와라저는 주캐인 비비를 쓰고 9547점 갔습니다. 무과금
4149,애플,긍정,5,2019,11,21,불로라제가상자50개를까도샌디진이안나와요
5704,애플,부정,1,2019,11,14,와이파이 연결 후 셀룰러 변경왜 와이파이 연결로 게임하고 있을때 셀룰러로 바꾸면 연결이 끊기는거죠? 피드백 부탁드립니다.
3665,애플,부정,1,2019,11,6,리뷰제발 티밍을 없앨수있는 방법좀 생각해 보세요.그리고 파워플레이는 무슨 모드를 하나로해야지 트롤픽이 안나오는데 이건뭐 트롤픽만 하라는거에요?그리고 트롤을 신고할 수있는 방법좀
