,x,y
신규,6.1087728,-1.8248961
이름,0.9197128,2.3601344
플레이,5.662632,1.5330046
이번,5.906666,1.0775008
로그인,3.2076263,0.2595429
매칭,6.830716,-2.2989094
시간,6.5900555,-1.2550511
해결,8.687447,-1.3091841
유저,4.5628133,2.054975
로딩,7.0821896,1.308905
상자,2.685702,3.986878
전설,2.5585246,1.2892938
하니,2.8720033,-2.6827161
브롤러,6.756749,3.7402601
접속,7.8743124,-4.4258304
버그,7.1381145,-2.5794718
공격,8.487112,-1.952031
주말,4.0844345,-0.26921085
팩토리,5.1747475,-0.29961434
화가,5.046512,3.7632945
바운티,-0.24649619,2.3027241
이스트,0.41942844,1.6053658
마음,6.52652,-1.0768456
보석,6.3628283,-2.206838
한판,4.4319787,2.8138747
레드,0.1855135,3.0982208
와이파이,2.209025,0.28130123
별로,3.136085,0.85440326
스타,6.4739046,0.5630752
재미,7.5354333,-0.74247956
연습,3.5590372,4.7256813
이벤트,9.350106,-4.1611657
슈퍼셀,0.79061526,1.3447324
감사,0.873633,0.47806618
서버,1.1425934,-1.4329962
중이,7.166088,0.04422876
삭제,10.239643,-2.6926336
보고,9.739596,-2.5711086
크로우,2.5733583,2.6934566
미스터,7.2515025,-3.530412
너프,8.652692,-3.9027596
스파이크,3.3654754,3.8851745
프랭크,3.0800998,4.130414
확률,3.1791332,1.9790964
제시,8.9193735,0.06749155
설치,6.8435283,-1.740966
전투,3.4037313,4.5124397
화면,8.693681,-3.7308347
스킨,6.630911,-2.7182236
최고,7.4209113,0.7794946
트론,1.5066437,-0.13286066
핸드폰,2.397896,-1.976087
포코,-0.5890392,0.26974922
그래픽,-0.6693533,-0.22514859
이유,1.3438008,1.9450283
부탁,1.3736696,2.0653884
중독,4.6264567,2.5899649
여러가지,-0.013847934,2.4247742
대형,2.9570992,3.5185306
추천,7.4064655,-2.6292126
샌디,8.700938,1.4170552
사람,6.476689,-0.5932655
광고,7.0291324,-1.390161
지역,-1.0318216,2.6967058
토큰,6.4428306,-1.5677214
럼블,0.11655927,2.1590698
캐릭,2.497674,1.3608265
기분,3.4592829,-2.8902009
모두,9.174166,0.72726625
레온,9.356633,1.7461038
인기,3.7261314,-0.98051465
개월,3.6045628,-1.2293985
가장,7.8708606,-1.1759306
요청,3.6908336,0.95966876
친구,6.0396786,-2.7443454
동생,3.2121696,0.7031078
경고,3.763654,0.10640998
솔로,6.3523827,1.6828347
체험,8.667045,-2.2837331
무엇,4.8335204,3.3587167
맥스,7.320226,2.8007238
추가,8.453661,-2.55963
먼저,0.1471582,3.280882
사전예약,4.563231,4.872798
역시,4.2860084,4.5636096
파이,4.6129255,1.5759686
점검,1.3299206,-1.9387829
생기,5.0285726,2.7700377
이점,7.6672354,-2.2879338
매일,7.6604276,-1.6271482
보상,7.24651,2.8926058
무한,6.147586,0.71767193
상점,9.445241,-4.202631
