,x,y
버그,-3.0954878,-8.088307
유저,-3.6018798,-7.0738626
신고,-6.443061,6.7418966
차단,-6.8029704,7.171645
문의,-5.320076,2.264512
현재,-2.179905,-7.138658
플레이,-1.9034226,0.62589365
한가지,4.9449515,4.3921866
평소,2.2049892,3.6646094
리뷰,2.8697042,-2.5348141
의견,0.99553376,-0.036686495
혹시,2.165357,1.8059316
마음,4.2232876,6.1433954
이벤트,-1.1450127,-6.8839526
블록,-6.6303315,-10.405208
중국어,-4.0356684,-4.7527523
닉네임,-4.1187835,-4.640577
티스,-5.099618,-9.389311
공격,-7.122771,-8.011443
시도,-5.9563656,-1.8072551
움직임,-6.580709,-10.764953
몇번,-1.2208568,-10.027176
쉘리,1.7608355,-9.247384
필살기,-3.2558575,-5.9789643
예전,0.4052315,1.7257128
수정,-6.774873,-3.0586452
리플레이,1.2242022,3.6408129
영상,0.837659,4.063821
트롤,-5.3804536,7.3670173
배그,10.086584,-3.2762694
회사,2.0706358,-2.9903176
스킨,0.027364993,-10.884237
여자,3.0520003,-7.398215
브롤러,8.458199,-9.497088
랜덤,-10.133396,-2.7008994
사람,-0.3354574,1.5146053
잠수,-4.7243934,6.5995216
매우,-12.573971,0.39507365
단점,1.2580149,-2.0742085
시간,1.1307603,-4.3365617
모드,-6.7381063,4.6563706
추가,-3.51987,-0.89312524
별로,3.3966203,1.1292053
추천,4.3965974,-4.779209
재미,4.345041,-5.61323
상자,6.624458,-4.7086973
위해,7.4576273,-3.2251592
현질,5.4591713,-8.297582
거나,-0.47237858,-3.8463674
전투,7.888032,-2.4046013
토큰,1.6070538,-4.8142886
무제한,0.5912578,-4.74359
이면,1.5098461,-10.703325
전설,8.111921,-8.00264
크로우,6.1492085,-7.1636357
스타,5.837718,-11.015417
파워,5.8514757,-10.828477
사기,6.0061603,-8.918702
상점,4.3271675,-7.305096
코인,3.3082075,-11.917769
서버,-10.8252,7.659557
점검,-11.102038,7.555963
해주시,1.7216346,5.5002985
가지,3.9439595,3.2614307
