,x,y
유저,-1.3214744,-6.198654
상자,-3.808549,-5.598864
데이터,0.529181,-2.2103434
와이파이,-0.46681672,-4.506954
사람,1.0776641,-8.523746
접속,2.1922472,-0.56095695
동안,-1.0741849,-3.417858
화가,-2.7528727,-5.956826
패배,0.29913133,-4.59038
파워,-3.9139574,-1.6558222
전설,-3.7654247,-5.1431184
리뷰,-1.4263928,-4.665907
스킨,-4.325988,2.8534675
로딩,3.5796554,-0.9955261
플레이,1.6089954,-5.4912386
동생,1.2017007,-2.7677894
설날,-1.0299954,1.1855171
이벤트,-0.84282905,-1.9262762
결제,-0.8093178,-1.0868452
처리,-0.26900628,0.7917417
상황,2.5804465,-6.590712
현질,-1.4272826,1.0940711
버그,-0.50078076,-4.999302
기존,0.04079607,-3.9299526
수준,-0.46253538,-8.260858
점수,1.3698812,-7.050959
실력,1.8394176,-7.027416
상대,-1.8642827,-3.2884564
시스템,1.4773297,-5.9881496
계정,0.06477765,-2.14152
이번,1.7236371,1.5805143
재키,0.32294142,-1.2810125
핸드폰,1.8943102,-2.0196245
로그인,2.9111145,1.5214344
튕기,2.817257,-0.745214
오류,1.6735264,-2.6763804
바이러스,3.5702295,-2.437526
신고,-1.5881859,-7.4365263
능력,2.4559338,-2.845996
레벨,-3.5090864,-8.156285
수정,1.68888,-2.4295352
자살골,-1.1991799,-7.398575
추가,-2.0637574,-5.347507
가젯,1.5309328,-1.1720715
레이,-1.7498704,-1.4891667
레드,-1.484839,-2.5855002
잠시,-2.8219218,-0.18331234
상대편,-3.1657934,-3.0042324
우리,-1.9435307,0.5211323
모두,-3.2086692,-0.5942524
해결,2.3299296,-3.8788414
실패,3.5811923,1.3277037
업뎃,2.7531013,0.76555544
삭제,2.6674683,-9.881102
설치,3.2631612,1.2832396
개선,3.1176186,-4.5250435
사항,3.5529382,-0.072890684
어플,1.2849181,-4.147744
상태,2.233338,0.25422806
화면,1.0646755,-3.1757398
별로,2.9579172,-5.4240274
패널,0.13442494,-7.5669103
매칭,-0.0042159334,-2.8143332
시도,2.0770497,-1.1281986
아이폰,1.7971262,-3.3375187
친구,1.6004287,1.9775225
확률,-2.1392019,-2.7134125
일부러,0.22892381,-7.701159
조합,-0.7198306,0.6650517
서버,-4.3009405,2.0597794
연결,1.3286624,0.08211828
폭포,2.6452773,-9.889997
거기,-4.289992,-6.362682
티밍,-4.491742,-6.3001685
밸런스,-2.2812214,-9.122176
랜덤,-2.7246318,-3.4627633
한쪽,-3.3077157,-9.027952
스타,-2.589837,-8.41213
세명,-3.1730893,-9.072276
붕괴,-2.235454,-8.845722
연속,-3.314826,-3.124233
슈퍼셀,-1.4091482,0.2776739
공격,-0.8014032,-7.7150598
점검,-4.0666246,3.1168833
브롤러,-4.5871363,2.6181178
로사,-4.2503796,2.448195
보석,0.37150428,-3.354474
로봇,1.152752,-8.736809
맵좀,-2.2664957,-10.095399
금고,-5.1210093,0.18916209
모드,-1.8685248,-10.102339
선택,3.9395702,-7.456424
체험,4.040997,-7.3218937
하든,0.86357135,-5.7376857
지네,0.82976234,-1.8052607
무조건,0.995107,-5.9646597
페니,-2.7466357,-2.0805588
보안관,-4.492307,1.7402222
시즌,-0.7388224,-3.1478584
만렙,-2.9187794,2.9264958
