,신규,이름,플레이,이번,로그인,매칭,시간,해결,유저,로딩,상자,전설,하니,브롤러,접속,버그,공격,주말,팩토리,화가,바운티,이스트,마음,보석,한판,레드,와이파이,별로,스타,재미,연습,이벤트,슈퍼셀,감사,서버,중이,삭제,보고,크로우,미스터,너프,스파이크,프랭크,확률,제시,설치,전투,화면,스킨,최고,트론,핸드폰,포코,그래픽,이유,부탁,중독,여러가지,대형,추천,샌디,사람,광고,지역,토큰,럼블,캐릭,기분,모두,레온,인기,개월,가장,요청,친구,동생,경고,솔로,체험,무엇,맥스,추가,먼저,사전예약,역시,파이,점검,생기,이점,매일,보상,무한,상점
신규,0.0,6.666395265013166,3.3874087668452075,2.9094252157633123,3.572329297744418,0.8636497422744905,0.7458929733562248,2.629737184837918,4.176528543709782,3.2815010102873883,6.744933860596319,4.722545966178687,3.3485118491934758,5.602752406431292,3.143563154066874,1.2762949745116472,2.381734886374444,2.553057388234884,1.7885434765290478,5.68825731895546,7.578040127591947,6.643443093272808,0.8567917197194905,0.4587196661690735,4.932528278043151,7.702082713433382,4.432166579602648,4.001939194864703,2.41572529161794,1.7908059202160433,7.029310957174016,3.995547332019162,6.1910699094174335,5.719294063549715,4.981618523066016,2.1474504884936474,4.221025729413858,3.706711908413196,5.7371303607735555,2.052952911409552,3.2846675410622397,6.334870690002941,6.681210620898609,4.801369291267852,3.3883045251754638,0.7395335934846091,6.890505885523607,3.2115964030905184,1.0347280763128623,2.9162575506328587,4.903322862180654,3.7139553831583996,7.017707990274393,6.964351190850307,6.075959645665805,6.1282554975830035,4.657065170191037,7.4529308430278425,6.203648534935853,1.526738879320436,4.150851855926548,1.2854089261590576,1.0178685507798362,8.451802842430048,0.42158446477454187,7.19573510538834,4.815481566507382,2.855638430483251,3.988755072442113,4.827073377232663,2.5278369555719884,2.574040617737584,1.8777938342277227,3.6878492364147237,0.9220417968545913,3.844621364644966,3.038013388228973,3.516180069281108,2.599093391817516,5.338174822929651,4.781629302137388,2.4573022819717205,7.84919200163953,6.873703653232242,6.643453780665288,3.7152979633349874,4.780208835837061,4.720195591464522,1.6257950904026979,1.5642048833404707,4.8527587856245065,2.542864198419758,4.097028610328286
이름,6.666395265013166,0.0,4.814501419185651,5.149256922347575,3.105967285808758,7.526396669484555,6.724756474502825,8.590784752957175,3.6558587870415855,6.25149584210029,2.4010441092051438,1.9576526218564947,5.407566868903463,5.997977820234346,9.716777915569367,7.9415509574573155,8.709781698486118,4.1144768415856,5.0179260439684175,4.3588224389900425,1.167621225597152,0.9055164546447354,6.5764058247238175,7.10526136317875,3.5414534036297005,1.0410668644509713,2.446195581841471,2.6794648943871846,5.837676412903294,7.307118050287859,3.5442694258159166,10.658277892626845,1.0235757466839324,1.8826321712263536,3.799672877680989,6.661878136289534,10.601488508908913,10.104825540695812,1.6869046320077585,8.64812697636403,9.951019980350075,2.882273810967627,2.7930560652866614,2.291325040366783,8.321705302434967,7.204902333030659,3.2867562443744345,9.875954580233328,7.6424798207819515,6.690590985124515,2.5611544341710473,4.58124876323167,2.5779920172551494,3.0346036389154176,0.5934337977346624,0.5412503795565097,3.7138622501096954,0.9357958855420266,2.3436777235763113,8.183614203040637,7.838167126173862,6.293056233037491,7.1686627875650855,1.9803451268476524,6.7773802674109325,0.8279387274646335,1.8677734846040428,5.832275383064505,8.414407141273447,8.45923492196304,4.363017565424054,4.482540072154834,7.798859877031707,3.104901662289556,7.22978292831903,2.828620758983826,3.628674000389138,5.4747268595259015,9.032533006214724,4.0391901298176665,6.415660060733118,8.998025036217301,1.2019220300869664,4.42591271080092,4.0233380451113,3.775544504657882,4.318444209600302,4.129255542519644,8.193509506381732,7.8317086848457205,6.349164687739896,5.479811817734892,10.758927127535467
플레이,3.3874087668452075,4.814501419185651,0.0,0.5167554870587314,2.765638700324244,4.005993643801451,2.9382596872067315,4.150607277682566,1.2173965157502835,1.4371375527210024,3.857927568094244,3.1136598428336417,5.055680865288668,2.4635479718163324,6.356040142469862,4.369154405735948,4.485884653863052,2.395555851325481,1.8964502442171667,2.3138273234572324,5.959048920357448,5.243702941702624,2.749112812048463,3.8048253703843087,1.77627015741364,5.696378558206294,3.6734402451557253,2.616092382725916,1.264486621847259,2.9470684663269995,3.823387832031591,6.78388117147522,4.875653307512899,4.903815585577517,5.406284279096768,2.1158529772857286,6.229369991095208,5.784927216142372,3.3000395152855377,5.306853682418942,6.203869081938601,3.2878004778648755,3.662786807781705,2.523244779265331,3.5712874469192517,3.4804309423958535,3.738938998571564,6.074146875921866,4.360103936162091,1.912935855463377,4.477426186946083,4.79293487399182,6.378025424859148,6.571540360790079,4.33844079585525,4.32187814167901,1.4801432593685657,5.74610093873899,3.355923275945411,4.512760457182194,3.0405178912347433,2.2767768759959566,3.2267974162973223,6.794844441774257,3.1973758511485904,5.581297593731954,3.16963790644815,4.941608352669443,3.602788300701685,3.7001427114741947,3.1729818127706886,3.444781466049213,3.4949397340123856,2.053461235841567,4.29393603964156,2.5871788682819843,2.3751399160224818,0.7058364176065206,4.857363655391647,2.005156009408334,2.0867990768641955,4.953736100558147,5.7858038815170225,3.516091751713767,3.328612069955887,1.0505853386941113,5.552089213150568,1.390065475573865,4.314858795132337,3.7386834066066994,2.087387100309358,0.9486557306184528,6.870636672268047
이번,2.9094252157633123,5.149256922347575,0.5167554870587314,0.0,2.8202604654250183,3.500573547723632,2.4306007612750693,3.664560901445058,1.6617446951531656,1.1980834705648458,4.3404011752264395,3.3548331855386073,4.832019031417722,2.7951616796107235,5.844509155000148,3.8587452257544412,3.979543527241795,2.265868291321721,1.5595353575652195,2.820168755926826,6.2739600549904715,5.512568934550169,2.241746561092516,3.3158656430772777,2.278090508880931,6.067527753760761,3.78239103401829,2.7795485816544,0.7657634094346251,2.4423783760819227,4.338269339521119,6.269043715291937,5.123025247944974,5.068603552273452,5.385070255896937,1.629047457620178,5.743570840677747,5.291852914383626,3.7043558365613642,4.800150847252953,5.687148000717964,3.7869090485083174,4.160499270954625,2.8726832115523466,3.17750318818638,2.9700952203204145,4.250116020709724,5.557656052004844,3.864201674733187,1.5432910230694012,4.563460175940386,4.651436800413927,6.545735080725103,6.703799301027845,4.644603674479188,4.6393939580919135,1.9815354502696918,6.071871797145287,3.8286511417385283,3.99864023600419,2.81482780699957,1.7653290053417374,2.710956700350833,7.124916422398355,2.6990133510819496,5.890257027880395,3.4207453313711746,4.661795765693476,3.2862166702949778,3.514157772347313,2.9983590968831595,3.259058582068605,2.989316615464124,2.2189630195560697,3.8241601863642285,2.7203822674344793,2.3527679562843566,0.7517264644309745,4.349435019786477,2.5210289640477925,2.228822645516109,4.440259492463011,6.166588728224004,4.026052348850294,3.8444095744521882,1.386446552656926,5.481292070601963,1.9067586807824939,3.798125271763868,3.2234773769087406,2.256055977379676,0.43303499653986216,6.356202187970223
로그인,3.572329297744418,3.105967285808758,2.765638700324244,2.8202604654250183,0.0,4.435364488642282,3.7060520763902245,5.6999416172888235,2.249468388934052,4.014150079893979,3.7636991052835036,1.2172591428154047,2.961339438442699,4.971082862437948,6.6129177965172925,4.848581404488233,5.723987083251994,1.0239009214244235,2.045048251350691,3.956990727234007,4.0131722966475385,3.0960114815661353,3.5778468490248336,4.004788824170895,2.8326047271972072,4.146234216791975,0.9988384522080745,0.5991468548615615,3.2803514380875742,4.44229243671314,4.4799421283114444,7.56787449046612,2.6494487069985415,2.344200881124208,2.670028035951929,3.964313269683051,7.626572371411512,7.118933939366333,2.515200169000298,5.542264215728355,6.853721641072899,3.629066080588006,3.8729711890788705,1.7197895216564405,5.714975017415025,4.149917858164136,4.257415676495065,6.783797388648855,4.537176477565207,4.24524675423282,1.7456582354914885,2.377751823447842,3.796679386921609,3.9071596573371297,2.5129080018153647,2.573805589302973,2.7283595869435198,3.881510286287212,3.268602828639679,5.096583091492454,5.613938917941199,3.378468861209287,4.162382912093529,4.890059593447689,3.7155674127401235,3.628070818161878,1.3102892061071882,3.159781161231213,5.9848439687847526,6.326147977904878,1.3440946230278912,1.5409429268885295,4.8791738916503276,0.8506852401281034,4.128421631716788,0.44358812926830604,0.5767290896628016,3.451847599327147,6.022748651213835,3.4997728027420463,4.834364242738361,5.955553279691601,4.300576074480318,4.808303846403333,4.437104637874501,1.925575856219393,2.891092408035612,3.1013591871436996,5.135927433427397,4.836015100713519,4.8213692397871455,2.975440171221043,7.669343684610833
매칭,0.8636497422744905,7.526396669484555,4.005993643801451,3.500573547723632,4.435364488642282,0.0,1.0712411893953042,2.1040447419970874,4.909144049269218,3.6165678473011402,7.529426605626408,5.5791417411098445,3.977274789176334,6.039622263633206,2.369152981247245,0.41618383849803736,1.6923274058978024,3.414928872776171,2.596037977721716,6.319311660965917,8.441680267152915,7.506528873541088,1.2593551151399156,0.4768608119743559,5.6475220615146435,8.560825337256556,5.2931575623730565,4.857332584897919,2.8841413031743772,1.708537442649428,7.749113147270607,3.132941906800712,7.054002222895212,6.572551575430237,5.753655030142942,2.3670173356622084,3.4315888146278586,2.9215880260178078,6.561159224034867,1.301406803011294,2.4273299545170146,7.0887789770828835,7.44334061318929,5.6245346474411555,3.1563179715102976,0.558090547436195,7.624873689017917,2.349690887898325,0.46448519338773475,3.1344698478462956,5.747826872673892,4.4445596323824486,7.8518009413428365,7.781486228079667,6.936659723032718,6.987592752116265,5.3628209925862,8.316323723621649,6.9890998481257425,0.6637677057546437,4.160063103321528,1.7419978174795405,0.9301573172121038,9.315345989104664,0.8277023578749868,8.059372444035535,5.671765264732729,3.422891725704775,3.8274659484474998,4.768898257492229,3.372923200727021,3.398811444395512,1.5306801962549992,4.525173483908126,0.9078290870997963,4.70170036237408,3.8977470204166353,4.010372862682973,1.8363912174808295,5.999793698361951,5.123073203136175,1.643753357977805,8.706550163094217,7.521626975665676,7.319133030116519,4.464669543377532,5.512571154501721,5.37977169689937,0.8365912412284163,1.0675599649492507,5.20813903767382,3.0929645453691412,3.2341762421969196
시간,0.7458929733562248,6.724756474502825,2.9382596872067315,2.4306007612750693,3.7060520763902245,1.0712411893953042,0.0,2.098089588434358,3.8814925105695908,2.6107599800437056,6.536191209519679,4.767277213689983,3.982730108837173,4.998091773061653,3.420987692093281,1.433338347489576,2.021040479494175,2.692585656010031,1.707617128945091,5.250363886104251,7.706893244305346,6.801369259124249,0.18919297198636148,0.9785347389318757,4.605806438600193,7.7439740834272115,4.6426078284032775,4.047185390472477,1.8218326871260782,1.075392418101409,6.704940880077645,4.007914946061587,6.35550018490852,5.973372797741791,5.450367653948066,1.4212466121392409,3.9225161952095764,3.4134462179937484,5.632456654198302,2.369552504362749,3.356311766405799,6.06793488479252,6.4282986439896135,4.70043628054698,2.67858949246428,0.5480526264830677,6.589128338327992,3.2488065131168096,1.4637427168422923,2.197657270869879,5.205803099385965,4.253715462236867,7.339238242541809,7.3321018564919695,6.145217581571374,6.183526520621645,4.317391345011836,7.559937367040482,5.998787512220683,1.5983883044990175,3.405286760252929,0.6714255353560505,0.459394394829737,8.585417577326163,0.34559780867975093,7.318632230568614,4.856995153650533,3.532060533509107,3.2568709368340536,4.081774493492906,2.877052504575778,2.985602913594263,1.2832465812785367,3.6483518578611935,1.587738078900065,3.904420463271885,3.137215609201996,2.9474838606564577,2.317772782688591,4.936827633274996,4.120977749989471,2.274851918932218,7.879442506595534,6.454343658877543,6.258230247931932,3.453073462368753,5.304385562605932,4.317356669382877,1.492368321832512,1.1332045849082282,4.199284522314666,2.0217357412116477,4.103694838115966
해결,2.629737184837918,8.590784752957175,4.150607277682566,3.664560901445058,5.6999416172888235,2.1040447419970874,2.098089588434358,0.0,5.322608989859317,3.07103259514486,8.004324263566362,6.657009222846614,5.975447100447063,5.405967010992043,3.2209736590652427,2.003512180925497,0.6733395297135707,4.719032171290383,3.654898940719512,6.243912222490641,9.636452391166678,8.766682298543952,2.1733812048905854,2.4919134819899607,5.9252528057390235,9.57643380121898,6.6708013887023405,5.958080674275108,2.8991589903196417,1.2838569434145657,7.919607501247809,2.9279544189294664,8.33085949805495,8.015606520409774,7.545869028696335,2.0362362442809143,2.079241845634791,1.6430071822680488,7.307749691500608,2.6449553334336655,2.593808329632802,7.436715558113648,7.8122699947269965,6.415161934020508,1.3960751479916116,1.8937978726920752,7.861866859547779,2.4216586725608136,2.4929363161128233,2.442680885486972,7.276514683832888,6.3248089700485775,9.40989969922606,9.41938643035349,8.032374213825676,8.054754696939307,5.629831354560823,9.468631215201443,7.492911006303911,1.8393987717472629,2.726272587937475,2.3237876826325743,1.6602901395608065,10.51243650526843,2.2594562755514076,9.246020681185747,6.741086065245805,5.461987726993699,2.093806506764916,3.1277139364032265,4.972189825516296,5.0835099899679985,0.8273869756447502,5.487607343023648,3.0117044340036254,5.833350355554715,5.1232453172314,3.795352352077754,0.9747625867609405,6.053267475154373,4.331355013140203,1.2721126231931557,9.695629124382892,7.431423570682062,7.339098315889244,4.992577358768633,7.384414735938676,5.479727099831442,1.4137828723350754,1.0751135892093462,4.441996868428406,3.249467268431214,2.991034505789734
유저,4.176528543709782,3.6558587870415855,1.2173965157502835,1.6617446951531656,2.249468388934052,4.909144049269218,3.8814925105695908,5.322608989859317,0.0,2.6275230380486065,2.693658330756312,2.1455630702983375,5.030363172246147,2.76650328861207,7.277833812891502,5.301912487028379,5.608584421827119,2.372906679021512,2.4328080447678735,1.775477353387192,4.815686587691619,4.16770766864134,3.6965448672693157,4.626349029707093,0.7700950751205264,4.499901687423145,2.947242502860681,1.8646517324468044,2.4244659657542194,4.0819385027631006,2.853110302391319,7.8459275835594235,3.8384791330922137,4.012068454190239,4.8850637644374455,3.2893981583617973,7.400417876826322,6.942602573329821,2.0893994139995495,6.198838624592073,7.226458884634303,2.1870638083396443,2.5506638648584676,1.3857590694444974,4.788497437434237,4.428411452638631,2.717094709638722,7.109124975229091,5.201966221185529,3.129788312002262,3.7585631688591445,4.575623288726248,5.452395500357991,5.707410377285521,3.2208895899630026,3.1891606589226824,0.5387621105200582,4.591576887835489,2.172628047974614,5.479778671635755,4.187006053536647,3.2674298510964834,4.236943753164116,5.631319498429001,4.081469610274199,4.447472131577631,2.178679071946211,5.066808291430793,4.798685425011642,4.803760062292747,3.1486875630855566,3.4213087400615603,4.624059630404548,1.400015879084594,5.021414708298115,1.9109639326257,2.1060771951312773,1.8278530992751718,5.972361466398037,1.331549756422362,2.8564781058690554,6.035998222005508,4.582669296735116,2.8178229641572883,2.523859813462775,0.48162057454729723,5.138258135872358,0.8533734542733022,5.3383793315755605,4.811781938421567,2.811379287854063,2.073616140471973,7.936985157615623
로딩,3.2815010102873883,6.25149584210029,1.4371375527210024,1.1980834705648458,4.014150079893979,3.6165678473011402,2.6107599800437056,3.07103259514486,2.6275230380486065,0.0,5.147877067263996,4.523707460983022,5.801612236322956,2.453038644656201,5.789183856347865,3.888778864146292,3.5507056943867634,3.3877698988979796,2.495129200420824,3.1887318455977365,7.395763071822063,6.669353487033903,2.4496072437693224,3.5885830036383726,3.0477124921700076,7.125011707228651,4.980331635595813,3.9721924390986145,0.962430621943069,2.100858881178706,4.907846977756376,5.921580958453026,6.291676486960374,6.263902043667919,6.541928209863067,1.2674560702977204,5.097237019608974,4.702798680894438,4.716623841300147,4.842277811329784,5.4431540596634385,4.522292473448118,4.896696105982793,3.9601774773618903,2.2172848911087724,3.059194686775515,4.8778774876064785,5.291113230926991,4.052334881351015,0.6284964758473223,5.758940793901217,5.7213442663178515,7.741291702933601,7.901882049019089,5.773539758418104,5.758425743518511,2.7697902561451753,7.183238169651847,4.679617321668542,3.95144585959019,1.6223574560491003,1.9962172729795749,2.6995876005888575,8.231838344769272,2.9468219999439813,7.017320630890254,4.584809578050896,5.5459843003386355,2.1713286065515582,2.316082158256744,4.062581500503151,4.305446804756711,2.606992530546313,3.4092904567399436,4.185172308862575,3.9171474838424944,3.529684473049674,0.8200253417002833,3.9266797088235044,3.042735860129719,1.5106901494681726,4.104448462889725,7.209948232415407,4.364227818839834,4.290889247727194,2.4836641938895174,6.60576054670619,2.5203673131369184,3.6441088135933404,2.99245184364817,1.5922026770234408,1.1059116637406732,5.996752654951737
