,유저,상자,데이터,와이파이,사람,접속,동안,화가,패배,파워,전설,리뷰,스킨,로딩,플레이,동생,설날,이벤트,결제,처리,상황,현질,버그,기존,수준,점수,실력,상대,시스템,계정,이번,재키,핸드폰,로그인,튕기,오류,바이러스,신고,능력,레벨,수정,자살골,추가,가젯,레이,레드,잠시,상대편,우리,모두,해결,실패,업뎃,삭제,설치,개선,사항,어플,상태,화면,별로,패널,매칭,시도,아이폰,친구,확률,일부러,조합,서버,연결,폭포,거기,티밍,밸런스,랜덤,한쪽,스타,세명,붕괴,연속,슈퍼셀,공격,점검,브롤러,로사,보석,로봇,맵좀,금고,모드,선택,체험,하든,지네,무조건,페니,보안관,시즌,만렙
유저,0.0,2.5583758729201143,4.396765708223214,1.8953333819210594,3.3409452475160912,6.6430315732932605,2.791770069181785,1.451682396086691,2.283179375893964,5.230515269340474,2.662151061620198,1.5363339650122187,9.537715384532545,7.147979581382385,3.014646109391366,4.258784643594324,7.389922092666634,4.299106291307566,5.137401420944228,7.0691814113676,3.921567962874294,7.29349309317554,1.4532666503108167,2.6462780624233604,2.233933568269294,2.82308682743618,3.2677338998291194,2.960387086207236,2.8067093852531744,4.287427230513668,8.353931361711762,5.18529679016744,5.273097527752135,8.804236130832576,6.84610167610346,4.623466513412179,6.170482482840084,1.2662789600860518,5.050656354893773,2.9356372524688523,4.823742587303818,1.2061366143134322,1.1293518253788455,5.7795121551551745,4.728931703025503,3.6168452170052747,6.199651510516399,3.688609894658359,6.748517356692619,5.913613210136489,4.326000667976179,8.9823270354349,8.068604806360336,5.42881960936009,8.774828531312291,4.744103750751843,7.828465686807938,3.316551381930781,7.3672505908994,3.8511975791206083,4.348935554497149,1.997940858364141,3.631638521825845,6.104054947947777,4.2322294356923065,8.682591126067772,3.579886527034872,2.1589940769321787,6.890023975254921,8.779461183888413,6.816988438780376,5.418590816310527,2.973045587332904,3.1718924480838155,3.077026987136682,3.0747275302663275,3.456888987562686,2.5511214384896457,3.418505601414963,2.8004156694637254,3.6640846102063023,6.476921314198349,1.6031094636067384,9.711595494315043,9.40212864591344,9.129429151339403,3.3099150283541716,3.544576904557802,4.009698826577964,7.432406300187119,3.941829229537339,5.409304463822516,5.478847366440703,2.2331405570641847,4.891801942300684,2.328369216311449,4.357728109197733,8.548680257798257,3.105935988501975,9.263894462363885
상자,2.5583758729201143,0.0,5.504359509241548,3.5155997666401255,5.694735462129039,7.83518121273826,3.497647020237771,1.114714839303076,4.229666342297456,3.9444504794887325,0.4577814291619267,2.558334796428256,8.468155142393657,8.704957771424555,5.418613308853362,5.754788027525291,7.331315287419185,4.720529252802923,5.417905874831466,7.30535464274442,6.465525634392466,7.103929070262738,3.36166694358024,4.1955598125048095,4.275747427409663,5.378170514118501,5.825829171213843,3.0196282077412877,5.300194000306306,5.191905854431075,9.063584173402349,5.976039949354919,6.733019833642006,9.790430443353873,8.213356345094802,6.212411732285463,8.027479682435176,2.8821892562359754,6.842662066884643,2.5748943774747195,6.345578799359178,3.1698210628108274,1.7628039557345725,6.935889210046393,4.596495396658257,3.805258154400932,5.504691893903924,2.673059699382552,6.397862987850075,5.040435684729471,6.3749034186626465,10.128455751518123,9.141175494078926,7.763784800172741,9.86774737421001,7.0089148043605976,9.204774723267768,5.296145068416946,8.412080014552235,5.442411791738166,6.768724538864086,4.406841113348102,4.714505442727283,7.391016248812343,6.044607318484638,9.30906382799953,3.3335491962358246,4.552013833785036,6.984040756874226,7.674455885792483,7.659275641969372,7.750205616966731,0.9028869836373002,0.9790714322124818,3.840111652456839,2.395371132825635,3.465469560169127,3.0658972141572516,3.5310621857205176,3.607868490116205,2.5234027136873842,6.3475050441197105,3.677119670369404,8.719567842906562,8.253786379157441,8.05917947507211,4.74448433031905,5.870366517787767,4.753604271317577,5.934964295637846,4.903567898891916,7.967677407339576,8.03642972712177,4.674182026055528,5.992108095210961,4.817563530339503,3.6750689721751533,7.370869452743591,3.9281865422823232,8.57166581363807
데이터,4.396765708223214,5.504359509241548,0.0,2.5032843998772245,6.33718240089655,2.342277637527228,2.0072054030604702,4.980764026504074,2.391129056951795,4.477607635864897,5.200462259691018,3.1391179017432225,7.015329239604618,3.28346998380717,3.4540226899834603,0.8735151809589375,3.736696304358915,1.4011086923344358,1.747520337084097,3.1063835076933723,4.836870898991843,3.840169915566951,2.973064269500922,1.7876173670778346,6.131249768921029,4.913078217815562,4.992084824676747,2.625070641207716,3.894971927235095,0.4694753812251821,3.9745852833156197,0.9519404123201616,1.3783872880590065,4.427162920758191,2.716964394402353,1.2356038680344386,3.049522600017634,5.638814611614216,2.0288988463220767,7.187616213647114,1.1802316407411526,5.4685443344960545,4.07002768597177,1.4427457074527725,2.390433134198912,2.0486627609570234,3.9164709397197526,3.7792983210514404,3.684462156430909,4.072256647010676,2.454909607155668,4.672531410896328,3.7150767191172536,7.963215725569725,4.43618862811399,3.472440879832722,3.7029463064978034,2.079581795078121,2.996375148328859,1.1039676262804416,4.028216100984621,5.371093127090305,0.8058014907406672,1.8886330595006031,1.696528568053875,4.3227064479229975,2.7153905414870847,5.4990190740408424,3.13495239472886,6.447016385547841,2.427869608918533,7.965860666014438,6.361316067068503,6.475827278372921,7.461353389182311,3.4865245445031965,7.823142985258995,6.941933138578241,7.796981869617624,7.188286268461241,3.9511497338318082,3.1539420337365414,5.663246167223141,7.035678587569839,7.034965508214474,6.674292373203498,1.1549445979431434,6.556187281140671,8.365997200405554,6.138589176915938,8.248186766716477,6.257165408077317,6.20167707797115,3.5431568889671126,0.5044215851248756,3.7831175153519547,3.278386638680073,6.389234070991403,1.576948698433111,6.1867232665851
와이파이,1.8953333819210594,3.5155997666401255,2.5032843998772245,0.0,4.303490866987538,4.758310055208213,1.2470071623569947,2.7070613386627262,0.7704779838170058,4.473447458573205,3.3593928080484132,0.9726521473184312,8.310776676004902,5.357617349203123,2.297348833351933,2.410112954698377,5.7202624148520185,2.6079271724764763,3.437215851203502,5.302387076281267,3.6915930936407055,5.6827794439938,0.49351781182248217,0.768506078849486,3.753905830420225,3.137741208078477,3.4163497768287305,1.8540894907922023,2.4441041640516454,2.424432183622658,6.469572007354944,3.321207236807257,3.429537779321045,6.910273984983382,4.993578751020804,2.8163929759204707,4.536549018339775,3.136855341234257,3.361733595781388,4.751107491268915,2.9937765182388025,2.9829223434525454,1.804646447032363,3.8874729834200994,3.2792175540745063,2.1744780278425173,4.923453923686421,3.0891177207119833,5.240452214605686,4.777760038032349,2.866411570199061,7.101380592644306,6.177963193909185,6.221350555366793,6.887603078635005,3.584480869170126,5.984926723914616,1.7881852284482405,5.473544812558856,2.0291871066421523,3.545394967425748,3.1184647974401773,1.754698071624826,4.229331559311562,2.5481399301132543,6.806022349927723,2.4522773153464272,3.269097616064368,5.178190657606688,7.604110251783904,4.927812226291291,6.21789943524988,4.249752197783867,4.406318273137409,4.959066283987038,2.4875819040446707,5.339487803236061,4.444954052117312,5.307172095478849,4.685401383384749,3.1659240551780226,4.876541081754892,3.2255060745957316,8.430985426419193,8.23065506026855,7.917666843007626,1.425128937725991,4.529312638552222,5.871078173941334,6.611733284689861,5.768285227668639,5.302416300842365,5.314533922611501,1.812355486187048,2.996709091198433,2.0644917720156273,3.3294097738340214,7.431808806050052,1.3860478037258341,7.827406738026982
사람,3.3409452475160912,5.694735462129039,6.33718240089655,4.303490866987538,0.0,8.040416487814715,5.5408068481613215,4.611083097362229,4.009672837364027,8.490268255120125,5.906280727288865,4.599262985711247,12.595253940621255,7.933098070420677,3.0787028614275656,5.757292465274568,9.935391987622683,6.871309584408847,7.67256049882845,9.412322639467748,2.448463427924549,9.938669952115244,3.86176013759162,4.709355454446085,1.562473882216158,1.5014961347873583,1.6790681045913305,6.005273014624643,2.566900684496201,6.46210040277496,10.124887206042265,7.28194944432548,6.555188676136501,10.211130581012476,7.970679781087685,5.8776469546515235,6.576849819142842,2.8790280931284222,5.842642227094891,4.6014462131678755,6.124784725098636,2.539690499666016,4.467328131931412,7.365634001464455,7.581573137413706,6.4675481703497,9.20704052986959,6.9621806386637815,9.53611225696404,9.013850994939647,4.81074871557072,10.164580694215738,9.439184361333163,2.090428858323388,10.047554438409604,4.488990101384309,8.805903493902413,4.380906536120615,8.853722121886003,5.348021544406946,3.6254108585602016,1.3435899467101904,5.811011657511024,7.462766625903167,5.2358929045965175,10.51427222975404,6.641400414531847,1.1819512567777775,9.362957720172675,11.871831607246435,8.609523095465548,2.079435664272046,5.786356754038668,5.996881159583202,3.411778305275938,6.33016551072233,4.414270071820003,3.669199242686294,4.285999333448867,3.328726679411601,6.960510382129394,9.145994567944228,2.0456947628110362,12.72666290467158,12.499242958388374,12.197193996303573,5.217281785284017,0.22590736536894687,3.6950641873843573,10.692909436441825,3.3424520720044932,3.0544526525884086,3.1977788670346055,2.7942736527975667,6.723056921094233,2.5604171630003294,7.492658051590614,11.677911072295872,5.674485324935034,12.127637103832202
접속,6.6430315732932605,7.83518121273826,2.342277637527228,4.758310055208213,8.040416487814715,0.0,4.339523158493191,7.319126684629505,4.451981457533471,6.2035847158911945,7.515986988951952,5.472217937938533,7.3583751144140495,1.4538748194741982,4.9646610764024866,2.4189443110909292,3.665108301575006,3.3280300244675622,3.0472857972613956,2.8084803810475036,6.042238448814769,3.979964001271213,5.191464688103108,3.9973583381098194,8.144712393247708,6.541896805401783,6.4760778450734895,4.888219417309148,5.474077766335645,2.6503407809683712,2.1921439446874076,2.0031934380382506,1.4887838427471958,2.2029806095561786,0.6516040763620515,2.1780926396327653,2.3281638190787906,7.846344933223806,2.3002029578281626,9.497063566901058,1.9351906873737799,7.6324829224280775,6.405047557993272,0.9004430177133079,4.049921639829037,4.197587141514123,5.028369873937928,5.888819597369246,4.274994299402021,5.40101872812194,3.320739924375559,2.3443992028135927,1.4402056829791516,9.332252220495647,2.13258477072911,4.07066263420138,1.445575615380816,3.6997687296450645,0.8162199879088197,2.8475440449157072,4.922977271276627,7.301918523833841,3.1467689284182074,0.5788208326531181,2.8045348397274754,2.6065545034509054,4.83678774486785,7.405209237078205,3.159635033941401,7.00212455136356,1.076719267402271,9.340032957496367,8.699392588282796,8.80989587285464,9.659523662390445,5.709306111269819,10.096514213168625,9.192891579982852,10.061281664439395,9.393714454565844,6.074392280768992,3.6977493576362157,7.755200180582585,7.259475731303708,7.487760623680308,7.11072692687055,3.3344928203092685,8.241668708364458,10.525491591813648,7.351625380751546,10.369562965970106,7.1134103509403666,7.009146999929986,5.344520515179465,1.8451711495153809,5.534722030664971,5.167373925259393,7.069560742476078,3.909376940486932,6.187481008708328
동안,2.791770069181785,3.497647020237771,2.0072054030604702,1.2470071623569947,5.5408068481613215,4.339523158493191,0.0,3.043739956055727,1.8057702472837884,3.3420169876470673,3.1967633041472667,1.296794803514397,7.064257985923507,5.246514914526402,3.390923806015774,2.366906053240099,4.6035870483854096,1.5094175799808942,2.34601255140323,4.28591186957009,4.839765921645977,4.52572442689866,1.6821883082586133,1.226957010859147,4.88147097505171,4.378685117216177,4.638748764951167,0.8006243309280233,3.6216883636633277,1.7106355342178867,5.728135068709358,2.553051115170433,3.2813137642124652,6.346591259685769,4.720841542583502,2.8459981737706337,4.746750043967151,4.051406044681119,3.5761381670831023,5.327423126481071,2.934503238356516,3.9826788892042226,2.168593896466921,3.4395051130795093,2.043624348042298,0.928146547053425,3.676529446681082,2.132114503417959,4.033782992101889,3.539600460471654,3.4351857630178917,6.647773576284915,5.67001486309062,7.468164770452621,6.396318361904648,4.335559498611475,5.70955963427214,2.4694332948991278,4.942056664044038,2.152520441043752,4.50361673581113,4.3215015143537245,1.2284443721009801,3.895230315098064,2.872434911856464,6.021933904661141,1.2769120746478178,4.4771377852499485,4.0982578807316665,6.357394286680755,4.245410251885103,7.464782264982779,4.3604360660298855,4.470728357538488,5.830624450021453,1.6510576730438258,6.038361957861488,5.219191188083288,6.031404677507772,5.550698563273313,2.2597982619163592,3.710681345112994,4.305851346275714,7.187318055109194,6.983826104992349,6.670741038086263,1.4470780128442182,5.766323233874691,6.783152358939218,5.4210128887412585,6.73151228612171,6.43799330063843,6.4347946108747776,3.022664466438659,2.495092160077702,3.2814887039945315,2.1413688425950093,6.187838906157896,0.43054353390212785,6.607068363100355
화가,1.451682396086691,1.114714839303076,4.980764026504074,2.7070613386627262,4.611083097362229,7.319126684629505,3.043739956055727,0.0,3.3439353672523944,4.454969405087209,1.2989926979568442,1.8509515405829393,8.949634482971817,8.044588801117929,4.386646036081734,5.080217192773518,7.3472019871884156,4.460224246131218,5.24348344849751,7.191158695984458,5.370856992719565,7.174423053020849,2.4471964860030555,3.451492664295494,3.2487236912123247,4.265469276362071,4.715431488273005,2.8124347777515757,4.2303186437774585,4.7429647493350835,8.766450031104968,5.596772892077027,6.0908018207545185,9.381104993949078,7.6280563350830635,5.50947682555047,7.236511101668843,1.8830846215159007,6.0670363858304,2.325828741293421,5.671943837993202,2.119575535892303,0.9198639991669347,6.422216634333551,4.578863915434469,3.601908989284958,5.773926680331382,2.981327503560327,6.528321619345386,5.3819091687325615,5.49116563646482,9.653224936228067,8.689428170328803,6.691788559028189,9.413353076017097,6.042571197117084,8.624612910823265,4.42453750587357,7.964891349000415,4.723146900707581,5.735590056907855,3.3058823748176995,4.174970208635001,6.829626448406713,5.250072436825404,9.050144839097605,3.300958076989854,3.4545343057030524,6.92694192530722,8.16470916275297,7.288880851844246,6.679060699189369,1.5897968722555156,1.7724420520045097,3.2002961323812404,2.4942227850331213,3.1208437174484955,2.460711089396853,3.1436618887267183,2.934866617678258,2.8877977369807963,6.377662965125224,2.6267124146248886,9.168323075694653,8.76893263606522,8.537383440922259,4.066198272023151,4.793976290054925,4.1670548977778035,6.586444061127921,4.238790605122884,6.858395302810933,6.929652114641404,3.6230775010723355,5.483682115368022,3.747987827151769,3.8762724509470208,7.891145867963181,3.456399666341933,8.884870879822772
패배,2.283179375893964,4.229666342297456,2.391129056951795,0.7704779838170058,4.009672837364027,4.451981457533471,1.8057702472837884,3.3439353672523944,0.0,5.134368994182068,4.1019673296876,1.7271763097039254,8.763709011006574,4.866704627802597,1.589745160448281,2.0338310559435846,5.926851153761321,2.8985381758937616,3.674699633593938,5.412025317358756,3.0340939597793932,5.9408323932017435,0.8983742715481974,0.7091556130633413,3.7486718258051,2.6834592714996175,2.882989167804837,2.5249486326093797,1.828089374500387,2.4600483282447616,6.333179056782846,3.3094533094733665,3.025455422300395,6.646557904590865,4.596331075956655,2.356344032139862,3.915975516482331,3.415042283942001,2.7739273977479435,5.217106638525886,2.5691734837105114,3.1829065044918248,2.4812264198040825,3.6334789894449186,3.716978993161658,2.6836717107122032,5.40029810053913,3.8107176163371324,5.581854021619624,5.317302196318999,2.151843109552383,6.767247848397401,5.8913508137387725,5.7966156379628755,6.5791249330795685,2.81924436640153,5.567312606928566,1.0806026693138424,5.21645332567533,1.6084978492293323,2.786415219594382,2.981083609036344,1.8017664875008281,3.892003960707503,1.952857049894654,6.695574590344149,3.0770890105124136,3.1115709685054207,5.353302740206448,8.086116953882323,4.784577119635045,5.795716845469914,4.919461903326201,5.086830571617228,5.2149204478065725,3.2271757932734495,5.718512997523596,4.7908154967307,5.669542078217281,4.95298487062062,3.9000353449743295,5.159085977753955,3.312823372988376,8.857862944703406,8.708504756674497,8.380906299136639,1.2380233400574485,4.233383791253469,6.0735223236497875,7.226475743481035,5.922872692101298,4.633249732722966,4.632787976114508,1.2786330244688782,2.8352178188593564,1.5404630026751764,3.9466315476237344,7.939421485324776,1.7771373409531221,8.176697243947727
파워,5.230515269340474,3.9444504794887325,4.477607635864897,4.473447458573205,8.490268255120125,6.2035847158911945,3.3420169876470673,4.454969405087209,5.134368994182068,0.0,3.4904578584853625,3.904943909062854,4.528074985204334,7.522647353645073,6.724093138428962,5.23511469400314,4.048511365715475,3.0830139227279534,3.1563462162753404,4.390471220483717,8.156618079720781,3.7074875640301608,4.77793157425107,4.561988959801742,7.45243618138634,7.551585815873796,7.87117183729572,2.6204313194567233,6.916287609970483,4.008270746690765,6.500487856172381,4.253445019549263,5.819649865746385,7.5283839325694775,6.792529440684422,5.679922117328933,7.524899854273403,6.231031316837974,6.480125540380703,6.513059177213866,5.65600747413477,6.352103870648946,4.12937960270146,5.466337173589908,2.170494364951012,2.600945503701436,1.83325581790033,1.5420633832163249,2.936275229796579,1.274504457998572,6.627815495046236,8.067136643915358,7.093147731358888,10.53424851274911,7.75558575775177,7.594438333475386,7.632837074077652,5.765238977892396,6.4371991771890436,5.205471674519366,7.837221035944414,7.164520941872885,4.077772144660037,6.014195680631392,5.953534830146121,6.603760160500871,2.0659754082182387,7.328680804787715,3.9482782580269253,3.7356994064909372,5.523178099057638,10.527354475206387,4.721856534336925,4.6801482048119265,7.642791845897052,2.163222512686032,7.397014838281584,6.884837934140848,7.453366559178393,7.383226538844972,1.5859346747572503,3.1642496123718464,6.811927164939851,4.7751466588968965,4.326630757105599,4.117783086980012,4.609837084173583,8.70700379891571,8.598871528814856,2.2047543068909197,8.690652660308062,9.763446010711103,9.766558286599693,6.283819692107109,4.746072828992899,6.531844463117552,1.24219205629721,3.4449390562918287,3.5082265758632305,4.689138077247576
