,신규,이름,플레이,이번,로그인,매칭,시간,해결,유저,로딩,상자,전설,하니,브롤러,접속,버그,공격,주말,팩토리,화가,바운티,이스트,마음,보석,한판,레드,와이파이,별로,스타,재미,연습,이벤트,슈퍼셀,감사,서버,중이,삭제,보고,크로우,미스터,너프,스파이크,프랭크,확률,제시,설치,전투,화면,스킨,최고,트론,핸드폰,포코,그래픽,이유,부탁,중독,여러가지,대형,추천,샌디,사람,광고,지역,토큰,럼블,캐릭,기분,모두,레온,인기,개월,가장,요청,친구,동생,경고,솔로,체험,무엇,맥스,추가,먼저,사전예약,역시,파이,점검,생기,이점,매일,보상,무한,상점
신규,1.0,0.006061282018288474,0.26758532794130563,0.37812859467650795,0.23080528896282493,0.9178733471845956,0.9380799281516023,0.4517943871254703,0.13478397922320834,0.29020411190554884,0.005370420682659198,0.07712396918600163,0.27576266678669387,0.027146358124927456,0.3213103312471942,0.8293204539258883,0.52114053312419,0.4729012100260726,0.6924479593214655,0.024296280378984365,0.0013633802870962567,0.00627779768484594,0.9191184365591871,0.9761141790878267,0.06109838744255821,0.0010965896635362676,0.1046720805427206,0.15881223547539322,0.5114678880811598,0.6918040101909841,0.003424209121069571,0.1597476959355095,0.012232213897551115,0.023327802045440677,0.057775776756989215,0.5887091063314963,0.1291200315959581,0.20627106236177378,0.02278651922934697,0.6161777525737525,0.2895116988488137,0.00994557147486499,0.0059251248942183065,0.07075087921475012,0.26739880110359343,0.9390985806528516,0.004275304915882479,0.3057393877848394,0.884255667992818,0.37640336298299215,0.06314849186964341,0.205001153740025,0.0034889339101471543,0.0038011702439020557,0.014386719399368112,0.013369538831064301,0.08276275508170118,0.0016921849094611054,0.012015055985010285,0.7650591155971813,0.13813606847042995,0.8270988826517516,0.8877783627684928,0.00027274364811908253,0.979787167250091,0.002608771696691541,0.06965625546418226,0.3918425517329603,0.16074614082787747,0.06876745862202413,0.47991493171207683,0.46709199163541165,0.6668988318459014,0.20960320003826746,0.9069431306008373,0.18301059006583517,0.3463221486547192,0.24160461380403084,0.46018852497244495,0.03785713759408576,0.07230538625280934,0.4996996888059096,0.0008431297193312707,0.004390425357608108,0.0062776952651077194,0.2047663648992904,0.07241830510000834,0.07732087700644594,0.7380970246091123,0.7549474636999093,0.06683088625155886,0.4757318483648095,0.14536420184680718
이름,0.06104101494700722,1.0,0.23259758009432807,0.1885655303816339,0.5449889960722755,0.02831970398450487,0.058112028185199976,0.009623154742115959,0.4313037676403435,0.08552192286855903,0.6957717388974544,0.7857361736332292,0.15883524169715232,0.10397681243820044,0.0026303864242769237,0.018906632471275588,0.008453987077900385,0.3446710584433343,0.20509232440237476,0.30257235777835534,0.9177951325327216,0.9497165113688414,0.0657939802544827,0.04173182448323514,0.45423811220976723,0.9340794452840585,0.6862561882447292,0.6365228578102281,0.1171604019878637,0.03475124605837432,0.4536681858318535,0.0007867320423607137,0.9362042905736983,0.8001092460992042,0.40316638185843917,0.06127268425163356,0.0008488246684576256,0.0016212033028923348,0.8360660647847352,0.009042853620699821,0.0019684717728502103,0.5929135678292481,0.6121072243388274,0.7186794569891447,0.012813610639499188,0.03815084757803757,0.5067648180148491,0.0021617159363232115,0.025349661308258258,0.05981230827211205,0.661845330033087,0.26698805299418793,0.6582517023371486,0.5602246844424137,0.9780856081767781,0.9817363506056257,0.41985790821819985,0.946390718675253,0.7077901414964869,0.014789495863523133,0.020950408943703407,0.08276200577213742,0.039421934621890135,0.7813306065645972,0.055571251641958336,0.9577864429287273,0.8029195747298474,0.117625961809722,0.011621883241611845,0.011081718274037772,0.30187658064567474,0.28244863054827857,0.021776507413142354,0.5452159939913346,0.03729841088510725,0.6044552905124637,0.43671139652367563,0.15169655730285694,0.005896369755179685,0.3582441190053427,0.07503325046782877,0.006131782288615451,0.9131135547872584,0.2915575374116634,0.3611366075077257,0.4078296958633564,0.3093167513094036,0.3420390395250994,0.014639459895401998,0.021084239962465542,0.0791494486057078,0.15116581474894944,0.0006869463049253604
플레이,0.11047847134624643,0.011677487850001556,1.0,0.9500251280144325,0.23028361374442707,0.0459148823782332,0.1906198638589323,0.03661041531453709,0.7523665832980841,0.672658070736917,0.057416534413166034,0.15547548820873744,0.00739383390093664,0.31187035591296997,0.00042815165095788795,0.02560693756899915,0.020997812354960205,0.33229249686095547,0.5013368103809515,0.35777658636932763,0.0010945370372780346,0.005098090239660681,0.23434828191416848,0.062081782174130656,0.5456718687464764,0.001970129181061318,0.07496967970261013,0.2687614884258912,0.7356732247121388,0.18873203995183,0.06041683965011092,0.0001455004132904968,0.010421784899978817,0.009885049175540417,0.003656281888554259,0.42338085181012797,0.0005814578592089045,0.0016207956366536824,0.12359287843589369,0.004485954882517242,0.0006179508515287385,0.12552091740667246,0.07610306319536654,0.294545827991677,0.08641537842231146,0.09772614464497639,0.06829762077857786,0.0008389816282258336,0.025998291989008167,0.4953286627542084,0.021305680723320522,0.01215137011374642,0.000405746694575993,0.0002507930884122542,0.02695605635326817,0.02770868381378939,0.6566497679856884,0.0017662700235071883,0.11507479285516117,0.020045157165256837,0.16950896903973822,0.3696520760103238,0.13547255811775885,0.00014140084223757907,0.14047871159140762,0.002527588104298604,0.14532345040045663,0.009203544536891931,0.08274628717611078,0.07218868861203522,0.14473292173770744,0.10246961544562418,0.09584568755237079,0.44506183842750924,0.029019412180471164,0.27663734428361514,0.33856447712445614,0.9087841275480626,0.010784114444747625,0.4621327934445257,0.433422980614801,0.008993921418704101,0.0016176423279121326,0.09315536103055069,0.11917959064537786,0.8090463457730969,0.0026904182251958255,0.6900657541642041,0.028033067104414233,0.06832268547059842,0.4332187868572541,0.8413259688170185,0.000115902938143345
이번,0.19159529454508725,0.005651388371463691,0.9492082687720866,1.0,0.21168795009699018,0.09144150292469277,0.31561214179136726,0.0726994789253641,0.5833075932502398,0.7556331267814812,0.025286119599186217,0.1111334240297894,0.010485661424373875,0.21759284387891237,0.0012710670272072907,0.05466132173853871,0.04543693356163941,0.36706436969985123,0.6220280524979352,0.21170932663800834,0.0004602199274747067,0.002653176805812354,0.37493858874696184,0.11691807300977007,0.36310644513119344,0.0007567454492792807,0.061255024065220216,0.22132142450259373,0.891840941467327,0.3120959868022976,0.02537760809825563,0.0004657933027291341,0.00595660839198685,0.006637738803538129,0.003479830275024887,0.5956890290921066,0.0015970934563264317,0.004226046555950998,0.06865479374447352,0.011133171734113025,0.0018113711988472388,0.06084746631801348,0.03408268441274937,0.1997079529823517,0.139331213304078,0.1787080221660898,0.029419465489281003,0.0024068664477554795,0.05421352476320254,0.6281784124998645,0.017159635706714256,0.014648051591450908,0.0002331292321984212,0.00015489968211580474,0.014830813433450244,0.014971501993509242,0.46464922081573123,0.0007489954675560253,0.05718641072931739,0.04410549140720174,0.2129567714026327,0.544255229034222,0.2382049379194485,4.9699481462378476e-05,0.24122841290276878,0.0011446080752774374,0.10185537689512106,0.014374772402779328,0.12147202944357371,0.08975631154003734,0.17291907485495384,0.12576099863725038,0.17475636934771194,0.3824512413839442,0.057571359662485985,0.2358363481370254,0.3394035445299233,0.8955569947116909,0.0249015845454769,0.28919676760596996,0.3791912555867741,0.021308260239267986,0.0005973196158095169,0.042251680205067164,0.05585242230464434,0.6871302656153276,0.002837376736583823,0.4917840326917956,0.059845303307532426,0.13155286201854446,0.3702574658903734,0.9640569862679361,0.0003757552439208592
로그인,0.11191021737724338,0.19098394817329772,0.269110321757971,0.2553818762115587,1.0,0.03418154991606269,0.09469559848675112,0.003789107860598872,0.41962854061066285,0.0629581413992077,0.0879500459511223,0.7754716398820358,0.22202298862951372,0.01439509611931379,0.0005504374251907813,0.01769577769813193,0.003614629336024445,0.8353407931073075,0.4878594574823712,0.06807852070715013,0.06304300284783404,0.19301845534078188,0.11115509693703264,0.06377445316286327,0.2523418401650824,0.05232606786714977,0.8426399169270522,0.9402537706546358,0.15775884068740006,0.03382266311181901,0.03192797597332735,5.3877296771464804e-05,0.29979452821988556,0.3894317685053259,0.29421492357080975,0.06740420752864368,4.623096302864485e-05,0.0001670422476420677,0.3376754785433687,0.005136339935707745,0.0003155131036447635,0.10433200635952004,0.07621523836187197,0.6019513731158741,0.003679146427205693,0.0520523604756601,0.044573992274352554,0.00037161195562079695,0.029221786130289175,0.04537254354741146,0.5927614500976955,0.3789864905447713,0.08426597563569035,0.07281439602076897,0.33834402672164987,0.32082717480424067,0.2787373428351047,0.07535405822641433,0.1598557287737548,0.011588975690003495,0.004477725362959679,0.14102598602333216,0.05113497242904682,0.01651062476548729,0.09355488563089114,0.10446140877645914,0.7448020227279133,0.1802462285909169,0.00214003815868441,0.001040537607676653,0.7334204062814895,0.6653125679099562,0.01681471478959859,0.8832110333826464,0.05366652201260202,0.9667952333077159,0.9445169571446387,0.12940295701385426,0.001979243259805586,0.12221193218477562,0.018118819212686838,0.0022724177745270095,0.04183620538958247,0.018917289962073088,0.03409110165352591,0.5292376699657138,0.23825324995747,0.19192376305744221,0.01081532332426608,0.018069246687160114,0.018513211659732784,0.21885613930659192,4.1321186387361904e-05
매칭,0.9407370351450646,0.0096615520078011,0.2686359555623688,0.3665369696839982,0.19963633740789635,1.0,0.9102920028457581,0.6958713666061596,0.13891856127684538,0.34257256868773966,0.009625520683483864,0.078127046295519,0.2737281201289842,0.05040704798157381,0.6314609401544099,0.9859136031772057,0.7909097012490148,0.3847559761104883,0.5758047997301234,0.037978326522703366,0.0029185811831381843,0.009900811565614618,0.8781849011489193,0.9815476508629454,0.07336594128203577,0.0024723741093449565,0.100786219460937,0.14479698913711905,0.505957942269141,0.787346612833708,0.007311929732007164,0.4475724713863729,0.016984244840343256,0.02906748026878266,0.0664435246840421,0.6319842866456536,0.38117824285023516,0.4970283719446869,0.029425888893457514,0.8704735365710253,0.6171925983775349,0.016313652812530426,0.01069726486827363,0.07493960087442478,0.442215385647004,0.9748123273475731,0.008550150684704818,0.6362286791744316,0.9824846543839488,0.4472215625441658,0.06680931895670514,0.19830569182181304,0.006412791700200001,0.007016945092983797,0.019428640303022136,0.018332243192611203,0.09484097003339033,0.0034665363994724964,0.018300642777433648,0.9645573446030352,0.24233235027147956,0.7799362775809168,0.9315895561707208,0.0008191068456275417,0.9454333561810739,0.004892918889624754,0.07173537452611256,0.3830439508347188,0.30123761353765316,0.15525313159098253,0.393847005480115,0.3882323603199878,0.825389265997773,0.18690230127013652,0.9347261459555635,0.1635601980845584,0.288135421222828,0.26786466046302454,0.758654831616108,0.05242612994682091,0.11652505409496626,0.8014768888636964,0.00201190978743516,0.00971851600298828,0.012430692701417053,0.1954169461950035,0.08299770101142272,0.09343697784185906,0.9442884987394877,0.910879208051819,0.10843231303608293,0.45679013174740385,0.4245566174287761
시간,0.941077346745089,0.0071810015574885,0.38969572962325594,0.5247268943702685,0.2232984616461995,0.8822644334217313,1.0,0.6184709766085392,0.1930992264781437,0.47520045957500495,0.009434665898060234,0.0836767710551098,0.17702635793075885,0.0654262579534582,0.2787398382490047,0.7991092009745133,0.6402724977344816,0.4532157405004895,0.7273876148951989,0.04933877762715996,0.0015284736880046281,0.006412971506615242,0.9961004749449128,0.9007561400837412,0.09870815752805372,0.0014358118716727255,0.09510824503029347,0.16730231101588736,0.6960743785093297,0.8814066611191632,0.007392657897054754,0.17318001992588283,0.012166198408492328,0.020346723715179517,0.039059843259025076,0.8021257196350154,0.18646765586812591,0.2803124806120416,0.03133734034219643,0.5417828494074262,0.2924007402559089,0.017968651358669496,0.010990990852201942,0.08966128320525205,0.4569501014189551,0.9677451996764824,0.008745567132466568,0.31596634052192385,0.7914626346434198,0.5902593904554966,0.05191305001995278,0.13874892023842797,0.0027957498665491334,0.0028278850201595086,0.016209533335248237,0.015395030761794402,0.1307243995023139,0.0019526119065164068,0.01968204775674045,0.756632110815439,0.28202004354989474,0.9519820330026691,0.9772265679133293,0.00032042431066051764,0.9870471939867947,0.0028894611639942074,0.07615022273570309,0.2562049771919295,0.31416202046812397,0.16224547971789743,0.4051345846443238,0.3779465466474607,0.8354786404278495,0.23388509238475166,0.7594398774175444,0.1893729013670678,0.34152574330319824,0.387393131854243,0.556328245559893,0.06992073814082764,0.1566491382092494,0.5684284050826347,0.0011396290404162247,0.010595726640572267,0.013909745208528406,0.27210916958625264,0.04636156943307998,0.13072867205704083,0.7841856496224704,0.8692072479358505,0.1458953266062027,0.6400760820744258,0.1590986924860539
해결,0.627932689266274,0.006971922279371636,0.3137420225031318,0.4051113062255778,0.11235409730900305,0.742391557542279,0.7436426539529829,1.0,0.14863774714437816,0.5301490880804811,0.01342005649870878,0.0506983633838789,0.09048814384669976,0.13995721446885526,0.49754100469449186,0.7633085898241962,0.9699537859434062,0.2234818376956818,0.407043637350914,0.07256529249002765,0.0019336925384382773,0.005677185338842639,0.7277232435977572,0.6584770275561257,0.09419926264780668,0.0020897025437319845,0.05007515776920697,0.0917588107601109,0.5680459842875064,0.895021186087817,0.01469521159573832,0.5616686331616823,0.009373084699482117,0.013257837400620193,0.021681117182088486,0.7565489936284338,0.7475927043263985,0.8339026757758362,0.02750671841873545,0.6245502585390336,0.6359125639201454,0.024203141405680563,0.016463460090102213,0.06271611474868871,0.8770919041651128,0.7855888422194326,0.015624426888208164,0.6739508193856284,0.6582511606567074,0.6693294952831086,0.028362902293077853,0.0677667555445043,0.002585124416407521,0.002554238981410053,0.013019950876675217,0.01270832279740076,0.11852258469435667,0.002399279601690717,0.022874675947737514,0.7963973990346667,0.6064624174906255,0.6953448252249821,0.8307054274480938,0.0005896737486844415,0.7092776952102176,0.003175579622328099,0.046997632178448295,0.13433955240530746,0.7445415773554407,0.517762615746033,0.1894733737542153,0.1757262944804345,0.954982372461503,0.13182759994590504,0.5431798741602375,0.10130394384092072,0.17099567426616374,0.3793695190281463,0.9380676005151574,0.08496447018378527,0.2829907303145837,0.8968307949845122,0.0017904281803874475,0.024331618726080084,0.026669884896145066,0.18690093982555006,0.025499024708736828,0.1325964463845475,0.8741603723466675,0.9251729223520745,0.2650978374312713,0.4914069395823141,0.5477336895455033
유저,0.06346106269028282,0.12091186956460241,0.7911460123469743,0.6462932019834984,0.4493890180989281,0.02215901971357654,0.0924095448681217,0.011353447477342652,1.0,0.3357741688696358,0.3176055196036929,0.483028500441674,0.018316257884908607,0.29825157221783394,0.0002311068967520622,0.011755017576921644,0.0069266546693074645,0.41063138805665816,0.3923646570786304,0.6075647104928044,0.025582550920350406,0.06420372629104282,0.11532749936768374,0.03393689035980757,0.9105152638637981,0.04072806023840637,0.2533306858428466,0.5771759800513326,0.3948858496114985,0.07180170353673362,0.2761663873546908,5.942781739087135e-05,0.09738968594662198,0.07851604528237724,0.023000724418659513,0.1807985567878245,0.00017389584464267953,0.0004909957733785703,0.5015350382465638,0.0023018338439791315,0.0002599968582008245,0.46949281593914277,0.3575769082156291,0.7381915013636465,0.026660632759411412,0.04505181428373699,0.311302502854526,0.00033918857417907563,0.013876945960007653,0.21258450210968366,0.10719936907492524,0.03653561155200476,0.009101727624962672,0.005804315766998043,0.19400533785830573,0.20034386097089332,0.9551537160953093,0.035700664297901176,0.47418682699837755,0.008681062220380044,0.06258807421144974,0.18496242178246936,0.058561516670905193,0.0066524352025230955,0.07184516141997713,0.04386296802287341,0.4722173438248759,0.017281203099556837,0.02625216371373549,0.02605072726852297,0.2086342804479786,0.15718998495379657,0.03405068958039466,0.7335716020625141,0.01857854496530097,0.5614411912037119,0.49601834370965414,0.5897071339746014,0.0035588380814643764,0.7555817424609209,0.2753282404599698,0.003153897528209333,0.036164829611884546,0.2850418065544337,0.3653483218042127,0.9639977175698132,0.015399890618861545,0.8912627020842618,0.011055687888697973,0.025735021696285245,0.28668085742382676,0.506771300081343,4.735096727174761e-05
로딩,0.20832141336229576,0.003368847356104,0.7401713411819586,0.8113111726342277,0.09562391246891694,0.14876674952927335,0.3704873322402553,0.2531169893195557,0.36577833739941146,1.0,0.021057439667040663,0.05073704320369933,0.0074223594335045846,0.41620003602110767,0.007579765698172798,0.11047159860423403,0.15935687698409132,0.1878862013497042,0.4037621386946567,0.22735718910476205,0.0003463454352548209,0.0015342720821475326,0.41722126644222157,0.15320133636910635,0.25843345521738176,0.000614103730790683,0.02696274997587619,0.10040752359867569,0.8737722635598982,0.5257361402349522,0.02993020370743876,0.006047325797780159,0.003130369704047886,0.0032935031545261845,0.0019606854644859,0.7913458903678784,0.022710614809257835,0.039882738538187294,0.03913326915754996,0.03285157731584968,0.013352235320405678,0.05083173812530154,0.030410706857716373,0.10181129803289186,0.48860861362635466,0.25580702368229025,0.031236613874292444,0.01693586439937174,0.0914280461200103,0.9440812229663411,0.007975382842359085,0.008492947126725083,0.00016166246947562897,0.00011211804346599163,0.007782155418729241,0.007982277766279543,0.3270682273082359,0.0005439180668471115,0.04116661785285521,0.10284104555335763,0.6815231625079599,0.5596179123869565,0.34588390262047114,5.162770741958784e-05,0.2822354685515145,0.0007666485761456249,0.04678583409854937,0.011325625225894542,0.5031771612793916,0.45774666291702293,0.0903272578184313,0.0671804192968748,0.3715497947937802,0.18392489939142356,0.07795616320056757,0.10696476984452713,0.16284980831401433,0.9066865722306605,0.10580602609464897,0.25957707077246145,0.7171580305956187,0.08593820877648009,0.0005142937494151937,0.06237369658251354,0.06841635705757687,0.4071336009822187,0.001735049719345733,0.396385037206652,0.14449565356865307,0.27131008547288066,0.6912152124064492,0.8368023279689099,0.005307400186037021
