,유저,상자,데이터,와이파이,사람,접속,동안,화가,패배,파워,전설,리뷰,스킨,로딩,플레이,동생,설날,이벤트,결제,처리,상황,현질,버그,기존,수준,점수,실력,상대,시스템,계정,이번,재키,핸드폰,로그인,튕기,오류,바이러스,신고,능력,레벨,수정,자살골,추가,가젯,레이,레드,잠시,상대편,우리,모두,해결,실패,업뎃,삭제,설치,개선,사항,어플,상태,화면,별로,패널,매칭,시도,아이폰,친구,확률,일부러,조합,서버,연결,폭포,거기,티밍,밸런스,랜덤,한쪽,스타,세명,붕괴,연속,슈퍼셀,공격,점검,브롤러,로사,보석,로봇,맵좀,금고,모드,선택,체험,하든,지네,무조건,페니,보안관,시즌,만렙
유저,1.0,0.550356770798448,0.17139228470548032,0.7205369967298582,0.3611697391442707,0.017838684728219128,0.49109453826218014,0.8250787852746019,0.6214977570780812,0.08240114711527807,0.5238140418917562,0.8062555422845585,0.0002485482427679009,0.009449871194295243,0.4364014792398423,0.1911240091472746,0.006855705279303882,0.18520042812669013,0.08998847763350397,0.010466874265825352,0.24582287288103022,0.007801123819992824,0.8247324071968696,0.5278565918079162,0.6342406267362831,0.4832785442111122,0.3774705154541502,0.4495029566059444,0.4873612401989949,0.18690273907080082,0.0017165553860838,0.0860193249385655,0.07910617225863585,0.0008482045334328209,0.013893798895088088,0.14222068234131965,0.030994994191523968,0.8638993046802709,0.09754519147141741,0.4555277368687451,0.1196714791577319,0.8756997145505764,0.8901457503896398,0.04747033735831712,0.12998066073430561,0.3031415344016386,0.029991207381663765,0.2889822760310845,0.01568151885335782,0.04114226887078442,0.18132193518562825,0.0006353076434031417,0.0026322742572079537,0.06794768422603328,0.0008891703038636295,0.12828729630711463,0.0037290580505167327,0.3665612098065183,0.007068207655604251,0.25840205611057465,0.17806011431559937,0.6947475247703434,0.30019020388413253,0.03338876252427488,0.19509667691162833,0.0010298877080676882,0.310588176545779,0.6535799045376028,0.013149658877343075,0.000882597199943968,0.014407307766050172,0.06863905026605234,0.44643311201473845,0.3993363020807331,0.4215301424520774,0.4220745397385793,0.336109217869453,0.5522211892537332,0.34430033430301465,0.4889329793734991,0.2937762111410038,0.02176303615138912,0.7909806391130638,0.00018314017727751915,0.0003141715475890978,0.000498210198731794,0.36803492084642775,0.31779935923543134,0.23063487328185067,0.006472913657733674,0.2422753180088821,0.06927166154520402,0.06464753310520197,0.6344456529955386,0.11266510006652893,0.609792319375388,0.17682074590050575,0.0012712246222745607,0.4147113949084253,0.0003975667224251372
상자,0.5391447397352811,1.0,0.05728893432838692,0.3114441912161749,0.0468465284060525,0.003045020443885048,0.3151673560897168,0.889335526581997,0.18478924191292673,0.2302721668618177,0.9804148311229478,0.5391554350322819,0.0011497015826257588,0.0007832340684861592,0.06258389538380434,0.043902923129438845,0.00626375511048223,0.12206532572864301,0.06262919499033386,0.006492474241957686,0.019340736336475747,0.00853848865624291,0.3441710242820879,0.18986963688504144,0.17807826613997418,0.0652170547863922,0.04062286377114185,0.4229044319913026,0.07054925039557453,0.07853524229912126,0.00042922901515842594,0.034364013588305146,0.01385972510081693,0.00011774877698452755,0.0017171663346661004,0.02618243218269379,0.0022832538161471658,0.4565530611179522,0.012043190530202084,0.5348470755404925,0.02235945035674773,0.38737983451805463,0.7458009194671453,0.010668118207874291,0.13613256535278362,0.254951695546654,0.05726915162736744,0.5094630198393951,0.02099664707474361,0.09090662773555984,0.021585927290481595,6.236827584880815e-05,0.00037565458840869775,0.0033825307819330313,0.00010201276678555538,0.009690497102488082,0.0003364817048998849,0.0708355147725101,0.0012571443772205941,0.061075570537222464,0.01324323499615253,0.15993893190403136,0.1227218811860985,0.005765097862880559,0.031792048853415716,0.0002804253883842552,0.3503409854171576,0.14146294808782883,0.010014131049516187,0.003852751484093116,0.003938332211228687,0.0034504609551390796,0.9259431832545039,0.9134973367348549,0.24861953587786575,0.5818413197843416,0.3219032584503674,0.4118134152216075,0.3082577283667272,0.2927104783239258,0.5482649020602232,0.02230791115425592,0.2790993365462318,0.0007646390448378059,0.0016125835816195372,0.0021759621647896533,0.11948085633497448,0.038673890553833454,0.11850799396553649,0.035988071996739354,0.10336754203272495,0.00249898430481632,0.0022524796509989157,0.1271863053660751,0.03374591156345445,0.11185481968002163,0.27949678902009206,0.00592921847157651,0.23307187774119706,0.0009733878925123617
데이터,0.11592352617356558,0.034142371086039854,1.0,0.49733134460406164,0.011373255609744235,0.5425169338233887,0.6382116140928172,0.06295923404195286,0.5287123074025368,0.10701425952163492,0.04906563729431746,0.33340410319861397,0.0041451434731348,0.3006698794200645,0.2645226183662646,0.9184642256357386,0.21089418700778548,0.8034655555614876,0.7114855625623046,0.3410891354968822,0.07369650660698955,0.19324638284675508,0.37333959317414345,0.7003322611131938,0.015142009111187479,0.06783875689803316,0.06217187805996711,0.46388583985636084,0.18432768553993997,0.9757312755118248,0.17189412395707385,0.9039239038757988,0.809141567150919,0.11250895221915069,0.4391844601537096,0.843514534454124,0.35466035442899996,0.02889109446389233,0.6320131616767216,0.0031556050701356817,0.8561863570139802,0.03567125559110133,0.15779471010290486,0.7929305064915592,0.5289084518779011,0.626361245250765,0.18090925265227742,0.20349984914955543,0.2202063922340085,0.15747581544945094,0.5108070715870416,0.08772020823207245,0.21471558410341962,0.0008515791379777647,0.11151015647202905,0.26078768913039185,0.21688005841106847,0.617512623566314,0.3675934331526997,0.8729740321699261,0.16386412299924857,0.0401286881653902,0.9301800239188301,0.6719343947527068,0.7255505214757041,0.1245754071604426,0.4396032069285965,0.034366741074700086,0.33437677471012667,0.009725484994185265,0.5183802046933941,0.0008475892803769933,0.010991303375250528,0.009330126883777495,0.0020181924380290096,0.2579541930065416,0.0010896065729493116,0.004646549425409835,0.001140385590325659,0.0031522186547360844,0.17549016485323138,0.32995511845979797,0.028015402029270404,0.004015114428477671,0.004019607443989198,0.006975041701183959,0.8618404291268095,0.008302152139312265,0.0004091018277994071,0.014990774645904639,0.0005088435629688037,0.012725355753402789,0.013744733617114355,0.24675755560872337,0.9720366962097816,0.20284575122875906,0.3017898823342435,0.01056372070111982,0.7579091060408909,0.014031508066544062
와이파이,0.6174704953503168,0.19037284775011817,0.43126908128118396,1.0,0.08327650274312798,0.047895382670166194,0.8116375333087226,0.37399188757499147,0.9234187939780909,0.06816725733086414,0.2198875792117852,0.8807597085050274,9.422659090673339e-05,0.021228814607513167,0.49246129211607115,0.4585972436229296,0.012381323455317271,0.4013963635966957,0.2048192561667272,0.02297431199307956,0.16057307094821408,0.01311233691630671,0.9678401265217357,0.9237949731786869,0.15087958669669083,0.26677175166415346,0.20878833773520472,0.6304196780148519,0.44855328421147034,0.45435614610902403,0.0036339236024438746,0.2275463447975195,0.20627370817798715,0.0016469672445717132,0.035201803817857355,0.34487628671628906,0.06315926077890764,0.26697083899218504,0.21942377585387546,0.04833768562370455,0.3003247164584959,0.3029509222507249,0.6459127038639825,0.13156506566309778,0.23616965515086008,0.5301494413394523,0.03864554804923214,0.2778353448471232,0.02507853408092898,0.04671784284285962,0.33196743928018374,0.0011497638850903205,0.005961369608548223,0.005546118926992375,0.0017175830508647353,0.17827854345616778,0.008169529572598559,0.6510600687628413,0.017936548081804123,0.5754364382965417,0.1850727016989827,0.27112470425557195,0.6615098189723998,0.09065793350815103,0.4183515666225263,0.0019954105670425375,0.44615057851391365,0.23827950608032064,0.02735973102221257,0.0004262843269827375,0.038423500617279026,0.005578165580325465,0.08857548054402642,0.0738448500386533,0.03686259843605189,0.4358290978264983,0.021788611681413612,0.07053220537729989,0.022818309200648663,0.052532239749730016,0.26048627585424616,0.041105191072679965,0.24750747303946238,7.19234463143621e-05,0.00011257003265898946,0.00022182936958972562,0.7614116292240127,0.06371781885118963,0.009792018426260832,0.002831274943246941,0.011497658383425589,0.022973356403024493,0.022580091523547834,0.6435000336273387,0.29961745894087183,0.5643822828799367,0.22588645728424073,0.0006035373595749456,0.7727217720739611,0.0002684440336407322
사람,0.5557491310127581,0.18145404084282968,0.12080632239851781,0.3773103216811558,1.0,0.033294507703847016,0.19874496589449894,0.32660678861827275,0.42906862311552996,0.022511489090243416,0.15946810566260858,0.3284834720563924,0.0002366197087884908,0.036437975178797107,0.6072361680191789,0.17473995297338155,0.00554368612161162,0.08333691526800285,0.045132061449066896,0.009442998074061595,0.7294180229665893,0.0055247116908054,0.4561819729631468,0.3112361841339844,0.8794276283249447,0.8881175618375579,0.8621079329800257,0.14987274630291797,0.7069678290508675,0.11105687772016831,0.00453851713316622,0.06137598574147262,0.10419552241094034,0.004138351288675656,0.035309629979458246,0.16232522118388157,0.10264727859330915,0.6464691441137951,0.16586822483351815,0.3281363934821321,0.1388635002134113,0.7121567218626367,0.34982781297420645,0.05754156113369114,0.04855213503372352,0.11064594610300428,0.011547079158025267,0.07800195105555163,0.008346367076058247,0.013897242309948002,0.2958198981452367,0.004350171249972345,0.009194662376897256,0.7945477056005502,0.004926854684354744,0.34627403731060874,0.016889807567463992,0.3641934533338249,0.01615561170476321,0.2219608774661496,0.5007079878405208,0.9093662862700427,0.1691174158019859,0.05334099043397369,0.2362661442119538,0.002973217594652232,0.09813983169576529,0.9291148627006767,0.00991503227655597,0.0006006341726741999,0.020220630779146775,0.7964668750730739,0.17168158343546136,0.15066929977480123,0.5419337628659314,0.12137277003852416,0.35861231036845426,0.4923611152547693,0.3803055893471396,0.5581378154120128,0.07809747255878557,0.012248417106261702,0.8023225536587757,0.00019860749214213253,0.0002686086061869413,0.00039775715779206353,0.2386976254845201,0.9973177378719403,0.4874500786860865,0.0024357779502815905,0.5554546568530294,0.6120079594561835,0.5838150027874042,0.6630373840060151,0.09266212064184273,0.7082057825884198,0.05210067783777933,0.0007638184813078097,0.18366602799500872,0.0004348005773096973
접속,0.046756902917790326,0.014112115560924413,0.6833355859173889,0.207751271891424,0.01125597404774549,1.0,0.2706360263562082,0.02428368805433435,0.2526882634437526,0.06918444888125527,0.019828375610575506,0.12514061860594455,0.023331941779355894,0.8635503843756681,0.18074604952982165,0.6662411617003947,0.39364473887744905,0.4636131966711597,0.5249338820860687,0.5784350169027273,0.0793529760068235,0.3330813033177822,0.15404186718106233,0.32988895130247264,0.010011575245734271,0.05129068256532428,0.054433326471210755,0.19044551067060467,0.12496392670893058,0.6141503041310156,0.7163968439935257,0.7569155279204796,0.8574155465009827,0.7140326236321769,0.9709618168067445,0.7194565953556417,0.6864689826248126,0.013941688416735695,0.6926624824546852,0.001911537205225199,0.771116549588386,0.017542634692065285,0.05800202131127307,0.9452813491633446,0.3203450637471585,0.29438057544221863,0.17293353123102762,0.09010238314036904,0.2812813836345232,0.13204837477986167,0.4651754316158552,0.6828641847312611,0.8659246033470529,0.002370944508226873,0.7293189700117266,0.3166221407890173,0.8649937873160786,0.3867320426515222,0.9548146407462709,0.56963267352884,0.18599098509790912,0.024711457700607703,0.5029572822619603,0.977015561522041,0.5793247838466395,0.6240404051287528,0.1971727403445784,0.02223871263618839,0.5001329043915522,0.03327778988892866,0.9226900998145128,0.002347157657928799,0.005234614414014257,0.00457683540854269,0.0015401959479957367,0.10410992549311775,0.0008459712738316241,0.0028362060755038844,0.0008887152844075202,0.0021889204482370395,0.07723605545616369,0.3871332073829834,0.015387816550854857,0.025794481127365168,0.020419835219924017,0.029919645500334588,0.4622297856395073,0.008966319577822702,0.00045783591885055545,0.023493278231491138,0.0005740054601742102,0.02984048990209958,0.03305131313876673,0.13773118016139257,0.7895460711297418,0.11930574827946222,0.15673310370350352,0.031156716098715224,0.3462069570817223,0.07014925228871555
동안,0.3159479573172425,0.16390414115914304,0.5512399342978529,0.7946302537015298,0.010690112275862987,0.061800756742499206,1.0,0.2542234201417699,0.6175209162920707,0.19183575973674585,0.22075314375742003,0.7798911546946409,0.0006253308965653453,0.01709217908552478,0.1827211828104223,0.4368457006107549,0.04358919156968486,0.7140478021043166,0.44325121792444655,0.06617315622034264,0.03134650417480843,0.04841893504818942,0.6581510854270153,0.8004785535911892,0.02952298597508041,0.058758948417715846,0.041544627997754977,0.9095926560394909,0.14384480674101977,0.6488272956488124,0.007824447770971812,0.38153182517809736,0.20358333436730666,0.002594284368199461,0.037083901733421694,0.30198651284417966,0.035763283756856404,0.08834972359296153,0.15098834110061227,0.015061629243739556,0.2799895842628941,0.0958637974092921,0.49896913398646625,0.17397420957068405,0.5393482023661614,0.8804269269117924,0.13558076462712437,0.510676721268212,0.09023041971339009,0.1569044691378259,0.1747395773957919,0.001454635870339843,0.008629482202168293,0.00026258147611089286,0.002362300854323717,0.06211569704952924,0.00807409649122273,0.40596947622267354,0.027036460861041906,0.5041186967677106,0.049869036920474376,0.06324332967187303,0.8000465059613668,0.10614113804624048,0.2953124726664176,0.004696998314480123,0.7858132169604466,0.05165330749572267,0.08350094386838257,0.0025421810802977564,0.06964108205707563,0.00026454950176952474,0.06016070228650525,0.05209309143480664,0.0065674609367927204,0.6683247254864831,0.004561423141535457,0.017830215885636203,0.004618399843913038,0.010518128522098309,0.47004935463192665,0.13061735417800832,0.06451833771078311,0.0004825179488781086,0.000739012762228585,0.0013903225510572036,0.7337701361001253,0.007332842293871999,0.0011117811283120507,0.012980426595019324,0.0012326090295059393,0.002182709093281286,0.002196035812308618,0.2590740195012252,0.39839616045963056,0.20354878473089597,0.5076998176098538,0.0034815291878491183,0.9729692874153527,0.0015754099785610421
화가,0.8225359812946543,0.8911939649819796,0.10027832816977435,0.506944955920115,0.13930578369000426,0.006970097734664532,0.42365152933451933,1.0,0.354655295969057,0.15883704953611272,0.8551936637747882,0.7278891969368663,0.0005960248495784853,0.0024802710605156568,0.16798595726746526,0.0913949433352433,0.006709049143214779,0.15814871643359885,0.07817392782942446,0.00827937224078627,0.06896516010255808,0.008465971937677787,0.5739666800748779,0.331420860486056,0.37590503512420503,0.18513303941143763,0.127287853500982,0.4803355506565719,0.1903299520927766,0.12425165967811702,0.0008052366437248905,0.05481164200488463,0.03209270717854543,0.00028630826974174775,0.004542856203693559,0.05996627107485998,0.0077920819341593,0.7198375961357599,0.032963945740785275,0.605632918941163,0.05067206490312934,0.6593618951899354,0.9245560508910664,0.021849645668415008,0.1431825532258521,0.3003759555107445,0.04547500521714826,0.4386806295185262,0.01923628574053333,0.06820953423767503,0.06109659295264248,0.00017713226632943372,0.0009121235730641002,0.015744009932739594,0.0002706651577530973,0.03388184414250208,0.0010121270510422362,0.16286625985600625,0.0027916992385312862,0.12643143354323927,0.04737370137045324,0.3630732799001251,0.19871804194759296,0.013245811182768227,0.0776744554863299,0.0005039944799567658,0.36416997705708065,0.33077610871145524,0.011699847486615433,0.0020706585005843417,0.007261517651888152,0.015994366674486466,0.7911200910592887,0.7473401664253315,0.38694749313140214,0.5617343569135308,0.405389283692079,0.5704482329105187,0.4000526824923172,0.4500026153757725,0.4615823506916144,0.023035861099619682,0.5274911032962937,0.000412803138594418,0.0008019934749341845,0.001162804991587748,0.21593721191341395,0.1187723934023048,0.19993817126339697,0.017923872844718833,0.18906816962457224,0.012770981353301116,0.011659186325628899,0.2961471610022419,0.06156354799095485,0.27191831902566277,0.24834777235959313,0.0031113305223952037,0.3303810392950753,0.0006633867466169104
패배,0.52363135395928,0.10857493872698014,0.49184512483108017,0.9289731465699282,0.13596537032195896,0.08544758450568454,0.6671806079125197,0.24963091319068922,1.0,0.03794101672531598,0.12390126795281499,0.6905730977188266,7.250376233884305e-05,0.05289259012845946,0.7307684001916063,0.5984742027980784,0.012783024475176942,0.35250080821825425,0.18714119459925804,0.02638006285653928,0.31901698854991695,0.012522478973891867,0.9046879392231889,0.9394933992383914,0.17481222908535246,0.40913865657321596,0.356455682333591,0.4532830627931641,0.6604985974206147,0.4718539066034375,0.0068885389468580265,0.2568408975299865,0.3210962454076733,0.004158013623067182,0.07266081170766714,0.502029716868229,0.14909219199005386,0.23517633127390522,0.38482135345029334,0.03411506288138221,0.44078478340392024,0.2844117408008658,0.46576529145888285,0.19427037356391333,0.180021716555801,0.4090807645172758,0.02679848417170346,0.16492682956957577,0.02092381692432577,0.029926432966677383,0.5628868749911804,0.003401159594716146,0.013466268326602339,0.015449995845657212,0.004644684605396283,0.37290433746480933,0.021349090942060042,0.8650897496431006,0.034143935482792584,0.7253491183230444,0.3815193330189795,0.33189494652615376,0.6683776621065762,0.15259604636502008,0.6229386034701005,0.0038338593524789148,0.3087817487884787,0.3007111800547075,0.0285331357447712,0.00029905455224945346,0.05836032329598031,0.015469987179169184,0.04960972975193609,0.04029942312765876,0.034211761442453276,0.2745695707199964,0.017274430427314236,0.0579292616747257,0.018512400201779366,0.047613328680165205,0.15141544936299509,0.03676170318945895,0.25613048505225006,5.901104725371059e-05,8.172388825908601e-05,0.0001637211468712834,0.8267758482722074,0.10815182585620225,0.010274583449770744,0.0015319715792301261,0.012858036427830502,0.06965210547863035,0.06968910184357553,0.8163552598765076,0.36874754857707825,0.7448940688137348,0.14469819246238136,0.00040037033681864263,0.6757295909947432,0.00024908709968877524
파워,0.05905792012496,0.20008960746922652,0.12576390464487233,0.1262491472132058,0.0005787850281739588,0.018688604601574357,0.31504442888907197,0.12842159589568206,0.06546892478730343,1.0,0.2836749502695374,0.20661028383452026,0.11998963187268993,0.002873470860000199,0.009318886727499868,0.05876466415729366,0.18359826505536986,0.37420567516192965,0.35691182036985375,0.13622636182355538,0.0010279463426256853,0.2413573549375144,0.09434421601369546,0.1162246292091675,0.0032035265929260984,0.0027467235646155773,0.001649860239651914,0.49158991337776764,0.007105945425712549,0.18985828912663236,0.012652413333674077,0.1539774547510089,0.03012298242518555,0.0028479280366130568,0.008468743439323495,0.035568320575019505,0.0028634164443332158,0.018040512565994028,0.013003023975081086,0.01244015648489949,0.03657958955041216,0.015410840707765305,0.17146152968248604,0.045497203536526164,0.6143507901318604,0.496789558039181,0.7064115064387846,0.7819888010837438,0.40999604280120083,0.8453689556367905,0.010643838360380908,0.0011944573547296906,0.005499742589550759,1.0377006342499392e-05,0.001988699799338796,0.002568413134567822,0.0024177106983189795,0.03215200997898108,0.01377044312864611,0.060675891726445004,0.001743409515828412,0.004950385003742452,0.1791386431125827,0.023741048801207473,0.025592042905131313,0.011000017696640215,0.643136519553571,0.003870648240329566,0.19946544079712783,0.2361726469491733,0.04265108551904146,1.0534000021489625e-05,0.09968735439440432,0.10381307103971882,0.0023799878271288277,0.6163562325810764,0.003488108981313268,0.007432169645006473,0.00319893554342184,0.0035624018397656496,0.7709696089052354,0.35507277802985526,0.008240751922175635,0.09460414128561445,0.14429623080576698,0.17316576097345268,0.11106781460309288,0.0003936567653907436,0.00047770857561755864,0.604900951789615,0.00040540954461406437,5.232955188814884e-05,5.20016502886306e-05,0.016849154651049258,0.09735150644007368,0.012128860478111939,0.8525082308958003,0.2930889013026905,0.28005014897504715,0.10291273979286554
