,ID,STORE,SCORE,YEAR,MONTH,DAY,CONTENTS,LABEL,FULL_DATE
0,53,애플,5,2020,4,9,언더독 만들어도 심각아니 트로피 평균이 같아도 못하는 사람들만나오는데요!!!,부정,2020-04-09
1,178,애플,5,2020,4,6,제발 저의 글을 읽어주세요 게임은 너무 재미있는데 신고 기능좀 넣어주세요아니 게임은 재미있는데 너무 비메너 유저분들이 많은데요 방금도 브롤볼 하다가 어떤 미친놈 들을 만났는데 자살골을 너무 하던데요 신고 기능이 없는것을 알고 일부러 그러는 놈들이 분명 있겠죠. 트로피가 30이 넘게 줄어들었어요. 그러니깐 제발 신고 기능좀 넣어주세요 진짜 그런 비메너 놈들이랑은 게임하기 싫어요,복합,2020-04-06
2,183,애플,3,2020,4,9,리고리차오랜만에 리뷰 쓰네요.4번째?5번째?리뷰네요.이번4월 밸런스 패치가 진행되는데 진짜 슈퍼셀에게,부정,2020-04-09
3,188,애플,4,2020,3,17,"안녕하세요안녕하세요 브롤스타즈를 시작한지 2년 정도된 유저입니다. 재미는 있는데 요즘 들어서 게임 내에서 렉이나 게임 튕김 현상, 재접속이 불가한 경우가 너무 잦네요 개선해주시면 앞으로 게임을 더욱 재밌게 플레이할 수 있을것 같습니다. 조치 부탁드립니다.",복합,2020-03-17
4,193,애플,3,2020,4,14,브롤 문제랜덤큐로 돌리면 트롤이 너무 많아요. 이 트롤러들을 해결하려면 반드시 신고를 강력하게 바꿔야 되요. 예를 들어 그 팀에서 팀원에게 총질이나 빙글빙글 돌거나 아님 브로롤에서 자실골을 넣으면 1~3일 정지를 해야되는 거죠. 또 슈퍼셀 회사에서 신고 분야를 하나 만들어 더 나은 게임을 만드는 거죠. 또 매칭은 총 트로피를 반영해야되요. 어떤 사람은 한 브롤러만 키워서 총 트로피는 낮은 데 그 브롤러 트로피만 높아서 다른 전체적으로 높은 플레이어와 함께하는데 총 트로피가 낮은 애들에 특징은 쌘스가 없어요. 그것 때문에 사람들은 스트레스를 받고 접는 겁니다. 마지막으로 밸런스는 개망했죠. 일단 제가 생각한 브롤러의 밸런스는 스트라우트 특수공격 시간 줄이고 스타파워 범위 줄이기 입니다. 또 맥스는 데미지가 420에서 405로 바꾸고 크로우 가젯은 60에서 30으로 내려야되고 제키는 이동속도를 보통으로 바꾸고 데미지는 적어도 10프로는 낮춰야 되요. 그리고 쉘리는 가젯의 이동 거리를 길게 하고 돌진 동안 무적으로 해야되요. 또 다이너마이크는 터지는 시간을 짧게하고 틱은 공격력을 750으로 바꿔여되요. 이상으로 마칠게요.,부정,2020-04-14
5,204,애플,5,2020,3,17,"최고의 게임게임만 하면 쉽게 질려 오래한적이 없는데 이게임은 일년동안 즐겁게 하고있습니다 제 모든 지인들이 아직도 하냐며 놀란 게임 아주 재밌는게임,,,,내 인생게임,,,가끔 너무 못하는 유저 만나도 화가나지만 너무 잘하는 유저를 만나면 패배감에 나올 수가 없습니다...트로피 수 보다는 파워에 맞춰 매치해주세용,,",부정,2020-03-17
6,205,애플,5,2020,3,17,사용하지않은 파이퍼 캐릭터의 PP가 간헐적으로 마이너스 됩니다.사용하지않은 파이퍼 캐릭터의 PP가 간헐적으로 마이너스 됩니다.,부정,2020-03-17
7,136,애플,5,2020,4,12,신고기능 추가모티스로 700점 이상까지간 유저입니다 그러나 현재 520까지 떨어졌습니다 3인게임을 하면 팀원에 자살골을 넣는사람 또는 트로피만 높고 실력은 낮은 사람과 함께하게 플레이를 하면 지게되는것은 당연합니다 우리팀과 상대팀의 실력이 비슷하도록 팀이맞춰지게 되었으면 하네요(게임은 재밌네요),부정,2020-04-12
8,146,애플,5,2020,3,17,관리자님 봐주세요제 휴대폰은 데이터도 잘 터지고 신호도 빵빵한데 왜 게임도중 자꾸 렉이걸리죠? 빨간 와이파이 뜨면서 엄청 끊길때가 종종 있네요 전에도 비슷하게 이런식으로 말씀드렸었는데 답변이 없으시네요 그리고 지금은 게임이 실행 자체가 안돼요 다른건 다 실행되는데 지금 업데이트 되고나서 사람이 많이 접속해서 그러는건가요 하 답답하네요,부정,2020-03-17
9,153,애플,5,2020,4,6,트로피가 약 100개가 자동으로 깎여져 있습니다 ㅠ̑̈ㅠ̑̈브롤스타즈를 대략 1년 정도 하고 있는 사람 입니다,긍정,2020-04-06
