ID,STORE,LABEL,SCORE,YEAR,MONTH,DAY,CONTENTS
62,애플,부정,1,2019,9,21,빨간와이파이좀 제발 고쳐주세요 겜을 못하겠어요진짜 제발좀 티켓 20개씩 두번쓰고 로보럼블 들어갔는데 빨간와이파이 때문에 팅겨서 게임도 못들어가고 티켓도 40장이나 날렸네요 제발 신경써주세요...
1,애플,부정,4,2019,10,5,신고기능이 필요합니다안녕하세요 브롤스타즈를 즐겨하고 있는 유저입니다 다름아니라 브롤스타즈에 신고기능이 있었으면 하는 바램입니다 저는 브롤볼을 즐겨하는데 브롤볼을 하다보면 자살골을 넣어 팀을 지게 만드는 트롤행위를 점수대에 상관없이 흔하게 볼 수 있습니다 다른 모드에서도 트롤행위가 꽤 많이 보이는데도 신고기능이 없어서 너무 답답할 따름입니다 그리고 매칭시스템도 조금 마음에 안드는게 어떻게 6천점대와 8천점대가 만납니까 최근에 점수시스템의 변화로 실력에 무관하게 많이 하기만 해도 점수가 쉽게 높아져 점수에 비해 낮은 실력을 가진 유저가 많이 늘었습니다 그런 유저들은 실력에 맞게 낮은 점수로 가는 것이 맞다고 생각합니다 또 최근에 나온 론스타와 테이크다운도 너무 실력보다는 운적 요소가 크게 작용해 하기가 힘듭니다 꼭 신고기능이 만들어졌으면 하는 바램이고 여러가지 문제점을 고쳐 즐거운 플레이 환경을 만들어 주었으면 합니다
208,애플,부정,5,2019,10,23,"업데이트..?안녕하세요 브롤을 굉장히 재밌게 플레이하고 있는 한 유저입니다. 오늘 브롤을 하기 위해 앱에 들어갔더니, 업데이트 버전이 있으니 업데이트를 하라네요. 그래서 앱스토어에 들어와서 브롤스타즈를 보니 업데이트를 할 수 있는 버튼이 없습니다. 제가 못 찾는 것일 수 있지만, 업데이트 현황을 보니 얼마 전 샌디 이후로는 아무것도 없네요. 설명 부탁드립니다."
105,애플,부정,1,2019,9,19,전설케릭 안줌지금 몇개월째 전설케릭만 2개 남았었는데
124,애플,부정,5,2019,10,11,아 진짜 업데이트 거의 할떼마다 캐릭터가 사라져요제가 진짜 힘들게 뽑은 제 크로우랑 메카크로우 샌디 업데이트할때 갑자기 사라졌습니다 실화냐고요 스타파워 2개 다있는 것도 사라졌습니다 그래놓고선 저한테 모티스 주시는것 실홥니까? 제 이름은 엑스나이트니 제~~~~발 복구해주세요 부탁입니다 고쳐주신다면 감사하게 생각하겠습니다 제 트로피는 4000몇이고요 슈퍼셀 진짜 이런 재밌는 게임 만들어 주셔서 감사합니다 저솔직히 슈퍼셀 팬입니다
232,애플,긍정,5,2019,10,5,재미굿트로피 6000찍은 유저입니다.재미가 있어좋아요 이런 게임 인생게임 되는것같아요!100찍었을때부터 느낌이 인생게임이 될것같았습니다.그리고 한꺼번에 새로운 맵나왔을때 누르면 10토큰밖에 안주네요?하루빨리 패치하길바라며 이글을 씁니다. 게임은 너무 재밌게 플레이 하고있어요.
294,애플,부정,5,2019,10,23,이거 확률이 너무낮음솔직히 브롤러가 너무안나와요 신화랑 전설은 어떻게 뽑으라는 겁니까??0.01%이건 거의 불가능입니다
307,애플,부정,4,2019,10,14,제발 영자님 실력좀 맞는애들이랑 하게해주세요아니 최소한 어느 정도 해가지고 좋은 승부 재밌는 게임은 하게 해줘야죠 무슨 할 때마다 혼자 플레이는 연승인데 팀 특히 3 대 3할 때마다 지지리도 할 줄 못하는 애들만 만나서 점수 떨어져요.. 지금 6000점 넘는데 하는 짓은 진짜 거의 처음 하는 놈들 수준이고 랭겜 일반 게임 같은 걸 만들어주시던 롤처럼 던질 수 있는 게임 아니.. 진짜 너무 답이 없어요
323,애플,부정,5,2019,10,8,"랙 좀 줄여주세요.저는 슈퍼셀 게임중 브롤스타즈를 하는 평범한 유저입니다, 요즘 레드와이파이도 심한데 거기에 랙까지 걸리니 게임을 하기가 함듭니다, 요즘 레드와이파이는 조금 없어졌지만 제 휴대폰(아이폰xs) 문제인지 게임문제인지 모르겠네요, 랙과 레드와이파이만 없어진다면 진짜 정말 더 재미있는 게임이 될 것 같습니다, 제발 랙과 레드와이파이 좀 없애주세요."
328,애플,부정,5,2019,9,21,"브롤스타즈 안깔으면 후회 핵꿀잼 ㄹㅇ안녕하세요 브롤스타즈를 즐기는 유저인데요 이번 9월 업뎃으로 샌디 히고 테이크다운,론 스타 모드가 업뎃됐는데"
