,update_id,year,month,day,word
1,14,2020,1,24,미스터 신화 가방 특수 공격 자신 도울 로봇 짐꾼 소환 합니다 일반 공격 가방 두고 가셨습니다 화난 상태 무거운 여행 가방 던집니다 적 장애물 적중 시 튕겨 나온 가방 광역 피해 줍니다 특수 공격 짐꾼 공격 로봇 짐꾼 거점 설치 하며 한 번 하나 로봇 짐꾼 활성화 되어 적 공격 합니다 스타 파워 취급 주의 일반 공격 적 장애물 부딪히지 않아도 튕겨 나가 폭발 합니다 스타 파워 빈 깡통 로봇 짐꾼 거점 가 증가 합니다 새로운 게임 모드 핫존 거점 동안 점령 하면 점수 획득 할 수 있습니다 시간 종료 시 더 많은 점수 모은 팀 승리 합니다 상대 거점 안 있거나 아군 거점 비우면 점수 획득 할 수 없습니다 마지막 점수 두 배 획득 할 수 있습니다 새로운 스킨 설 맞이 하여 오락실 배경 사악한 로봇 더 많은 스킨 등장 합니다 설 맞이 스킨 바이러스 비트 보석 히로인 비비 보석 길거리 닌자 타라 보석 더 많은 스킨 큐피트 파이퍼 보석 공개 됩니다 코알라 타 보석 에이전트 보석 챔피언십 챌 린지 패배 제한 횟수 증가 팀 찾기 기능 사용 시 플레이어 총 트로피 반영 됩니다 두 스타 파워 선택 되지 않는 오류 수정 됩니다 동일한 브롤러 매칭 되지 않도록 개선 됩니다 맵 변경 점 오락실 배경 새로운 맵 추가 됩니다 론 스타 테이크다운 모드 삭제 됩니다 기타 트로피 진 척도 개편 됩니다 트로피 진척 변경 따른 보상 상점 특별 상품 형태 등장 하며 내 획득 가능합니다 브 롤러 정보 화면 새롭게 개선 됩니다 랭크 업 및 레벨 업 통해 얻는 토큰 더블 토큰 이벤트 적용 됩니다 태블릿 기기 조이스틱 조작 개선 됩니다 업데이트 진행 밸런스 조정 내용 확인 해보세요 밸런스 조정 내용 대한 여러분 의견 자유롭게 남겨주세요
2,17,2019,12,18,영웅 로사 조수 그녀 벌 사용 해 샘플 수집 하는 곤충학자 입니다 마치 총알 같은 기계 드론 조심하세요 일반 공격 거대 벌침 적 명중 시키면 다음 공격 더욱 강해 집니다 특수 공격 강철 벌떼 동안 적 느리게 하고 피해 입히는 드론 무리 내보냅니다 스타 파워 벌침 급 충전 된 공격 빗나가면 한번 즉시 거대 벌침 충전 합니다 스타 파워 허니 코트 치명상 입으면 유지 잠깐 무적 상태 됩니다 부활 시 다시 능력 사용 할 수 있습니다 새로운 브 롤러 맥스 곧 공개 됩니다 신화 브 롤러 그녀 손목 블 래스터 전기 발사 하는 아주 빠른 브 롤러 입니다 일반 공격 블 래스터 사포 빠른 공격 발사 합니다 특수 공격 서둘러 효과 범위 안 있는 모든 아군 브롤러 이동 속도 증가 합니다 스타 파워 슈퍼 차지 이동 시 특수 공격 충전 됩니다 스타 파워 런 앤 건 이동 시 일반 공격 재 장전 됩니다 새로운 스킨 캡틴 칼 보석 해적 콜트 보석 해적 포코 보석 레이디 버그 비 보석 맥스 보석 새로운 게임 모드 선물 훔치기 브롤 리 데이 기간 한정 게임 모드 새로운 해적 천국 적의 선물 빼앗으세요 본인 팀 선물 보호 하며 적 팀 선물 훔쳐 아군 기지 가져와야 합니다 놓친 선물 몇 초 후 자동 제자리 돌아갑니다 선물 일반 공격 사용 하여 던질 수 있습니다 브롤 볼 유사합니다 먼저 선물 개 뺏어오면 승리 합니다 챔피언십 챌 린지 공개 됩니다 이 새로운 월간 챌 린지 여러분 명예 멋진 보상 브롤 스타즈 챔피언십 자리 얻을 수 있습니다 승 승마 보상 지급 됩니다 트로피 이상은 누구 참가 가능하며 친선 게임 규칙 브롤러 최대 레벨 업그레이드 이 적용 됩니다 조심하세요 번 패배하면 탈락 입니다 맵 변경 점 새로운 배경 대릴 배 새로운 맵 추가 됩니다 기타 빠른 채팅 게임 내 텍스트 기반 채팅 대체 합니다 그룹 대기 열 플레이어 매치 메이킹 된 팀 대기 할 수 있습니다 대릴 더블 듀스 일반 공격 탄 수 증가 탄당 피해 량 감소 총 피해량 변동 없습니다 오류 수정 누락 된 샐리 레온 특수 공격 특수 효과 추가 타라 그림자 구석 끼이는 문제 수정 업데이트 대한 여러분 의견 자유롭게 남겨주세요
3,20,2019,11,21,라인 프렌즈 콜라보 곧 찾아옵니다 엘 브라운 보석 샐리 레온 보석 레너드 칼 보석 기타 점검 시간 동안 볼 수 있는 뉴스 화면 생깁니다 엠즈 톡 쏘는 향기 특수 공격 조준 시 범위 표시 됩니다 클럽 설정 할 수 있는 최소 트로피 조건 점 늘어납니다 친구 초대 비 활성화 기능 추가 됩니다 다음 기기 더 높은 재생률 지원 됩니다 오류 수정 상점 구매 시도 하면 다른 된 상품 선택 되는 문제 수정 매우 드물게 발생 일부 안드로이드 기기 테이크다운 보스 사용 하는 피해 면역 실드 지속 시간 바 가려지는 문제 수정 메카 크로우 플레이 시 나타나는 투 사체 관련 시각 문제 수정 메뉴 화면 보이는 틱 애니메이션 관련 시각 문제 수정 테이크다운 보스 사용 하는 로켓 남긴 불길 관련 시각 문제 수정 다른 상품 묶음 등장 하는 코인 팩 관련 시각 문제 수정 업데이트 대한 여러분 의견 자유롭게 남겨주세요
4,24,2019,10,23,비트 블 래스터 빔 일반 공격 빔당 피해 량 감소 비비 감소 스핏볼 특수 공격 타격 피해 량 감소 보 여우 사냥 특수 공격 폭발 덫 일정한 패턴 착지 하도록 변경 브록 네이팜 로켓 스타 파워 초당 피해 량 증가 크로우 맹독 스타 파워 적의 피해 량 감소 효과 증가 대릴 강철 후프 스타 파워 피해 감 소량 증가 롤링 리 로드 스타 파워 변경 특수 공격 사용 하면 동안 재 장전 속도 배 빨라 짐 엘 프리 모 엘 푸 에고 스타 파워 피해 량 증가 유성 러시 스타 파워 이동 속도 증가 효과 감소 진 매직 오라 스타 파워 초당 회복 량 증가 레온 은신 치유 스타 파워 초당 회복 량 증가 연막탄 특수 공격 은신 상태 지속 시간 감소 타 증가 포효 일반 공격 피해 량 증가 페니 주머니 투척 일반 공격 피해 량 증가 파이퍼 건브렐 일반 공격 최대 사거리 피해 량 감소 포코 뮤직 테라 피 스타 파워 회복 량 증가 샌디 감소 모래 폭풍 특수 공격 지속 시간 감소 치유 바람 스타 파워 초당 회복 량 감소 스파이크 따뜻한 햇살 스타 파워 초당 회복 량 증가 미니 지뢰 일반 공격 착지 후 지속 시간 증가 오토 매틱 재 장전 스타 파워 재 장전 시간 빨라 짐 효과 감소 밸런스 조정 대한 여러분 의견 자유롭게 남겨주세요
5,28,2019,9,18,샌디 전설 브 롤러 항상 수면 부족 시달리는 샌디 모래 지배 하는 강력한 능력 가졌습니다 원호 모양 자갈 던져 적 공격 거나 모래 폭풍 일으켜 팀 숨길 수 있습니다 일반 공격 자갈 돌풍 상대 관통 하는 예리한 자갈 퍼 부어 공격 합니다 아얏 특수 공격 모래 폭풍 동안 안 있는 아군 브롤러 숨길 수 있는 모래 폭풍 소환 합니다 스타 파워 거친 모래 모래 폭풍 적 초당 피해 줍니다 스타 파워 치유 바람 모래 폭풍 아군 를 초당 회복합니다 새로운 게임 모드 론 스타 새로운 방식 개인 전 바운티 모드 명의 플레이어 참여 하는 개인 전 모드 입니다 규칙 일반 바운티 모드 동일하며 마지막 가장 많은 별 가진 플레이어 승리 합니다 패배한 플레이어 맵 가장자리 부활 합니다 플레이어 상황 따른 도움말 오른쪽 상단 표시 됩니다 맵 중앙 한 개 별 획득 할 수 있습니다 테이크다운 적 견제 하면서 로보 보스 잡아야 하는 대난투 명의 플레이어 참여 하는 개인 전 모드 입니다 모든 플레이어 서로 견제 하면서 로보 보스 상대 해야 합니다 로보 보스 가장 많은 피해 입힌 플레이어 승리 합니다 패배한 플레이어 맵 가장자리 부활 합니다 플레이어 상황 따른 도움말 오른쪽 상단 표시 됩니다 맵 가장자리 파워 큐브 무작위 나타납니다 쇼 다운 모드 패배한 플레이어 파워 큐브 떨어뜨립니다 최대 개 새로운 스킨 해적 진 잠꾸러기 샌디 붉은 마법사 발리 브 롤러 변경 점 엘 프리 모 리 모델링 바캉스 제시 특수 효과 개선 해변 브록 특수 효과 개선 리코 애니메이션 개선 파이퍼 보 엘 프리 모 새로운 아이콘 맵 변경 점 최대 트로피 부터 새로운 이벤트 슬롯 잠금 해제 됩니다 최대 트로피 달성 했다면 자동 잠금 해제 됩니다 새로운 게임 모드 추가 된 이벤트 슬롯 추가 됩니다 론 스타 테이크다운 론 스타 테이크다운 각각 개 고유 맵 가지 있습니다 오류 수정 상대 팀 있는 비트 공격 부스터 특수 공격 범위 제대로 표시 되지 않는 문제 수정 보스 전 비트 혼자 남아있을 때 보너스 라이프 스타 파워 가 발동 하지 않는 문제 수정 불사조 크로우 발생 하는 애니메이션 관련 문제 수정 분노 질주 칼 호그 라이더 칼 투 사체 속도 관련 문제 수정 기타 더 이상 안드로이드 기기 지원 하지 않습니다 업데이트 진행 밸런스 조정 내용 확인 해보세요 밸런스 조정 내용 대한 여러분 의견 자유롭게 남겨주세요
6,33,2019,8,29,비트 트로피 진척 보상 브 롤러 비트 트로피 진척 보상 이었던 메 상자 대체 합니다 트로피 보유 있다면 비트 무료 획득 할 수 있습니다 일반 공격 블 래스터 빔 좁게 퍼지는 블 래스터 빔 연사 해 중거리 대상 피해 줍니다 특수 공격 공격 부스터 터렛 설치 하여 효과 범위 안 있는 모든 아군 공격 올려줍니다 일반 공격 특수 공격 모두 적용 되며 피해량 증가 합니다 스타 파워 부스터 증폭 특수 공격 공격 부스터 의 범위 증가 합니다 스타 파워 보너스 라이프 다음 공개 될 예정 입니다 게임 중 단 한 번 즉시 부활 합니다 빅 게임 빅 브롤러 플레이 하는 경우 제외 새로운 스킨 비트 클래식 보석 상어 레온 보석 핑크 파이퍼 스타 포인트 아이리스 타라 스타 포인트 브 롤러 변경 점 파이퍼 리 모델링 페니 애니메이션 개선 티스 애니메이션 개선 일반 공격 토끼 페니 모델링 수정 불 애니메이션 수정 기타 특수 효과 변경 맵 변경 점 슬롯 브롤 볼 모드 나옵니다 바운티 모드 슬롯 이동 바운티 이스트 팩토리 모드 슬롯 등장 합니다 젬 랩 추가 로얄 플러시 쇼 다운 추가 황량 정상 분노 황무지 척박한 불모 위험한 교차로 삭제 태풍 눈 호수 천국 핫 포인트 해골 브롤 볼 추가 필드 골 곧바로 골대 장애물 코스 거친 경기장 파워 슛 스 니키 필드 핀홀 필드 바운티 추가 무성 오아시스 삭제 사원 폐허 일사병 불타는 모래 사장 이스트 삭제 한여름 해변 사이드 스토리 팩토리 삭제 로봇 실험실 스트레이트 샷 조립 라인 추석 쇼 다운 이벤트 곧 찾아옵니다 이벤트 기간 동안 특별한 쇼 다운 상자 파워 큐브 만날 수 있습니다 트로피 진척 새로운 브 롤러 랭크 추가 됩니다 랭크 트로피 랭크 트로피 추가 됩니다 새로운 회 스타 포인트 보상 추가 됩니다 랭크 스타 포인트 트로피 랭크 스타 포인트 트로피 랭크 스타 포인트 트로피 새로운 랭크 도달 할 때 기존 마찬가지 토큰 개 지급 됩니다 새로운 랭크 도달 경우 스타 포인트 토큰 소급 지급 됩니다 업데이트 이후 표시 되는 랭크 보상 해당 브롤러 최고 트로피 기준 합니다 예시 이전 트로피 도달 적 있다면 현재 트로피 상관없이 트로피 기준 새로운 랭크 및 달성 보상 지급 됩니다 상점 시즌 종료 상품 상점 추가 됩니다 대형 상자 스타 포인트 메 상자 스타 포인트 시즌 종료 보상 개선 스타 포인트 시즌 종료 보상 특정 트로피 도달 것 기준 지급 됩니다 트로피 초기 시즌 종료 시점 브 롤러 트로피 따라 이루어집니다 이번 변화 통해 많은 플레이어 스타 포인트 더 얻고 시즌 동안 더 다양한 브롤러 플레이 해 볼 수 있기를 바랍니다 트로피 달성 브 롤러 화면 랭크 아이콘 탭하 새로운 화면 통해 마일 스톤 정보 확인 할 수 있습니다 개선 사항 비비 홈런 게이지 가득 차면 붉 은색 표시 됩니다 근접 공격 쇼 다운 상자 때리면 특수 효과 발생 합니다 비비 야구 방망이 휘두르면 화면 흔들리는 효과 추가 됩니다 브롤 볼 소환 물 곰 터렛 등 이 덤불 공 가진 적군 볼 수 있습니다 클럽 메일 재사용 시간 보내기를 시도 하면 다음 사용 가능 시점 남은 시간 보여줍니다 는 이제 모든 브롤러 사용 할 수 있습니다 더 희귀 브롤러 사용 할 확률 낮음 오류 수정 콜트 매그넘 스페셜 스타 파워 로 인해 브롤 볼 공 사거리 늘어나 보이는 문제 수정 새로운 스킨 등장 했을 때 상점 방문 후 상점 알림 표시 사라지지 않던 문제 수정 틱 헤드 퍼스트 특수 공격 로 던진 머리 공중 있는 적 향 해 이동 거나 폭발 하는 문제 수정 바운티 모드 페니 마지막 한 방 스타 파워 적 처치 하면 별 획득 하지 않는 문제 수정 업데이트 진행 밸런스 조정 내용 확인 해보세요 밸런스 조정 내용 대한 여러분 의견 자유롭게 남겨주세요
7,37,2019,6,27,트로피 진척 보상 브 롤러 일반 공격 미니 지뢰 틱 공중 개 분리 되는 지뢰 다발 던집니다 지뢰 적 밟는 순간 일정 시간 후 폭발 합니다 특수 공격 헤드 퍼스트 틱 폭탄 된 자신 머리 분리 해서 던집니다 틱 머리 범위 피해 주고 적 추적 하는 자동 유도 기능 있지만 적의 공격 파괴 될 수도 있습니다 스타 파워 셀프 수리 평소 자동 회복 시점 빨라 집니다 새로운 스타 파워 모든 브롤러 새로운 스타 파워 생깁니다 단 하나 스타 파워 장 착할 수 있습니다 스타 파워 브롤 상자 상점 얻을 수 있습니다 여름 기간 동안 공개 될 예정 공식 채널 자주 확인 하세요 페이스북 인스타그램 스타 파워 메인 화면 브 롤러 정보 화면 선택 할 수 있습니다 쉘리 밴드 이드 쉘리 가 이하 떨어지면 즉시 를 최 대치 회복합니다 재사용 대기 시간 타 하이퍼 베어 커다란 아기 곰 공격 속도 증가 합니다 콜트 매그넘 스페셜 일반 공격 사거리 투 사체 속도 증가 합니다 불 터프 가이 불의 가 이하 떨어지면 실드 생기며 받는 모든 피해 감소 합니다 제시 쇼키 터렛 에너지 볼 발사 하며 적 맞으면 범위 안 있는 다른 적 튕겨 피해 줍니다 브록 로켓 호기 일반 공격 탄환 개 더 증가 합니다 마이크 폭파 특수 공격 피해량 증가 합니다 보 곰 사냥 폭발 지뢰 적 밀쳐내지 않고 동안 기절 시킵니다 엘 프리 모 유성 러시 특수 공격 사용 하면 동안 이동 속도 증가 합니다 발리 유독 알코올 일반 공격 초당 피해량 증가 합니다 포코 불협화음 특수 공격 적 영향 주며 피해 입힙니다 로사 가시 글러브 특수 공격 사용 하는 동안 펀치 피해량 증가 합니다 리코 로봇 질주 리코 가 이하 떨어지면 이동 속도 증가 합니다 대릴 롤링 리 로드 특수 공격 사용 하면 일반 공격 탄환 개 즉시 장전 됩니다 페니 불꽃 탄 대포 발사 된 폭탄 탄 착 지점 동안 불길 휩싸입니다 범위 안 적 초당 피해 줍니다 칼 보호 피루엣 특수 공격 사용 하는 동안 입는 피해 감소 합니다 파이퍼 재빠른 저격 파이퍼의 일반 공격 적중 하면 일반 공격 탄환 개 즉시 장전 됩니다 소환 물 포함 팸 엄마 폭풍 압박 특수 공격 적 영향 주며 초당 피해 입힙니다 프랭크 스펀지 프랭크 가 증가 합니다 비비 타격 자세 비비 홈런 게이지 차면 입는 피해 감소 합니다 티스 전속력 돌진 티스 돌진 게이지 가득 차면 돌진 범위 증가 합니다 탄환 개인 상태 동안 공격 하지 않으면 돌진 게이지 차오릅니다 타라 그림자 치유 특수 공격 또 다른 차원 열어 그림자 소환 합니다 소환 된 타라 그림자 자신 및 아군 를 회복 시킵니다 진 격려 손 특수 공격 아군 적중 하면 적중 당한 아군 가 회복 됩니다 스파이크 커브 볼 일반 공격 포물선 그리며 날아가고 적 명중 시키기 더 쉬워 집니다 크로우 약한 먹잇감 가 이하 떨어진 적 주는 일반 공격 및 특수 공격 피해량 증가 합니다 소환 물 포함 레온 은신 치유 레온 특수 공격 사용 하면 은신 상태 있는 동안 가 초당 회복 됩니다 오토 매틱 재 장전 틱 일반 공격 재 장전 속도 빨라 집니다 스타 포인트 스타 스킨 같은 특별 아이템 구매 할 수 있는 새로운 재화 입니다 많은 아이템 공개 될 예정 입니다 랭크 업 및 시즌 종료 보상 얻을 수 있습니다 브롤러 랭크 업 경우 스타 포인트 소급 지급 됩니다 시즌 종료 시 감소 트로피 스타 포인트 전환 됩니다 트로피 스타 포인트 또한 브 롤러 랭크 업 보상 얻을 수 있습니다 랭크 스타 포인트 랭크 스타 포인트 랭크 스타 포인트 스타 스킨 골드 메카 크로우 스타 포인트 나이트 메카 크로우 스타 포인트 골드 메카 보 스타 포인트 라이트 메카 보 스타 포인트 라인 배 커 불 스타 포인트 무법자 콜트 스타 포인트 맵 변경 점 젬 랩 추가 예리한 각도 뱀 동굴 삭제 바위 요새 침수 된 광산 지하 갱도 이스트 추가 모래 보석 한여름 해변 뜨거운 감자 삭제 머나먼 다리 트위스트 앤 슛 포크 아웃 바운티 추가 일사병 불타는 모래 사장 림 계곡 대운하 삭제 불펜 탁월한 선택 은신 처 햇빛 브롤 볼 추가 비치 볼 화창한 날 삭제 핀홀 필드 스 니키 필드 팩토리 추가 로봇 실험실 로봇 공장 삭제 스파링 매치 로봇 시대 쇼 다운 추가 진흙탕 삭제 통로 여름 맞이 로봇 이벤트 곧 찾아옵니다 새로운 테마 바탕 화면 및 음악 메카 스킨 여름 배경 추가 브롤 볼 이스트 바운티 새로운 스킨 메카 보 메카 크로우 로보 마이크 로보 스파이크 타라 리 모델링 개선 사항 새로운 음성 타라 비비 상점 새롭게 단장 했습니다 모든 스킨 상점 구매 가능합니다 더 이상 브 롤러 정보 화면 구매 할 수 없습니다 스타 포인트 상품 상점 추가 됩니다 오류 수정 비비 야구 방망이 얼굴 표시 되지 않던 문제 수정 칼 눈동자 애니메이션 관련 문제 수정 마이크 빅 배럴 붐 특수 공격 명의 적 명중 시 특수 공격 충전 되도록 수정 업데이트 진행 밸런스 조정 내용 확인 해보세요 밸런스 조정 내용 대한 여러분 의견 자유롭게 남겨주세요
8,41,2019,5,21,비비 영웅 브 롤러 일반 공격 삼진 아웃 비비 일반 공격 홈런 게이지 가득 차면 풀 스윙 적 날려 버립니다 탄환 개인 상태 공격 하지 않으면 홈런 게이지 차오릅니다 특수 공격 스핏볼 특수 공격 통통 튀는 풍선껌 날려 피해 줍니다 스타 파워 홈런 비비는 홈런 게이지 가득 차면 이동 속도 증가 합니다 새로운 스킨 핫휠 브록 미스 파이 발리 분노 질주 칼 메이플 발리 캐나다 소프트 런칭 주년 기념 새로운 이벤트 레트로 폴리스 새로운 전투 지역 새로운 테마 바탕 화면 및 메뉴 배경 음악 맵 변경 점 일부 오래된 맵 레트로 됩니다 젬 랩 분열 포 스퀘어 급속 탈출 점핑 트랩 이중 곡선 이스트 롤링 럼블 머나먼 다리 바운티 레이어 케이크 햇빛 아래 맵 삭제 됩니다 젬 랩 점핑 에코 이스트 눈 깜짝 할 사이 코너 케이스 새로운 커뮤니티 맵 젬 랩 개 새로운 맵 추가 됩니다 지름길 이스트 개 새로운 맵 추가 됩니다 피트 스톱 사이드 스토리 개선 사항 로사 오디오 음성 향상 클럽 멤버 클럽 메일 보내기 기능 추가 대표 사용 할 수 있습니다 슈퍼셀 주 적용 될 예정 입니다 오류 수정 다양한 문제 수정 체험 기능 미 공개 스킨 사용 할 수 있었던 문제 수정 은신 상태 풀린 후 브 롤러 가 제대로 표시 되지 않는 문제 수정 팀 내 플레이어 상태 표시 관련 된 문제 수정 플라잉 판타지 맵 점프 패드 일부 물속 있는 문제 수정 업데이트 진행 밸런스 조정 내용 확인 해보세요 조정 내용 대한 여러분 의견 자유롭게 남겨주세요
9,45,2019,4,15,로사 곧 합류 합니다 희귀 브 롤러 일반 공격 돌 주먹 완벽한 기술 강력한 주먹 타로 날립니다 특수 공격 몸 튼 튼 튼튼한 덩굴 만든 보호 수트 입고 받는 모든 피해 감소 시킵니다 스타 파워 자연 좋아 덤불 안 숨 때 를 회복합니다 새로운 스킨 곧 공개 됩니다 토끼 페니 시바견 타 새로운 맵 상호작용 요소 젬 랩 광기 광산 열차 열차 일정한 시간 철로 위 달립니다 열차 투 사체 막고 피해 주면서 브롤러 밀어 냅니다 쇼 다운 플라잉 판타지 로얄 런웨이 브롤 볼 센터 스테이지 팩토리 고물 공원 스파링 매치 스트레이트 샷 조립 라인 보스 전 위험 지역 쇼 다운 유성우 폭발 반경 증가 하며 티밍 중인 무리 겨냥 하도록 변경 회복 버섯 에너지 드링크 티밍 중인 무리 멀리 떨어진 곳 생 되도록 변경 팩토리 볼트 조금 더 정 중앙 근처 나타나도록 변경 프랭크 충격 타 특수 공격 가 조립 포탑 동안 기절 시키도록 변경 조립 포탑 공격 범위 피해 입히지 않도록 변경 조립 포탑 투 사체 목표 물 정확히 겨냥 하도록 변경 공중 있는 목표 물 제외 개선 사항 일부 메인 화면 버튼 메뉴 쪽 이동 브롤 수준 높은 게임 플레이 라이브 시청 하세요 체험 신규 브롤러 미리 만나 보고 실험 해보세요 브 롤러 정보 화면 확인 가능합니다 새로운 언어 추가 폴란드어 히브리어 보석 이름 변경 처음 무료 입니다 이후 보석 필요합니다 골드 위 크 이벤트 곧 공개 됩니다 새로운 테마 매치 메이킹 개선 팀 매칭 시 조금 더 어렵게 매치 메이킹 되도록 변경 플레이어 프로필 정보 창 플레이어 이름 색상 선택 기능 추가 기존 색상 태그 이름 변경 통해 제거 할 수 있습니다 튜토리얼 개선 전투 중 네트워크 불 안정 표시 개선 특수 공격 버튼 탭 가능 영역 넓게 변경 젬 랩 두번째 젬 조금 더 늦게 나타나도록 변경 스타 파워 영향 받는 소환 물 아래 스타 아이콘 표시 되도록 변경 특수 효과 음악 보 리 모델링 새로운 시각 효과 투 사체 칼 오디오 음성 향상 레온 새로운 투 사체 엘프 페니 새로운 시각 효과 투 사체 붐 박스 브룩 새로운 애니메이션 스파이크 효과 개선 엘 프리 모 새로운 시각 효과 일반 공격 골드 발리 새로운 투 사체 오류 수정 로보 럼블 모드 분노 상태 로봇 금고 공격 하지 않는 문제 수정 브롤 볼 공 찬 이후 파괴 된 벽 지나가면 공이 튕겨 나오는 문제 수정 자책골 상대 팀 마지막 공 잡은 선수 골로 인정 되도록 변경 골 넣은 이후 파괴 된 페니 대포 스타 파워 효과 발동 되지 않도록 변경 친선 게임 대기 중일 때 관전 불가한 문제 수정 전투 종료 화면 이중 랭크 업 대한 토큰 보상 올바르게 표시 되지 않던 문제 수정 팀 참가 요청 거절 수락 할 수 없었던 문제 수정 신규 클럽 멤버 마지막 접속 달 이상 전 표기 되던 문제 수정 클럽 멤버 통계 즉시 업데이트 되지 않던 문제 수정 미 공개 브롤러 대한 매치 메이킹 팁 더 이상 표시 되지 않도록 변경 시즌 종료 시 트로피 감소 처리 개선 밀려 남 동시 특수 공격 사용 하면 특수 공격 버튼 사용 할 수 없는 문제 수정 특수 공격 발동 중 죽어도 소환 물이 소환 되도록 변경 업데이트 진행 밸런스 조정 내용 확인 해보세요 조정 내용 대한 여러분 의견 자유롭게 남겨주세요
10,49,2019,2,27,칼 곡괭이 휘두르는 브롤러 합류 합니다 초희 귀 브 롤러 일반 공격 곡괭이 칼 단 하나 곡괭이 날릴 수 있으며 곡괭이 돌아오면 다시 충전 됩니다 곡괭이 최대 사거리 도달 거나 벽 부딪히면 되돌아옵니다 곡괭이 적 관통 합니다 브롤 볼 공 차도 일반 공격 소모 하지 않습니다 특수 공격 회전 카트 칼 곡괭이 들고 회전 하면서 이동 속도 증가 주변 모든 적 피해 입힙니다 스타 파워 스 피디 스 로우 곡괭이 비행 속도 더 빨라 집니다 새로운 게임 모드 팩토리 게임 모드 각 팀 조립 포탑 가지 있으며 목표 적 포탑 파괴 입니다 각 팀 맵 중앙 생 되는 볼트 를 수집 해야 합니다 더 많은 볼트 모은 팀 경우 일정 간격 로봇 생 되며 로봇 적 포탑 공격 하도록 도울 수 있습니다 팩토리 플레이 시간 길어 트로피 토큰 경험치 두 배 받습니다 새로운 게임 환경 개 새로운 맵 추가 새로운 커뮤니티 맵 쇼 다운 개 새로운 맵 추가 됩니다 젬 랩 개 새로운 맵 추가 됩니다 브롤 볼 개 새로운 맵 추가 됩니다 점프 패드 맵 새로운 상호작용 요소 추가 됩니다 이벤트 맵 변경 점 쇼 다운 모드 슬롯 등장 하며 일부 맵 특별 게임 모드 나옵니다 팩토리 모드 슬롯 추가 되었습니다 팩토리 모드 새로운 맵 포함 된 새로운 로테이션 적용 됩니다 새로운 스킨 곧 공개 됩니다 특수 효과 음악 새로운 시각 효과 팸 발리 페니 티스 특수요원 콜트 새로운 음성 진 클래시 로얄 생일 기념 메뉴 음악 추가 유성우 효과음 볼륨 감소 개선 사항 브 롤러 목록 브 롤러 정렬 기능 추가 방해 금지 팀 초대 받지 않도록 설정 할 수 있습니다 문제 수정 듀오 쇼 다운 부활 하는 도중 팀 죽으면 팀 부활 대기 시간 볼 수 없는 문제 수정 게임 일부 수정 보스 전 모드 보스 물 갇히게 되는 문제 수정 친선 게임 봇 브롤러 최대 파워 레벨 가지 있지 않은 문제 수정 업데이트 진행 밸런스 조정 내용 확인 해보세요 조정 내용 대한 여러분 의견 자유롭게 남겨주세요
