,1위,2위,3위,4위,5위,6위,7위,8위,9위,10위
1,트리플,초희,입지,가량,폭탄,앙코르,가지,카드,개수,합류
2,추천,의도,링크,플라잉,판타지,공이,버전,노출,눈동자,편집
3,육성,식물,울타리,서비스,두번째,모의,적군,지형,수리,잔디깍기
4,육성,입지,가지,식물,씨앗,가량,수리,발견,위상,서비스
5,로그인,최적화,그래픽,안드로이드,적용,메모리,노출,기억,아이콘,접속
6,의도,식물,플라잉,육성,사망,조물,버전,구석,제외,위함
7,돌풍,샌디,관통,따귀,커브볼,여우,자갈,격려,라이플,바람
8,위상,여파,치트키,가열,스니커즈,핫휠,지형,먼저,점화,성장
9,처리,차근차근,소요,변화,동시,대해,지난,마련,보전,체계
10,따귀,개수,관통,돌풍,차지,대포,라이플,중력장,아얏,커브볼
11,관통,라이플,약탈,전이,중력장,거리,부츠,스피드,맥스,치인
12,명의,변동,강제,동시,타이머,클릭,링크,반전,공이,솔로
13,커브볼,돌풍,관통,여우,샌디,따귀,쇼크,라이플,테라,로우
14,경쟁,폭발물,라이브,여부,미사일,데미지,눈덩이,괴물,시청,무실점
15,로그인,안드로이드,최적화,메모리,준비,그래픽,접속,초원,아이콘,강제
16,발동,명중,물의,가지,구석,가량,매우,앙코르,제대로,육성
17,지형,잔디깍기,치명상,성장,울타리,모의,적군,두번째,핫휠,가열
18,따귀,개수,관통,차지,아얏,명칭,반경,대포,카드,라이플
19,로그인,강제,안드로이드,명의,접속,링크,노출,클릭,서버,초원
20,눈동자,두건,비정상,통계,슈퍼셀,라이더,편집,불사조,얼굴,호그
21,따귀,관통,돌풍,커브볼,샌디,여우,라이플,중력장,차지,전이
22,괴물,여부,폭발물,충족,로만,불사조,무실점,판타지,눈덩이,변동
23,로그인,안드로이드,강제,초원,준비,최적화,그래픽,메모리,링크,접속
24,커브볼,피디,압박,쇼크,스펀지,바람,주머니,로우,영향,포옹
25,경쟁,제공,주기,내일,미사일,라이브,시청,성적,최대한,골로
26,커브볼,쇼크,영향,바람,압박,축제,돌풍,여우,라이플,피디
27,링크,명의,서버,노출,물속,전달,로그인,강제,추천,정수정
28,식물,육성,두번째,데미지,측면,이면,위함,울타리,모의,서비스
29,전이,중력장,반경,라이플,치가,명칭,약탈,중첩,부츠,반격
30,적용,선택,직접,기기,업데이트,발생,안내,충돌,수정,그래픽
31,적용,로그인,그래픽,기기,최적화,안드로이드,선택,메모리,기억,아이콘
32,적용,선택,기기,직접,발생,안내,충돌,그래픽,업데이트,수정
33,미사일,경쟁,라이브,모습,자리,뿜어져,골로,월간,레이저,데미지
34,쇼크,축제,유독,스피드,로우,라이플,거리,영향,맥스,피디
35,지난,대해,변화,동의,처리,체계,초과,차감,태블릿,그동안
36,여부,불사조,충족,변동,괴물,폭발물,로만,불균형,명의,판타지
37,위상,여파,적도,쇼키,점화,치트키,조각,벌꿀,수량,예비
38,마지막,괴물,로만,무실점,동시,내일,폭발물,차근차근,성적,매우
39,차지,명칭,터프,전이,불의,카드,관통,일치,에너지,중력장
40,발동,명중,의도,제대로,구석,작동,가젯,가량,물의,가지
41,임시,제외,사망,위함,눈덩이,포크,트위스트,찾기,인스타그램,은색
42,따귀,관통,거나,중력장,차지,전이,돌풍,아얏,차원,격려
43,명중,발동,앙코르,제대로,가지,물의,가량,차원,거나,에너지
44,의도,가지,물의,플라잉,매우,식물,도중,작동,제대로,육성
45,미사일,눈덩이,라이브,여부,선수,뿜어져,임시,위함,선전,경쟁
46,중력장,따귀,차지,전이,에너지,관통,힐링,아얏,명칭,터프
47,육성,식물,서비스,두번째,울타리,모의,측면,지형,잔디깍기,사망
48,클릭,반전,강제,타이머,접속,아랍어,명의,두건,변동,완료
49,데미지,위함,눈덩이,조물,임시,이면,사망,모의,식물,측면
50,반경,명칭,라이플,전이,중력장,차지,반격,치가,중첩,힐링
51,로그인,안드로이드,그래픽,최적화,메모리,아이콘,기억,초원,강제,준비
52,아랍어,접속,단계,안정,페이스북,클릭,마무리,준비,반전,초원
53,여부,명의,변동,충족,직후,조건,판타지,공이,성적,두건
54,미사일,라이브,시청,트랩,선전,경쟁,로테이션,골로,찾기,인정
55,보라색,입지,상승,개수,수량,재생,지면,나선형,방석,적도
56,대난투,도움말,오락실,참고,달라짐,지기,무승부,기반,할로윈,바로
57,의도,매우,버전,추천,구석,플라잉,식물,링크,괴물,작동
58,명의,판타지,플라잉,여부,추천,변동,링크,공이,두건,완료
59,통계,두건,변동,불사조,여부,조건,슈퍼셀,라이더,반전,눈동자
60,데미지,미사일,위함,측면,레이저,이면,눈덩이,고유,자리,월간
61,피디,커브볼,쇼크,여우,로우,축제,압박,유독,스피드,주머니
