ID,STORE,LABEL,SCORE,YEAR,MONTH,DAY,CONTENTS
16,애플,복합,4,2020,1,13,티밍제작자님 브롤 재밌고 다좋은데 티밍이 너무 많아요 쇼다운 에서 셋이 공격도 안하고 저를 쫓아와서 죽이고 둘이 양각으로 공격 할때도 있읍니다 (솔로 쇼다운 에서) 그러니 신고기능을 만들어 주세요
74,애플,부정,1,2020,1,13,짜증이니 일본 들이 ㅆㅂ짜증나요    개 ㅆㅂ 찐빵로 좀신고할수있는것을만들어 주세요 제압하여요. 그리고 일본들 절때이 게임을하게 허용하지마십쇼 데이발요일본들 땜에 너무 게임이 잘 않되요 부탁합니다
63,애플,긍정,5,2020,1,22,신규브롤러의 대한 이야기저 신규브롤러의 대한 아이디어를 남길가 하는데
69,애플,복합,4,2020,1,9,좋은 게임 그러나 한계가 명확게임 자체는 현질 유도도 적고 재밌습니다. 하지만 슈팅게임 특성상 질리기 쉽습니다. 저도 2019년엔 잘 즐겼는데 올해부턴 질리기 시작합니다. 특히 캐릭터 다 모으니까 재미가 더 떨어졌고요... 클랜은 있는데 사실상 아무 기능도 못하고 매칭 시스템에도 문제가 있어서 흥미를 높이지 못합니다. 사실 트로피 시스템 자체를 롤같은 랭크시스템으로 손봤으면 좋겠는데 힘들꺼 같고 클로나 클오클처럼 오래 플레이할 수 있게 다른 변화라도 줬으면 합니다. 그리고 클로부터 느낀 거지만 밸런스 패치 점 제대로 했으면 합니다...신캐는 나올때마다 사기고 (이번 비랑 맥스는 제외) 다른 브롤러 5~6개가 너프가 필요해 보이네요... 이미 떨어져 나갈 사람들은 나간거 같은데 이 사람들을 불러들이고 새로운 유저를 만들려면 혁신적인 업데이트가 필요해 보입니다.
0,애플,복합,5,2020,1,5,신고나 차단 기능 좀 넣어주세요게임은 정말 재밌는데 게임은 안 하면서 트로피만 먹는 놈들 때문에 못 해먹겠네요. 일반 유저들이 이런 트로피만 먹어가는 한두명도 아니고 여러 사람들 닉네임 하나하나 다 외워둬야 하나요? 외워봤자 게임 시작 할 때 미리 기분 나빠해두는게 끝이지만요..ㅋㅋ^^ 이렇게 트로피만 홀랑 먹어가는 사람들이 브롤에 돈 쓸 경우는 없을 것 같고 기존 유저들이 이런 사람들 때문에 빡쳐서 접는 경우 막기 위해서라도 넣는게 좋지 않을까요? 적어도 저는 이런 사람들 때문에 처음으로 현질 하려고 했던 게임 그냥 접고 싶네요. 현질 해봤자 이런 놈들 만나면 기분만 드러운건 똑같은데 재밌으려고 하는 게임 현질의 의도가 불투명해지는 것 같아요. 만약 신고 기능의 악이용이 걱정되는 거라면 차단 기능 정도는 괜찮지 않을까요. 1:1이니까 딱히 악이용 될 일도 없을 거고요. 이건 여담이지만 게임에 신고나 차단 기능이 없는 건 처음 보는 것 같아요... 정말 재밌는 게임의 너무 큰 딱 하나의 단점
2,애플,긍정,5,2019,12,20,재미있게 하고 있습니다 갓겜 인정안녕하세요 곧 트로피6000인 나른한 도너츠입니다
147,애플,복합,5,2020,1,2,역시 갓퍼셀제가 브롤은 1년이 넘도록 초창기 때부터 해온 유저입니다 게임은 정말 재밌고 모드들도 정말 다양하고 쏠쏠합니다.캐릭터 수집잼도 있고요.근데 부탁할 점은 영상 기록에서 다시 볼때 배속 기능 부탁합니다.그리고 신고 기능 도 넣어 주세요 계속 트롤인 들이 넘쳐나고 있어요 ㅠㅠ(중국인들 특히) 브롤이 2주년이 되는 그날까지 홧팅!😊😉
206,애플,부정,4,2020,1,21,"신고 기능 / 매칭 시스템현재는 브롤 접은 최고 트로피 14,000대 유저입니다 위 제목 두 가지는 계속해서 유저들이 개선 요구하고 하고 있는데 왜 바뀌는 게 없는지요? 일부러 트롤짓 하는 사람들 때문에 답답해서 게임 못 하겠어서 삭제했네요 모바일 게임 중엔 정말 콘텐츠도 많고 나름대로 갓겜이라고 생각하는데 위 두 가지의 오점이 너무 커요 개선되기 전에는 다시 할 일 없을 것 같습니다"
215,애플,복합,5,2019,12,28,"브롤러 합쳐서 만들지 말아주세요브롤을 재밌긴 한데 브롤러를 너무 합쳐서 만드는거 같아서요 엠즈는 8비트, 샌디를 합치고 비는 칼(에모),파이퍼(스타파워 매복)을 합친고 맥스는 대릴(자동 궁 게이지)브록(로켓4호기)를 합친거 아닙니까? 브롤러 좀 잘 만들어주세요 그리고 브롤은 재밌게 잘 즐기고 있습니다"
216,애플,부정,5,2019,12,25,메리크리스마스🎄지금 트로피 9000을 향해 달려가고있는 한 유저입니다. 제가 예전부터 게임을 안해왔음에도 불구하고 이번년도에 브롤을 접하게 되어 벌써 여기까지 왔네요.현재 브롤러는 트로피 친척도 보상 브롤러까지 더해 25개 입니다.레드와이파이나 브롤러 잘 안나오는거 빼고는 거의 괜찮다고 봅니다.정말 재미있게 잘하고 있고 앞으로 브롤러 많이 뽑길 기도하며 이렇게 써봅니다.메리크리스마스 브롤스타즈❤️
157,애플,부정,1,2020,1,16,팀운 개선좀그냥 못하는애들 겁나 많은데 이거 뭐 어떻게 할수 없나요??? 아니진짜 트로피값을 못하는애들이 많은데 진짜 ㅋㅋㅋㅋ열받게하네
184,애플,부정,5,2020,1,10,전설 확률낮아서 안뜹니다...전설확률이 0.0몇입니다 그래서 전설이하나도없고요 전무과금인데 제친구들은현질해서 전설이었어요 그리고 산타마이크살려고보석모와서상점에갔는데 없어부리기 이건너무한거아니냐고! 그리고 부쉬없고 벽만있는맵만들어주세요 그리고왜 무슨미로맵삭재한거야... 그런맵또만들어주시길 그리고 스파이크랑대릴목소리좀 너어주세요 재미있긴해요 전설중에 크로우가좀사기인것같에요 하이튼확률좀올려주시길
94,애플,부정,5,2020,1,2,"역시 역시 중국인출시일부터 계속 플레이하고있ㄴ데요, 하다 보니까 랭커도 2번정도 되보고 브롤러도 노현질로 2개 빼고 다 얻고 게임은 무난무난한데, 신고 기능을 만들어주셨으면 합니다. 잰짜 트롤이 너무 심합니다 무빙 한번 잘못쳐서 골 못넣었다고 나한테 계속 공격하는사럄, 모티스로 불한테 개돌하고 쳐 뒤지는 사람, 자살골 자살 선물 등등 너무 답답한 일들이 많습니다 어니면 최소한 파워플레이에서라도 신고기능을 넣어주세요"
95,애플,긍정,4,2020,1,2,"브롤러 스킨에 관한 의견1. 팸, 로사, 비비, 틱, 엠즈는 스킨이 않나왔는데 어떤 브롤러들은 스킨이 많아요!!! 특히 칼은 11월 라인 콜라보레이션때 스킨 나오고 이번에 스킨 또 나오고 스킨 2번 연속으로 나왔어요.아직 스킨 안나온 브롤러 생각하면 좀 너무한거 아닌가요? 또 그전에 8비트 샌디는 업데이트 되면서 스킨 꼬박꼬박 나오는데 할로인 스킨 준비 때문인지 엠즈는 않나왔어요.게발자님, 브롤러 벨런스 조정하는 것 처럼 스킨 수도 벨런스 맞춰주세요."
98,애플,복합,4,2020,1,16,"매칭 시스템 및 기타브롤스타즈 너무너무 재미있습니다! 그런데 아무리 명작이라지만 문제가 꽤 있는듯 합니다. 우선 쇼다운은 티밍때문에 죽을 지경입니다. 인사하듯이 돌더라구요. 이런 티밍좀 어떻게 해결했으면 하는 바램입니다. 그리고 매칭될때 총 트로피 수 말고 파워레벨도 고려했으면 좋겠습니다. 아무리 실력이 뛰어나도 레벨이 낮아 딜이 안들어가서 이길수가 없습니다. 게다가 제 지금 점수대가 9000인데 신화랑 전설 브롤러가 없습니다. 3주 전 프랭크 뽑은 후로 수많은 브롤, 대형, 메가상자를 열었지만 나오는건 없었습니다. 행운지수가 정말 올라가긴 하는건지 의문입니다."
118,애플,복합,5,2019,12,28,제발 밸런스 패치좀 부탁드립니다ㅠ!!브롤볼을 하는데 제가 만점대이고 우리팀은 다 6000점대 입니다 상대팀은 전부 만점대이고요 게다가 우리팀 파워가 2명이 7이고 한명은 심지어 2입니다 근데 상대팀은 전부 8이상에 10도 있더군요 또 우리팀은 신챔 ‘비’를 사용하는데 점수는 82이더군요 제가 500점대인 타라를 사용했는데도 불구하고요 상대는 또 전부 500점대네요 브롤스타즈가 많은 유저들이 있는걸로 아는데 제가 토요일 낮에 했음에도 불구하고 밸런스가 맞지 않는게 유저가 없는건가요?  제발 저 뿐만아니라 많은 유저들이 밸런스패치에 대해 말이 많다고 들었습니다 제발 전체 트로피수나 각 브롤러 트로피 밸런스좀 잘 조정돼서 큐가 잡혔으면 좋겠습니다
337,애플,부정,5,2019,12,19,어제 업데이트이후 오류계정로그인을위해 설정-수퍼셀아이디연동 버튼을 누르기만하면 알수없는오류로 더이상 진행되지 않습니다
344,애플,복합,5,2020,1,6,"재밌는데 업데이트 하고 나서...동작이 제가 누르는 것보다 화면에서 1초 정도 더 늦게 반응해서 게임하기가 힘드네요.. 이게 업데이트 문제인지, 아니면 해외에서 게임을 해서 그 나라 인터넷 문제인지 모르겠지만, lte로 게임을 해도 똑같이 느려집니다ㅠ"
226,애플,긍정,5,2019,12,19,최고다!!와 이건....저의 인생에서 제일 좋은 그런 게임 이네요. 와..진짜진짜 좋은것같고 심심할때 꼭꼭 채워서 하면 재미있고 트로피🏆도 올라가고 진짜 최고입니다👍🏻 이런 게임이 세상에 있다니..
