,brand,store,sido,gungu,address
0,cheogajip,케이준 철산한신점,경기도,광명시,경기도 광명시 철망산로 87
1,cheogajip,케이준 월피점,경기도,안산시,경기도 안산시 상록구 광덕산안길 20
2,cheogajip,케이준 원곡점,경기도,안산시,경기도 안산시 단원구 지곡로1안길 12
3,cheogajip,케이준 오포점,경기도,광주시,경기도 광주시 오포읍 양벌로 315
4,cheogajip,케이준 소하점,경기도,광명시,경기도 광명시 성채안로 26
5,cheogajip,케이준 부천상동점,경기도,부천시,경기도 부천시 상동 559-3
6,cheogajip,케이준 부림점,경기도,안양시,경기도 안양시 동안구 부림로 171
7,cheogajip,케이준 본오점,경기도,안산시,경기도 안산시 상록구 본오동 827-8
8,cheogajip,케이준 동백점,경기도,용인시,경기도 용인시 기흥구 언동로217번길 7
9,cheogajip,초월점,경기도,광주시,경기도 광주시 초월읍 대쌍령리 191-6
10,cheogajip,오천점,경기도,이천시,경기도 이천시 마장면 오천리 297-5
11,cheogajip,안산사동점,경기도,안산시,경기도 안산시 상록구 사동 1397-1
12,cheogajip,연산로터리점,부산광역시,연제구,부산광역시 연제구 월드컵대로 109 1층(연산동)
13,cheogajip,약대점,경기도,부천시,경기도 부천시 약대동 216-1
14,cheogajip,삼정점,경상남도,김해시,"경상남도 김해시 활천로 36번길 46, 1층(삼정동)"
15,cheogajip,역곡점,경기도,부천시,경기도 부천시 안곡로 279번길 42
16,cheogajip,반월점,경기도,안산시,경기도 안산시 상록구 창말1길 21
17,cheogajip,운서점,인천광역시,중구,인천광역시 중구 신도시남로 66
18,cheogajip,갈현점,서울특별시,은평구,서울특별시 은평구 갈현로288
19,cheogajip,월곡점,서울특별시,성북구,서울특별시 성북구 오패산로46
20,cheogajip,왕십리점,서울특별시,성동구,서울특별시 성동구 마장로23길 7
21,cheogajip,이문점,서울특별시,동대문구,서울특별시 동대문구 신이문로23길 23
22,cheogajip,독산2점,서울특별시,금천구,서울특별시 금천구 시흥대로 90길 32-8
23,cheogajip,도안가수원점,대전광역시,서구,대전광역시 서구 가수원동 913
24,cheogajip,두호점,경상북도,포항시,경상북도 포항시 북구 새천년대로1076번길 21 효암빌딩1층
25,cheogajip,숭의점,인천광역시,미추홀구,인천광역시 미추홀구 장천로 80
26,cheogajip,오태북삼점,경상북도,구미시,"경상북도 구미시 금오대로14길 32, 102호"
27,cheogajip,인천갈산점,인천광역시,부평구,인천광역시 부평구 주부토로 172번길 34 (갈산동)
28,cheogajip,구산점,경상남도,김해시,경상남도 김해시 가락로 315(구산동)
29,cheogajip,삼천점,전라북도,전주시,"전북 전주시 완산구 삼천천변1길 17, 101호(삼천동1가)"
30,cheogajip,갈현점,서울특별시,은평구,서울특별시 은평구 갈현로 288 (갈현동)
31,cheogajip,효창점,서울특별시,용산구,서울특별시 용산구 백범로77길 14 (원효로 1가)
32,cheogajip,구의자양점,서울특별시,광진구,서울특별시 광진구 아차산로57길 33 (구의동)
33,cheogajip,율전점,경기도,수원시,경기도 수원시 장안구 율전동 360-9
34,cheogajip,송도2점,인천광역시,연수구,인천광역시 연수구 송도문화로 28번길 28 (송도동)
35,cheogajip,남원점,전라북도,남원시,"전북 남원시 용성로 207,상가동1층 114호(도통동)"
36,cheogajip,센텀점,부산광역시,해운대구,"부산광역시 해운대구 센텀중앙로 145, 상가3동 1층 103호(재송동,더샵센텀파크1차아파트)"
37,cheogajip,남외점,울산광역시,중구,"울산광역시 중구 구교로 260, 지상1층(남외동)"
38,cheogajip,대현점,대구광역시,북구,대구광역시 북구 대현로 118
39,cheogajip,울산대점,울산광역시,남구,"울산광역시 남구 대학로 94번길 6, 1층(무거동)"
40,cheogajip,수암점,울산광역시,남구,울산광역시 남구 중앙로 38(야음동)
41,cheogajip,상록점,경기도,안산시,경기도 안산시 상록구 서암로4길 20-1 (사동)
42,cheogajip,죽전점,경기도,용인시,경기도 용인시 수지구 현암로76
43,cheogajip,괴정샘터점,부산광역시,사하구,"부산광역시 사하구 낙동대로 233번길 59, 1층(괴정동)"
44,cheogajip,월성점,대구광역시,달서구,대구광역시 달서구 월성동 84-5 월성주공1단지 나동 103호
45,cheogajip,고잔점,경기도,안산시,경기도 안산시 단원구 고잔동 69 6-3
46,cheogajip,고령덕곡점,경상북도,고령군,경북 고령군 덕곡면 덕운로 586
47,cheogajip,고성점,대구광역시,북구,대구광역시 북구 고성북로3 101동 1층 4호
48,cheogajip,복현점,대구광역시,북구,대구광역시 북구 복현2동 134-2
49,cheogajip,수안점,부산광역시,동래구,"부산광역시 동래구 충렬대로218번길 26, 비동 1층(수안동)"
50,cheogajip,오전점,경기도,의왕시,"경기도 의왕시 등칙골4길 14, 1층 103호(오전동)"
51,cheogajip,남항점,부산광역시,영도구,"부산광역시 영도구 남항로19번길 38, 1층(남항동1가)"
52,cheogajip,화정점,울산광역시,동구,울산광역시 동구 대송8길 31(화정동)
53,cheogajip,청북점,경기도,평택시,경기도 평택시 청북읍 안청로4길 42
54,cheogajip,오산운암점,경기도,오산시,경기도 오산시 원동로6 (원동)
55,cheogajip,팔판점,경상남도,김해시,"경상남도 김해시 계동로23번길 5, 1층 111호(관동동, 대우프라자)"
56,cheogajip,망양점,울산광역시,울주군,울산광역시 울주군 온양읍 덕망로 270
57,cheogajip,우정점,울산광역시,중구,울산광역시 중구 우암길 1(우정동)
58,cheogajip,와동점,경기도,안산시,경기도 안산시 단원구 화정천동로 2안길 28
59,cheogajip,성안점,울산광역시,중구,"울산광역시 중구 함월16길 13-1, 1층 (성안동)"
60,cheogajip,선암점,울산광역시,남구,"울산광역시 남구 두왕로 174번길 35-1, 1층(선암동)"
61,cheogajip,대화점,경기도,고양시,"경기 고양시 일산서구 강성로 271 (대화동,대화씨티빌 101호)"
62,cheogajip,갈매점,경기도,구리시,"경기도 구리시 갈애순환로 198, 1층 101호(갈매동, 비젼프라자)"
63,cheogajip,신주례점,부산광역시,사상구,부산광역시 사상구 백양대로 502(주례동)
64,cheogajip,서창2점,인천광역시,남동구,인천광역시 남동구 서창동 707-3
65,cheogajip,신안평거점,경상남도,진주시,"경남 진주시 신평공원길 25번길 8-4,1층"
66,cheogajip,봉곡사림점,경상남도,창원시,"경남 창원시 의창구 봉곡로 50,1층(봉곡동)"
