순위,영화 제목,평점,변동,변동값
01,미쓰백,9.24,--,0
02,어느 가족,9.23,--,0
03,극장판 헬로카봇 : 백악기 시대,9.23,--,0
04,스타 이즈 본,9.18,--,0
05,카메라를 멈추면 안 돼!,9.17,--,0
06,타샤 튜더,9.15,--,0
07,보디가드,9.01,--,0
08,맘마미아!2,8.99,상승,1
09,곰돌이 푸 다시 만나 행복해,8.96,상승,1
10,탑건,8.91,상승,1
11,서치,8.89,상승,1
12,소공녀,8.88,상승,1
13,현기증,8.77,상승,1
14,신비아파트: 금빛 도깨비와 비밀의 동굴,8.74,상승,2
15,배반의 장미,8.60,--,신규
16,록키 호러 픽쳐 쇼,8.56,상승,1
17,너의 결혼식,8.52,상승,1
18,그랜드 부다페스트 호텔,8.36,상승,2
19,암수살인,8.33,상승,2
20,죄 많은 소녀,8.32,상승,2
21,안시성,8.15,상승,3
22,피아니스트,8.11,상승,3
23,베놈,8.02,상승,3
24,춘몽,8.01,상승,3
25,퍼스트맨,7.95,--,신규
26,박화영,7.91,상승,2
27,파리로 가는 길,7.90,상승,3
28,아이 엠 러브,7.89,상승,3
29,협상,7.83,상승,3
30,명당,7.23,상승,7
31,원더풀 고스트,7.19,상승,7
32,킬링 디어,7.08,상승,8
33,더 넌,6.92,상승,8
34,경주,6.77,상승,8
35,물괴,5.04,상승,8
