,타이틀번호,요일,제목,링크
0,183559,mon,신의 탑,https://shared-comic.pstatic.net/thumb/webtoon/183559/thumbnail/title_thumbnail_20160516123017_t83x90.jpg
1,648419,mon,뷰티풀 군바리,https://shared-comic.pstatic.net/thumb/webtoon/648419/thumbnail/thumbnail_IMAG10_1421195d-13be-4cde-bcf9-0c78d51c5ea3.jpg
2,602910,mon,윈드브레이커,https://shared-comic.pstatic.net/thumb/webtoon/602910/thumbnail/thumbnail_IMAG10_ec235b6e-c4fa-47ab-8141-36c4f1572a79.jpg
3,654774,mon,소녀의 세계,https://shared-comic.pstatic.net/thumb/webtoon/654774/thumbnail/thumbnail_IMAG10_b85f5350-ca68-4300-ab15-036d9ee060c8.jpg
4,679519,mon,대학일기,https://shared-comic.pstatic.net/thumb/webtoon/679519/thumbnail/title_thumbnail_20160601180804_t83x90.jpg
5,597478,mon,평범한 8반,https://shared-comic.pstatic.net/thumb/webtoon/597478/thumbnail/thumbnail_IMAG10_487d19d8-3547-43a0-aa94-10ef7fc94cda.jpg
6,702422,mon,니편내편,https://shared-comic.pstatic.net/thumb/webtoon/702422/thumbnail/thumbnail_IMAG10_8a7d3a98-291e-4fec-b399-7b8219c90854.jpg
7,710756,mon,일진에게 회초리,https://shared-comic.pstatic.net/thumb/webtoon/710756/thumbnail/thumbnail_IMAG10_af763a48-1b08-495e-b16a-a666ca931e38.jpg
8,675554,mon,가우스전자 시즌3~4,https://shared-comic.pstatic.net/thumb/webtoon/675554/thumbnail/thumbnail_IMAG10_66613407-1041-4f4f-ad8a-1983361f932e.jpg
9,644180,mon,하루 3컷,https://shared-comic.pstatic.net/thumb/webtoon/644180/thumbnail/title_thumbnail_20141231175152_t83x90.jpg
10,694807,mon,마왕이 되는 중2야,https://shared-comic.pstatic.net/thumb/webtoon/694807/thumbnail/thumbnail_IMAG10_49a1f978-53e4-4f40-8d66-42ee26d14cfc.jpg
11,698888,mon,이것도 친구라고,https://shared-comic.pstatic.net/thumb/webtoon/698888/thumbnail/thumbnail_IMAG10_49e1ecf6-8b80-46e5-9ffc-45ed48a4fdd8.jpg
