,brand,store,sido,gungu,address
0,pelicana,가경동점,충청북도,청주시흥덕구,충청북도 청주시흥덕구 풍산로 103(복대동)
1,pelicana,가남점,경기도,여주시,경기도 여주시 가남면 태평중앙1길 8-6
2,pelicana,가래비점,경기도,양주시,경기도 양주시 광적면 가납리 가래비길 24
3,pelicana,가마점,충청북도,청주시서원구,충청북도 청주시서원구 남이면 가마리 397
4,pelicana,가수원점,대전광역시,서구,대전광역시 서구 가수원동 774-18
5,pelicana,가양동점,서울특별시,강서구,"서울특별시 강서구 양천로51길 11, 1층 102호(가양동,신환빌딩)"
6,pelicana,가오점,대전광역시,동구,대전광역시 동구 가오동 533
7,pelicana,가운점,경기도,남양주시,경기도 남양주시 가운로2길 63 가운동삼원프라자 105호
8,pelicana,가장점,대전광역시,서구,대전광역시 서구 가장동 40-40
9,pelicana,가정지구1점,인천광역시,서구,인천광역시 서구 봉오재2로 37 104호
10,pelicana,가좌3점,인천광역시,서구,인천광역시 서구 가석로156번길 23-1
11,pelicana,가평역전점,경기도,가평군,경기도 가평군 가평읍 굴다리길 13
12,pelicana,가평점,경기도,가평군,경기도 가평군 가평읍 가화로 125-1
13,pelicana,가평현리점,경기도,가평군,경기도 가평군 하면 현창로38번길 6-1
14,pelicana,가흥점,경상북도,영주시,경상북도 영주시 가흥동 530 시영상가 나동 102호
15,pelicana,각화주공점,광주광역시,북구,광주광역시 북구 각화동 202번지 주공@상가 107호
16,pelicana,간현점,강원도,원주시,강원도 원주시 지정면 간현로 188
17,pelicana,갈곶원동점,경기도,오산시,경기도 오산시 갈곶동 126-23
18,pelicana,갈마점,대전광역시,서구,대전광역시 서구 갈마로 60(갈마동)
19,pelicana,갈산점,인천광역시,부평구,인천광역시 부평구 갈산동 364-4
20,pelicana,갈산점(이천),경기도,이천시,"경기도 이천시 갈산로 81(갈산동, 102)"
21,pelicana,갈산점(홍성),충청남도,홍성군,충청남도 홍성군 갈산면 상촌리 243
22,pelicana,감곡점,충청북도,음성군,충청북도 음성군 감곡면 장감로 142
23,pelicana,감삼점,대구광역시,달서구,대구광역시 달서구 두류3동 630-1
24,pelicana,강경점,충청남도,논산시,충청남도 논산시 강경읍 대흥리 19-3
25,pelicana,강구점,경상북도,영덕군,경상북도 영덕군 강구면 강구리 453번지
26,pelicana,강남구청점,서울특별시,강남구,서울특별시 강남구 삼성로119길 41. 1층(삼성동)
27,pelicana,강남대점,경기도,용인시기흥구,경기도 용인시기흥구 강남동로 114번길 22
28,pelicana,강남점,대구광역시,동구,대구광역시 동구 신암로16길 2
29,pelicana,강릉교동점,강원도,강릉시,강원도 강릉시 강릉대로 269 (교동)
30,pelicana,강릉대점,강원도,강릉시,강원도 강릉시  율곡초교길39번 27
31,pelicana,강릉서부점,강원도,강릉시,강원도 강릉시 임영로 170-3(임당동)
32,pelicana,강릉옥계점,강원도,강릉시,"강원도 강릉시 옥계면 현내시장길 52, 1/2"
33,pelicana,강릉옥천동점,강원도,강릉시,강원도 강릉시  경강로 2166 1층(옥천동)
34,pelicana,강릉유천점,강원도,강릉시,강원도 강릉시  선수촌로 63번길 5 우미린상가106
