,상호,주소,전화번호
0,강원강릉시내곡점,강원강릉시범일로579번길49-2,033-643-9954
1,강원강릉시사천해변점,강원도강릉시사천면진리해변길99,033-644-8881
2,강원강릉시솔올점,강원강릉시원대로155,033-641-4560
3,강원강릉시입암점,강원강릉시강변로410번길36,033-643-9976
4,강원강릉시주문진점,강원강릉시주문진읍주문로11,033-661-4488
5,강원강릉시초당점,강원강릉시초당원길19,033-653-9298
6,강원강릉시포남1점,강원강릉시가작로287번길7,033-652-9976
7,강원강릉시홍제점,강원도강릉시홍제로33,033-643-9993
8,강원동해시망상점,강원동해시동해대로6270-31,033-534-3377
9,강원동해시부곡점,강원동해시발한로96,033-534-9993
10,강원동해시천곡점,강원동해시한섬로18,033-532-9591
11,강원동해시효가점,강원동해시동해대로5033,033-521-2676
12,강원삼척시교동점,강원삼척시정상로10-6,033-573-8000
13,강원속초시교동점,강원속초시수복로74,033-633-4425
14,강원속초시금호점,강원속초시미시령로3473,033-638-4482
15,강원속초시조양점,강원속초시동해대로3996,033-637-4466
16,강원양구군동면점,강원도양구군동면금강산로1681,033-482-2292
17,강원양구군방산점,강원도양구군방산면장거리길18,033-481-8892
18,강원양구군양구점,강원양구군양구읍중앙길12,033-481-9995
19,강원양양군양양점,강원양양군양양읍양양로83-1,033-673-4492
20,강원양양군하조대점,강원양양군현북면조준길6,033-672-1658
21,강원영월군영월점,강원영월군영월읍은행나무길58,033-375-9696
22,강원원주시단계점,강원원주시원문로146,033-748-0213
23,강원원주시단관점,강원원주시단관초교길9,033-748-9494
24,강원원주시단구점,강원원주시서원대로383,033-766-4479
25,강원원주시명륜점,강원원주시남산로30,033-761-9288
26,강원원주시무실점,강원원주시섬밭들2길16-2,033-746-4479
27,강원원주시문막점,강원원주시문막읍건등로40-3,033-734-4482
28,강원원주시반곡봉산점,강원원주시반곡길47,033-731-9986
29,강원원주시태장점,강원원주시북원로2704-4,033-745-9979
30,강원원주시혁신도시점,강원원주시웅비2길8,033-742-4479
31,강원인제군서화점[B],강원도인제군서화면천도로126번길6,033-462-4479
32,강원인제군신남점,강원도인제군남면신남로23,033-461-0049
33,강원인제군인제점,강원도인제군인제읍인제로197-1,033-463-7999
34,강원인제군현리점,강원인제군기린면내린천로3905-1,033-461-9294
35,강원정선군정선점,강원정선군정선읍봉양6길28,033-562-4477
36,강원철원군내대리점,강원철원군갈말읍두루미로414,033-452-1111
37,강원철원군동송점,강원도철원군동송읍금학로202,033-456-0635
38,강원철원군신철원점,강원도철원군갈말읍삼부연로17번길3-14,033-452-9911
39,강원철원군와수리점,강원도철원군서면와수로181번길7-16,033-458-5332
40,강원철원군자등리점,강원도철원군서면자등로578,033-458-9233
41,강원철원군지경리점,강원도철원군갈말읍청양로81-1,033-458-3505
42,강원춘천시강북점,강원도춘천시충열로78-3,033-252-0086
43,강원춘천시교동후평점,강원도춘천시성심로23-1,033-244-8892
44,강원춘천시석사점,강원도춘천시우석로79번길4-1,033-262-6007
45,강원춘천시칠전송암점,강원춘천시옛경춘로492,033-251-4479
46,강원춘천시퇴계점,강원도춘천시춘주로187번길20-4,033-242-8119
47,강원춘천시효자점,강원춘천시서부대성로194,033-256-0074
48,강원태백시장성점,강원태백시장성로43-2,033-581-5677
